id,ПП/ДБ,ГЕРБ-СДС,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,МЕЧ,ЦЕНТЪР,ДПС,ВМРО БНД,ЗЕЛЕНО ДВИЖЕНИЕ,ЛЕВИЦАТА!,БВ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НЕУТРАЛНА БЪЛГАРИЯ,КОАЛИЦИЯ НА РОЗАТА,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНС-НД,ОБЩЕСТВО ЗА НОВА БГ,БСДД,БНО,total,eligible_voters,активност
234609081,0.2,0.225,0.15,0.025,0.075,0.025,0.075,0.025,0.0,0.05,0.025,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31,1.2903225806451613
234615119,0.22093023255813954,0.2558139534883721,0.1124031007751938,0.03488372093023256,0.05426356589147287,0.046511627906976744,0.050387596899224806,0.027131782945736434,0.015503875968992248,0.031007751937984496,0.01937984496124031,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.0,0.07364341085271318,0.007751937984496124,0.003875968992248062,0.003875968992248062,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,258.0,760,0.3394736842105263
234615120,0.21933085501858737,0.241635687732342,0.18587360594795538,0.026022304832713755,0.055762081784386616,0.04460966542750929,0.05947955390334572,0.03345724907063197,0.01858736059479554,0.04460966542750929,0.01486988847583643,0.022304832713754646,0.007434944237918215,0.0037174721189591076,0.0,0.0,0.007434944237918215,0.0037174721189591076,0.0,0.0037174721189591076,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,269.0,806,0.3337468982630273
234615121,0.18604651162790697,0.26046511627906976,0.18604651162790697,0.023255813953488372,0.03255813953488372,0.08372093023255814,0.018604651162790697,0.03255813953488372,0.018604651162790697,0.05581395348837209,0.037209302325581395,0.004651162790697674,0.004651162790697674,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.004651162790697674,0.0,0.009302325581395349,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.004651162790697674,215.0,736,0.2921195652173913
234615122,0.156,0.32,0.116,0.036,0.08,0.04,0.056,0.028,0.012,0.052,0.024,0.0,0.0,0.004,0.004,0.008,0.008,0.0,0.004,0.012,0.012,0.0,0.008,0.012,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.0,250.0,938,0.26652452025586354
234615123,0.24242424242424243,0.3106060606060606,0.10227272727272728,0.03787878787878788,0.04924242424242424,0.07196969696969698,0.041666666666666664,0.03409090909090909,0.003787878787878788,0.03409090909090909,0.01893939393939394,0.007575757575757576,0.003787878787878788,0.007575757575757576,0.003787878787878788,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.003787878787878788,0.0,0.003787878787878788,0.0,0.003787878787878788,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.0,264.0,863,0.30590961761297797
234615124,0.12571428571428572,0.25142857142857145,0.14857142857142858,0.02857142857142857,0.05142857142857143,0.09714285714285714,0.03428571428571429,0.022857142857142857,0.011428571428571429,0.08571428571428572,0.022857142857142857,0.02857142857142857,0.017142857142857144,0.005714285714285714,0.022857142857142857,0.005714285714285714,0.0,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.011428571428571429,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,175.0,725,0.2413793103448276
234615125,0.09868421052631579,0.27631578947368424,0.3223684210526316,0.05263157894736842,0.019736842105263157,0.03289473684210526,0.039473684210526314,0.019736842105263157,0.006578947368421052,0.03289473684210526,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,152.0,579,0.26252158894645944
234617007,0.3375,0.2,0.1225,0.055,0.05,0.0475,0.025,0.035,0.015,0.02,0.0375,0.005,0.0025,0.005,0.0075,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.005,0.005,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,400.0,1009,0.39643211100099107
234617008,0.34278959810874704,0.19148936170212766,0.1276595744680851,0.04018912529550828,0.0591016548463357,0.04491725768321513,0.026004728132387706,0.037825059101654845,0.018912529550827423,0.016548463356973995,0.03309692671394799,0.01182033096926714,0.002364066193853428,0.016548463356973995,0.009456264775413711,0.004728132387706856,0.0,0.002364066193853428,0.002364066193853428,0.0,0.002364066193853428,0.0,0.0070921985815602835,0.0,0.0,0.002364066193853428,0.0,0.0,0.0,0.0,0.0,0.0,423.0,968,0.4369834710743802
234617009,0.22163588390501318,0.3482849604221636,0.11873350923482849,0.013192612137203167,0.0712401055408971,0.026385224274406333,0.044854881266490766,0.036939313984168866,0.010554089709762533,0.018469656992084433,0.0316622691292876,0.002638522427440633,0.018469656992084433,0.013192612137203167,0.002638522427440633,0.0,0.002638522427440633,0.0,0.002638522427440633,0.002638522427440633,0.0079155672823219,0.0,0.0,0.0,0.0,0.002638522427440633,0.0,0.0,0.0,0.002638522427440633,0.0,0.0,379.0,893,0.4244120940649496
234617010,0.23575129533678757,0.2772020725388601,0.12694300518134716,0.046632124352331605,0.025906735751295335,0.04922279792746114,0.05699481865284974,0.023316062176165803,0.018134715025906734,0.03367875647668394,0.031088082901554404,0.012953367875647668,0.0025906735751295338,0.015544041450777202,0.007772020725388601,0.0025906735751295338,0.0025906735751295338,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0025906735751295338,0.0025906735751295338,0.0,0.0,0.0,0.0025906735751295338,0.0,0.0025906735751295338,0.0025906735751295338,0.0025906735751295338,0.0,0.0,386.0,921,0.4191096634093377
234617011,0.29846938775510207,0.2653061224489796,0.12755102040816327,0.03571428571428571,0.05612244897959184,0.058673469387755105,0.017857142857142856,0.03316326530612245,0.007653061224489796,0.002551020408163265,0.015306122448979591,0.017857142857142856,0.015306122448979591,0.012755102040816327,0.007653061224489796,0.007653061224489796,0.002551020408163265,0.00510204081632653,0.0,0.00510204081632653,0.002551020408163265,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,392.0,877,0.4469783352337514
234617012,0.21794871794871795,0.3333333333333333,0.11858974358974358,0.03205128205128205,0.04807692307692308,0.038461538461538464,0.05448717948717949,0.022435897435897436,0.00641025641025641,0.035256410256410256,0.02564102564102564,0.003205128205128205,0.009615384615384616,0.01282051282051282,0.003205128205128205,0.019230769230769232,0.003205128205128205,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.0,0.003205128205128205,0.003205128205128205,0.0,0.0,0.0,312.0,860,0.3627906976744186
234617013,0.37789203084832906,0.22879177377892032,0.12853470437017994,0.017994858611825194,0.04884318766066838,0.033419023136246784,0.043701799485861184,0.033419023136246784,0.015424164524421594,0.002570694087403599,0.017994858611825194,0.005141388174807198,0.005141388174807198,0.012853470437017995,0.007712082262210797,0.002570694087403599,0.007712082262210797,0.0,0.0,0.0,0.005141388174807198,0.0,0.002570694087403599,0.0,0.0,0.002570694087403599,0.0,0.0,0.0,0.0,0.0,0.0,389.0,1000,0.389
234617072,0.40793201133144474,0.1671388101983003,0.08781869688385269,0.0169971671388102,0.04815864022662889,0.0453257790368272,0.05099150141643059,0.031161473087818695,0.0084985835694051,0.028328611898016998,0.0169971671388102,0.036827195467422094,0.0056657223796034,0.0,0.014164305949008499,0.0056657223796034,0.0056657223796034,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0028328611898017,0.0,0.0,353.0,857,0.411901983663944
