id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,АНТОН ХЕКИМЯН ГЕРБ-СДС,ДЕЯН НИКОЛОВ ВЪЗР,ВИЛИ ЛИЛКОВ КОД,не подкрепям никого,ИВАЙЛО ВЪЛЧЕВ ИТН,РАДОСТИН ВАСИЛЕВ,ВИОЛЕТА КОМИТОВА БВ,КАРЛОС КОНТРЕРА (ВМРО-БНД),СВЕТОСЛАВ ВИТКОВ ГЛАС НАРОДЕН,АСЕН АНГЕЛОВ СБОР,ПЕТЪР КЛИСАРОВ ПРЯКА ДЕМОКРАЦИЯ,ТЕОДОР ДЕЧЕВ БСДП,КРАСИМИР СТОЙЧЕВ Партия на ЗЕЛЕНИТЕ,МАЖД АЛГАФАРИ Граждани за Общината,МАРИЯ КОЛЕВА ПРАВОТО,АЛЕКСАНДЪР ТОМОВ БСД - ЕВРОЛЕВИЦА,КАМЕН ДЮЛГЕРОВ БЪЛГАРСКИ ГЛАСЪ,ЕМИЛ АТАНАСОВ БЪЛГАРСКИ СОЦИАЛДЕМОКРАТИ,СИМЕОН АНАНИЕВ МИР,ГЕОРГИ НЕДЕЛЧЕВ БСДД,КАЛИН КРУЛЕВ ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,total,eligible_voters,активност,невалидни
224602051,0.3201581027667984,0.30434782608695654,0.07114624505928854,0.06719367588932806,0.07114624505928854,0.02766798418972332,0.02766798418972332,0.02766798418972332,0.007905138339920948,0.03162055335968379,0.0,0.003952569169960474,0.0,0.007905138339920948,0.011857707509881422,0.0,0.0,0.0,0.0,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.003952569169960474,253.0,656.0,0.3856707317073171,0.011857707509881422
224602052,0.33191489361702126,0.23829787234042554,0.19574468085106383,0.06382978723404255,0.059574468085106386,0.03829787234042553,0.03404255319148936,0.0,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.0,0.01276595744680851,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.00851063829787234,0.0,0.0,0.0,235.0,687.0,0.3420669577874818,0.03829787234042553
224602053,0.27927927927927926,0.26126126126126126,0.13963963963963963,0.08108108108108109,0.0945945945945946,0.03153153153153153,0.02252252252252252,0.013513513513513514,0.018018018018018018,0.013513513513513514,0.02252252252252252,0.0,0.009009009009009009,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,548.0,0.4051094890510949,0.0
224602054,0.35344827586206895,0.25,0.14655172413793102,0.04741379310344827,0.08620689655172414,0.034482758620689655,0.01293103448275862,0.02586206896551724,0.004310344827586207,0.008620689655172414,0.004310344827586207,0.004310344827586207,0.0,0.008620689655172414,0.004310344827586207,0.0,0.004310344827586207,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,232.0,622.0,0.3729903536977492,0.01293103448275862
224601021,0.39556962025316456,0.18354430379746836,0.11708860759493671,0.04746835443037975,0.13924050632911392,0.03481012658227848,0.012658227848101266,0.00949367088607595,0.028481012658227847,0.0031645569620253164,0.006329113924050633,0.0031645569620253164,0.0,0.0,0.006329113924050633,0.0,0.0031645569620253164,0.0,0.006329113924050633,0.0,0.0031645569620253164,0.0,0.0,316.0,680.0,0.4647058823529412,0.012658227848101266
224601022,0.40372670807453415,0.1956521739130435,0.11180124223602485,0.055900621118012424,0.12732919254658384,0.046583850931677016,0.012422360248447204,0.006211180124223602,0.009316770186335404,0.003105590062111801,0.003105590062111801,0.006211180124223602,0.006211180124223602,0.0,0.009316770186335404,0.0,0.0,0.0,0.0,0.0,0.0,0.003105590062111801,0.0,322.0,704.0,0.45738636363636365,0.009316770186335404
224601023,0.4782608695652174,0.2015810276679842,0.11462450592885376,0.039525691699604744,0.08695652173913043,0.023715415019762844,0.007905138339920948,0.0,0.015810276679841896,0.003952569169960474,0.0,0.011857707509881422,0.007905138339920948,0.0,0.007905138339920948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,567.0,0.4462081128747795,0.023715415019762844
224601024,0.38636363636363635,0.13257575757575757,0.13636363636363635,0.041666666666666664,0.1856060606060606,0.04924242424242424,0.026515151515151516,0.003787878787878788,0.007575757575757576,0.003787878787878788,0.007575757575757576,0.003787878787878788,0.003787878787878788,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,581.0,0.45438898450946646,0.003787878787878788
224603026,0.43506493506493504,0.1590909090909091,0.1396103896103896,0.05519480519480519,0.07792207792207792,0.02922077922077922,0.03571428571428571,0.02922077922077922,0.006493506493506494,0.006493506493506494,0.003246753246753247,0.006493506493506494,0.0,0.003246753246753247,0.003246753246753247,0.006493506493506494,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,308.0,762.0,0.4041994750656168,0.016233766233766232
224603027,0.40460526315789475,0.14802631578947367,0.19736842105263158,0.09868421052631579,0.049342105263157895,0.023026315789473683,0.023026315789473683,0.0,0.0,0.019736842105263157,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.0,0.0,0.003289473684210526,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,304.0,731.0,0.4158686730506156,0.003289473684210526
224603028,0.5292096219931272,0.1134020618556701,0.10309278350515463,0.06529209621993128,0.054982817869415807,0.024054982817869417,0.027491408934707903,0.024054982817869417,0.013745704467353952,0.0,0.006872852233676976,0.010309278350515464,0.006872852233676976,0.013745704467353952,0.0,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,291.0,732.0,0.3975409836065574,0.003436426116838488
224603032,0.335423197492163,0.16300940438871472,0.18808777429467086,0.07210031347962383,0.09404388714733543,0.034482758620689655,0.0219435736677116,0.01567398119122257,0.006269592476489028,0.006269592476489028,0.012539184952978056,0.01567398119122257,0.012539184952978056,0.003134796238244514,0.003134796238244514,0.006269592476489028,0.0,0.0,0.009404388714733543,0.0,0.0,0.0,0.0,319.0,848.0,0.3761792452830189,0.012539184952978056
