id,ПП,ГЕРБ-СДС,ДБ,БСП,ИТН,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ДПС,ГЛАС НАРОДЕН,АТАКА,ОНБ,НОД,ЕВРОЛЕВИЦА,РВО,ПРАВОТО,ПФ,Партия на ЗЕЛЕНИТЕ,МИР,БСДД,ВОЛЯ,БНО,ПД,БОГ,БНС-НД,БПЛ,БРИГАДА,независими,total,eligible_voters,активност
234602001,0.300561797752809,0.24157303370786518,0.199438202247191,0.06460674157303371,0.03089887640449438,0.06460674157303371,0.03089887640449438,0.016853932584269662,0.008426966292134831,0.011235955056179775,0.0056179775280898875,0.008426966292134831,0.0028089887640449437,0.0028089887640449437,0.0056179775280898875,0.0028089887640449437,0.0,0.0,0.0,0.0,0.0,0.0028089887640449437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,747.0,0.47657295850066933
234602002,0.32142857142857145,0.2544642857142857,0.17410714285714285,0.08035714285714286,0.06696428571428571,0.046875,0.020089285714285716,0.006696428571428571,0.002232142857142857,0.004464285714285714,0.0,0.006696428571428571,0.002232142857142857,0.002232142857142857,0.004464285714285714,0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.002232142857142857,0.0,0.0,0.0,448.0,847.0,0.5289256198347108
234602003,0.3465909090909091,0.23295454545454544,0.20454545454545456,0.07670454545454546,0.028409090909090908,0.045454545454545456,0.03977272727272727,0.002840909090909091,0.008522727272727272,0.002840909090909091,0.005681818181818182,0.0,0.0,0.0,0.002840909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.002840909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,750.0,0.4693333333333333
234602004,0.3064066852367688,0.24512534818941503,0.20334261838440112,0.06963788300835655,0.052924791086350974,0.04735376044568245,0.036211699164345405,0.008356545961002786,0.0,0.005571030640668524,0.0,0.002785515320334262,0.002785515320334262,0.0,0.002785515320334262,0.005571030640668524,0.002785515320334262,0.0,0.0,0.005571030640668524,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,658.0,0.5455927051671733
234602005,0.2972972972972973,0.23123123123123124,0.24924924924924924,0.09009009009009009,0.03903903903903904,0.03303303303303303,0.018018018018018018,0.009009009009009009,0.009009009009009009,0.006006006006006006,0.003003003003003003,0.003003003003003003,0.003003003003003003,0.0,0.003003003003003003,0.0,0.0,0.003003003003003003,0.0,0.003003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,698.0,0.47707736389684813
234602006,0.2898550724637681,0.22826086956521738,0.2536231884057971,0.050724637681159424,0.050724637681159424,0.03985507246376811,0.03985507246376811,0.007246376811594203,0.007246376811594203,0.0,0.0036231884057971015,0.007246376811594203,0.0,0.0036231884057971015,0.0036231884057971015,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0,0.0036231884057971015,0.0036231884057971015,0.0,0.0,0.0,0.0,276.0,580.0,0.47586206896551725
234602007,0.3137254901960784,0.24183006535947713,0.1895424836601307,0.07516339869281045,0.029411764705882353,0.02287581699346405,0.042483660130718956,0.029411764705882353,0.006535947712418301,0.0032679738562091504,0.016339869281045753,0.013071895424836602,0.0,0.0032679738562091504,0.0032679738562091504,0.0,0.0,0.0032679738562091504,0.0032679738562091504,0.0,0.0032679738562091504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,697.0,0.43902439024390244
234602008,0.3483709273182957,0.21052631578947367,0.21804511278195488,0.05764411027568922,0.05012531328320802,0.03759398496240601,0.022556390977443608,0.020050125313283207,0.010025062656641603,0.002506265664160401,0.0,0.002506265664160401,0.005012531328320802,0.002506265664160401,0.0,0.0,0.0,0.0,0.002506265664160401,0.0,0.002506265664160401,0.0,0.002506265664160401,0.0,0.005012531328320802,0.0,0.0,0.0,0.0,399.0,849.0,0.46996466431095407
234602009,0.28431372549019607,0.24509803921568626,0.18382352941176472,0.0661764705882353,0.04411764705882353,0.06862745098039216,0.024509803921568627,0.0196078431372549,0.014705882352941176,0.014705882352941176,0.0,0.0024509803921568627,0.014705882352941176,0.0,0.0024509803921568627,0.007352941176470588,0.0,0.0024509803921568627,0.0,0.0,0.0,0.0,0.0024509803921568627,0.0,0.0,0.0024509803921568627,0.0,0.0,0.0,408.0,836.0,0.4880382775119617
234602010,0.3240223463687151,0.2430167597765363,0.16759776536312848,0.10893854748603352,0.036312849162011177,0.036312849162011177,0.027932960893854747,0.013966480446927373,0.013966480446927373,0.008379888268156424,0.008379888268156424,0.0,0.008379888268156424,0.0,0.002793296089385475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,758.0,0.47229551451187335
234602011,0.30978260869565216,0.23369565217391305,0.23641304347826086,0.07065217391304347,0.02717391304347826,0.03804347826086957,0.03260869565217391,0.008152173913043478,0.008152173913043478,0.005434782608695652,0.002717391304347826,0.005434782608695652,0.005434782608695652,0.002717391304347826,0.0,0.0,0.0,0.002717391304347826,0.0,0.002717391304347826,0.002717391304347826,0.0,0.002717391304347826,0.0,0.0,0.002717391304347826,0.0,0.0,0.0,368.0,824.0,0.44660194174757284
