id,ПП,ГЕРБ-СДС,ДБ,ВЪЗР,БСП,БВ,не подкрепям никого,ИТН,ИЗПРАВИ СЕ,ДПС,ВМРО,ДНК,ГЛАС НАРОДЕН,КСБ,КОД,АТАКА,РВО,МИР,КТБ,ПД,ЕВРОЛЕВИЦА,НДЕ,БСДД,НФСБ,БТР,ПРАВОТО,НП ИСИ,БНС,независими,БНО,total,eligible_voters,активност
234602001,0.273224043715847,0.21311475409836064,0.226775956284153,0.11475409836065574,0.040983606557377046,0.0273224043715847,0.0273224043715847,0.01912568306010929,0.00819672131147541,0.00819672131147541,0.0,0.01639344262295082,0.00273224043715847,0.00819672131147541,0.0,0.00819672131147541,0.0,0.00273224043715847,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,733.0,0.49931787175989084
234602002,0.2825112107623318,0.21748878923766815,0.2062780269058296,0.08744394618834081,0.06053811659192825,0.03587443946188341,0.02466367713004484,0.03811659192825112,0.004484304932735426,0.008968609865470852,0.004484304932735426,0.002242152466367713,0.002242152466367713,0.002242152466367713,0.008968609865470852,0.0,0.0,0.004484304932735426,0.004484304932735426,0.0,0.002242152466367713,0.0,0.0,0.0,0.0,0.0,0.002242152466367713,0.0,0.0,0.0,446.0,847.0,0.526564344746163
234602003,0.27348066298342544,0.1850828729281768,0.24861878453038674,0.08839779005524862,0.08839779005524862,0.04419889502762431,0.022099447513812154,0.016574585635359115,0.016574585635359115,0.0027624309392265192,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0027624309392265192,0.0,0.0,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,362.0,748.0,0.4839572192513369
234602004,0.2561576354679803,0.23645320197044334,0.19704433497536947,0.09113300492610837,0.04187192118226601,0.04433497536945813,0.05172413793103448,0.022167487684729065,0.017241379310344827,0.0049261083743842365,0.0049261083743842365,0.0,0.0,0.0024630541871921183,0.0049261083743842365,0.0049261083743842365,0.009852216748768473,0.0024630541871921183,0.0,0.0,0.0,0.0,0.007389162561576354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,667.0,0.6086956521739131
234602005,0.26740947075208915,0.20055710306406685,0.25348189415041783,0.06963788300835655,0.08635097493036212,0.03899721448467967,0.013927576601671309,0.013927576601671309,0.008356545961002786,0.011142061281337047,0.002785515320334262,0.005571030640668524,0.002785515320334262,0.0,0.005571030640668524,0.002785515320334262,0.0,0.002785515320334262,0.002785515320334262,0.005571030640668524,0.0,0.002785515320334262,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,697.0,0.5150645624103299
234602006,0.25555555555555554,0.18888888888888888,0.23703703703703705,0.1259259259259259,0.037037037037037035,0.037037037037037035,0.014814814814814815,0.025925925925925925,0.022222222222222223,0.007407407407407408,0.014814814814814815,0.007407407407407408,0.014814814814814815,0.0,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,583.0,0.4631217838765009
234602007,0.31,0.22333333333333333,0.23,0.056666666666666664,0.06666666666666667,0.023333333333333334,0.03666666666666667,0.006666666666666667,0.013333333333333334,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,300.0,695.0,0.4316546762589928
234602008,0.2628992628992629,0.2113022113022113,0.26044226044226043,0.051597051597051594,0.05405405405405406,0.03194103194103194,0.044226044226044224,0.02457002457002457,0.0171990171990172,0.009828009828009828,0.004914004914004914,0.007371007371007371,0.002457002457002457,0.002457002457002457,0.007371007371007371,0.0,0.0,0.0,0.0,0.0,0.0,0.002457002457002457,0.0,0.0,0.0,0.0,0.0,0.004914004914004914,0.0,0.0,407.0,844.0,0.4822274881516588
234602009,0.19602977667493796,0.2531017369727047,0.24069478908188585,0.10173697270471464,0.03970223325062035,0.06451612903225806,0.03225806451612903,0.019851116625310174,0.0024813895781637717,0.009925558312655087,0.007444168734491315,0.004962779156327543,0.004962779156327543,0.004962779156327543,0.004962779156327543,0.0024813895781637717,0.004962779156327543,0.0,0.0024813895781637717,0.0,0.0024813895781637717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,822.0,0.4902676399026764
234602010,0.248,0.24,0.21333333333333335,0.08,0.07733333333333334,0.034666666666666665,0.032,0.024,0.008,0.005333333333333333,0.005333333333333333,0.008,0.008,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0026666666666666666,375.0,760.0,0.4934210526315789
234602011,0.2245430809399478,0.2558746736292428,0.29765013054830286,0.04699738903394256,0.057441253263707574,0.02349869451697128,0.02349869451697128,0.010443864229765013,0.015665796344647518,0.007832898172323759,0.005221932114882507,0.013054830287206266,0.005221932114882507,0.0,0.005221932114882507,0.0026109660574412533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0,0.0026109660574412533,0.0,0.0,0.0,0.0,383.0,809.0,0.47342398022249693
