id,ГЕРБ-СДС,БСП,ДБ,Борис Бонев (нез.),не подкрепям никого,ВМРО-БНД,ПП АТАКА,БСДП,Гергин Борисов (нез.),ДПС,Глас Народен,ВЪЗР,ЗЕЛЕНИТЕ,АБВ,АЛТЕРНАТИВАТА НА ГРАЖДАНИТЕ,"ДБГ, ЗНС, НДСВ",ВОЛЯ,ЗАЕДНО за промяна,ДВИЖЕНИЕ 21,"Ние, Гражданите",Християндемократическа партия,НФСБ,МИР,Земеделски съюз „Ал. Стамболийски“,ДВИЖЕНИЕ „НАПРЕД БЪЛГАРИЯ“,Александър Ваклин (нез.),СДП,СВОБОДА,БЗНС,ПРЯКА ДЕМОКРАЦИЯ,БСДД,Радикалдемократическа партия,БНО,ОБЕДИНЕНА СОЦИАЛДЕМОКРАЦИЯ,НРП,total,eligible_voters,активност
224601001,0.235,0.21,0.185,0.09,0.035,0.03,0.05,0.01,0.005,0.005,0.01,0.005,0.015,0.015,0.01,0.025,0.0,0.0,0.01,0.015,0.01,0.015,0.005,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,200,503,0.3976143141153082
224601002,0.28957528957528955,0.13127413127413126,0.2548262548262548,0.16216216216216217,0.03861003861003861,0.015444015444015444,0.015444015444015444,0.0,0.0,0.007722007722007722,0.011583011583011582,0.023166023166023165,0.007722007722007722,0.011583011583011582,0.007722007722007722,0.007722007722007722,0.0,0.0,0.0,0.0,0.0,0.011583011583011582,0.0,0.003861003861003861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,650,0.3984615384615385
224601003,0.3371647509578544,0.08812260536398467,0.21455938697318008,0.1417624521072797,0.019157088122605363,0.02681992337164751,0.019157088122605363,0.0,0.011494252873563218,0.0038314176245210726,0.01532567049808429,0.011494252873563218,0.0038314176245210726,0.0038314176245210726,0.0038314176245210726,0.019157088122605363,0.0,0.022988505747126436,0.0,0.0038314176245210726,0.0038314176245210726,0.01532567049808429,0.0038314176245210726,0.007662835249042145,0.0038314176245210726,0.007662835249042145,0.0,0.0,0.0038314176245210726,0.0038314176245210726,0.0038314176245210726,0.0,0.0,0.0,0.0,261,589,0.4431239388794567
224601004,0.2909090909090909,0.09454545454545454,0.26545454545454544,0.15272727272727274,0.04727272727272727,0.025454545454545455,0.007272727272727273,0.0036363636363636364,0.01090909090909091,0.0036363636363636364,0.01090909090909091,0.0036363636363636364,0.01090909090909091,0.01090909090909091,0.0036363636363636364,0.01090909090909091,0.0,0.01818181818181818,0.007272727272727273,0.0,0.0,0.0,0.0,0.0036363636363636364,0.007272727272727273,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0,275,652,0.4217791411042945
224601005,0.2893081761006289,0.11949685534591195,0.29874213836477986,0.15723270440251572,0.03459119496855346,0.012578616352201259,0.006289308176100629,0.009433962264150943,0.006289308176100629,0.0031446540880503146,0.012578616352201259,0.009433962264150943,0.009433962264150943,0.012578616352201259,0.006289308176100629,0.0,0.0,0.006289308176100629,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,747,0.42570281124497994
224601006,0.23711340206185566,0.12371134020618557,0.31958762886597936,0.13402061855670103,0.024054982817869417,0.01718213058419244,0.006872852233676976,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.006872852233676976,0.013745704467353952,0.006872852233676976,0.020618556701030927,0.003436426116838488,0.006872852233676976,0.0,0.006872852233676976,0.006872852233676976,0.010309278350515464,0.006872852233676976,0.006872852233676976,0.003436426116838488,0.003436426116838488,0.0,0.006872852233676976,0.0,0.0,0.0,0.0,0.01718213058419244,0.0,0.0,0.0,0.0,291,627,0.46411483253588515
224601007,0.27414330218068533,0.12461059190031153,0.2554517133956386,0.1526479750778816,0.06230529595015576,0.018691588785046728,0.006230529595015576,0.003115264797507788,0.003115264797507788,0.006230529595015576,0.01557632398753894,0.003115264797507788,0.009345794392523364,0.003115264797507788,0.012461059190031152,0.006230529595015576,0.0,0.009345794392523364,0.003115264797507788,0.0,0.003115264797507788,0.003115264797507788,0.009345794392523364,0.006230529595015576,0.003115264797507788,0.0,0.0,0.006230529595015576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,329,0.9756838905775076
224601008,0.311284046692607,0.1245136186770428,0.24124513618677043,0.0,0.1517509727626459,0.007782101167315175,0.0038910505836575876,0.007782101167315175,0.007782101167315175,0.0038910505836575876,0.027237354085603113,0.0038910505836575876,0.011673151750972763,0.01556420233463035,0.01556420233463035,0.0311284046692607,0.0038910505836575876,0.0038910505836575876,0.0,0.0,0.007782101167315175,0.0038910505836575876,0.0,0.0038910505836575876,0.007782101167315175,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,257,264,0.9734848484848485
224601009,0.28488372093023256,0.10174418604651163,0.3023255813953488,0.15988372093023256,0.020348837209302327,0.011627906976744186,0.00872093023255814,0.005813953488372093,0.0,0.0029069767441860465,0.020348837209302327,0.0029069767441860465,0.00872093023255814,0.005813953488372093,0.0029069767441860465,0.00872093023255814,0.005813953488372093,0.005813953488372093,0.0029069767441860465,0.00872093023255814,0.005813953488372093,0.005813953488372093,0.0,0.005813953488372093,0.0029069767441860465,0.0,0.0,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0,0.0,0.0,0.0,0.0,344,795,0.4327044025157233
224601010,0.3203342618384401,0.16434540389972144,0.28133704735376047,0.09749303621169916,0.019498607242339833,0.008356545961002786,0.005571030640668524,0.011142061281337047,0.005571030640668524,0.005571030640668524,0.008356545961002786,0.002785515320334262,0.011142061281337047,0.002785515320334262,0.002785515320334262,0.011142061281337047,0.005571030640668524,0.0,0.005571030640668524,0.002785515320334262,0.002785515320334262,0.002785515320334262,0.0,0.005571030640668524,0.0,0.0,0.0,0.002785515320334262,0.008356545961002786,0.002785515320334262,0.0,0.002785515320334262,0.0,0.0,0.0,359,720,0.4986111111111111
