id,ПП/ДБ/СС,ГЕРБ-СДС,БСП/АТАКА/други,ВЪЗР,не подкрепям никого,"КОД (ДДД-ДЗ, БДФ)",ИТН,ВМРО-БНД,БВ,БСДП,Петър Славов,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ОБЕДИНЕНИ ЗЕМЕДЕЛЦИ,СБОР,Граждани за Общината,Веселин Кръстев,ДПС,БЪЛГАРСКИ ГЛАСЪ,МИР,БСД - ЕВРОЛЕВИЦА,БСД,ЗАЕДНО ЗА СИЛНА ОБЩИНА,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПРАВОТО,ЗС Ал. Стамболийски,БСДД,НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО,Соц. пар. „Български път“,total,eligible_voters,активност,невалидни
224616048,0.3657587548638132,0.17120622568093385,0.08560311284046693,0.058365758754863814,0.07392996108949416,0.027237354085603113,0.07392996108949416,0.007782101167315175,0.019455252918287938,0.011673151750972763,0.0,0.01556420233463035,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876,0.0,0.0038910505836575876,0.019455252918287938,0.019455252918287938,0.007782101167315175,0.007782101167315175,0.0,0.0,0.011673151750972763,0.007782101167315175,0.0,0.0,0.0,0.0,0.0,257.0,636.0,0.40408805031446543,0.058365758754863814
224619071,0.07407407407407407,0.5370370370370371,0.2777777777777778,0.018518518518518517,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,54.0,694.0,0.07780979827089338,0.4444444444444444
224619072,0.0425531914893617,0.7021276595744681,0.14893617021276595,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,695.0,0.06762589928057554,0.44680851063829785
224619132,0.07317073170731707,0.6585365853658537,0.14634146341463414,0.04878048780487805,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,674.0,0.06083086053412463,0.5853658536585366
224613001,0.25870646766169153,0.1691542288557214,0.11442786069651742,0.14427860696517414,0.04975124378109453,0.04975124378109453,0.11442786069651742,0.01990049751243781,0.009950248756218905,0.009950248756218905,0.004975124378109453,0.009950248756218905,0.009950248756218905,0.009950248756218905,0.0,0.014925373134328358,0.0,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,201.0,691.0,0.29088277858176553,0.0845771144278607
224613002,0.2794759825327511,0.1965065502183406,0.10043668122270742,0.039301310043668124,0.017467248908296942,0.021834061135371178,0.07860262008733625,0.013100436681222707,0.004366812227074236,0.008733624454148471,0.004366812227074236,0.004366812227074236,0.004366812227074236,0.013100436681222707,0.0,0.008733624454148471,0.008733624454148471,0.0,0.0,0.008733624454148471,0.0,0.0,0.0,0.0,0.0,0.18340611353711792,0.0,0.004366812227074236,0.0,0.0,229.0,671.0,0.3412816691505216,0.0
224618045,0.18518518518518517,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.2222222222222222,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,27.0,17.0,1.588235294117647,0.2962962962962963
224620002,0.2676056338028169,0.09154929577464789,0.2535211267605634,0.19014084507042253,0.028169014084507043,0.02112676056338028,0.08450704225352113,0.02112676056338028,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,142.0,571.0,0.2486865148861646,0.04929577464788732
224620003,0.2265625,0.140625,0.21875,0.125,0.0859375,0.0234375,0.109375,0.0078125,0.0078125,0.0078125,0.0,0.0,0.0078125,0.0,0.0,0.0078125,0.0078125,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,128.0,616.0,0.2077922077922078,0.078125
224620056,0.26875,0.21875,0.18125,0.1,0.025,0.0625,0.0375,0.00625,0.0125,0.00625,0.00625,0.00625,0.01875,0.025,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,566.0,0.2826855123674912,0.0125
224620005,0.2903225806451613,0.17338709677419356,0.125,0.125,0.09274193548387097,0.016129032258064516,0.07258064516129033,0.04435483870967742,0.004032258064516129,0.012096774193548387,0.004032258064516129,0.008064516129032258,0.004032258064516129,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.004032258064516129,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.008064516129032258,0.0,248.0,854.0,0.2903981264637002,0.05241935483870968
224620006,0.2722772277227723,0.24257425742574257,0.15346534653465346,0.09900990099009901,0.09900990099009901,0.01485148514851485,0.039603960396039604,0.0297029702970297,0.0049504950495049506,0.009900990099009901,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,202.0,871.0,0.23191733639494833,0.15841584158415842
224620007,0.17326732673267325,0.22772277227722773,0.15841584158415842,0.15346534653465346,0.07920792079207921,0.024752475247524754,0.054455445544554455,0.0049504950495049506,0.009900990099009901,0.01485148514851485,0.009900990099009901,0.0,0.024752475247524754,0.019801980198019802,0.009900990099009901,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0,202.0,678.0,0.29793510324483774,0.04950495049504951
