id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,не подкрепям никого,total,eligible_voters,активност
224624017,0.32,0.52,0.16,25.0,17.0,1.4705882352941178
224624003,0.3183183183183183,0.5405405405405406,0.14114114114114115,333.0,915.0,0.3639344262295082
224624006,0.33774834437086093,0.5496688741721855,0.11258278145695365,302.0,920.0,0.3282608695652174
224624002,0.3987730061349693,0.4754601226993865,0.12576687116564417,326.0,744.0,0.4381720430107527
224624005,0.436046511627907,0.4796511627906977,0.08430232558139535,344.0,936.0,0.36752136752136755
224624007,0.41924398625429554,0.5257731958762887,0.054982817869415807,291.0,720.0,0.4041666666666667
224624008,0.29736842105263156,0.49736842105263157,0.20526315789473684,380.0,971.0,0.3913491246138002
224624001,0.410958904109589,0.4794520547945205,0.1095890410958904,292.0,754.0,0.38726790450928383
224624004,0.375,0.5328947368421053,0.09210526315789473,304.0,848.0,0.3584905660377358
224624010,0.39344262295081966,0.4972677595628415,0.1092896174863388,183.0,435.0,0.4206896551724138
224624013,0.375,0.525,0.1,280.0,765.0,0.3660130718954248
224624009,0.3942307692307692,0.5192307692307693,0.08653846153846154,208.0,587.0,0.3543441226575809
224624014,0.44329896907216493,0.4690721649484536,0.08762886597938144,194.0,462.0,0.4199134199134199
224624016,0.25806451612903225,0.6774193548387096,0.06451612903225806,31.0,53.0,0.5849056603773585
224624015,0.47368421052631576,0.42105263157894735,0.10526315789473684,19.0,42.0,0.4523809523809524
224622020,0.3374233128834356,0.5950920245398773,0.06748466257668712,163.0,612.0,0.26633986928104575
224622021,0.3181818181818182,0.6287878787878788,0.05303030303030303,132.0,532.0,0.24812030075187969
224622022,0.3359375,0.5859375,0.078125,128.0,421.0,0.30403800475059384
224622023,0.3353658536585366,0.6219512195121951,0.042682926829268296,164.0,531.0,0.3088512241054614
224621014,0.35,0.49583333333333335,0.15416666666666667,240.0,551.0,0.4355716878402904
224621015,0.2956204379562044,0.6496350364963503,0.05474452554744526,274.0,824.0,0.3325242718446602
224621016,0.252,0.66,0.088,250.0,698.0,0.35816618911174786
224621017,0.27230046948356806,0.5915492957746479,0.13615023474178403,213.0,693.0,0.30735930735930733
224621018,0.27391304347826084,0.6043478260869565,0.12173913043478261,230.0,730.0,0.3150684931506849
224621019,0.3275862068965517,0.5905172413793104,0.08189655172413793,232.0,641.0,0.3619344773790952
224621020,0.2655367231638418,0.655367231638418,0.07909604519774012,177.0,616.0,0.28733766233766234
224621009,0.26143790849673204,0.6241830065359477,0.11437908496732026,306.0,846.0,0.3617021276595745
224621010,0.35443037974683544,0.5654008438818565,0.08016877637130802,237.0,735.0,0.3224489795918367
224621011,0.2374429223744292,0.6438356164383562,0.1187214611872146,219.0,647.0,0.3384853168469861
224621012,0.25793650793650796,0.626984126984127,0.11507936507936507,252.0,765.0,0.32941176470588235
224621013,0.2581967213114754,0.6926229508196722,0.04918032786885246,244.0,802.0,0.30423940149625933
224621021,0.25806451612903225,0.6774193548387096,0.06451612903225806,155.0,603.0,0.2570480928689884
224621022,0.3202614379084967,0.5816993464052288,0.09803921568627451,153.0,435.0,0.35172413793103446
224621023,0.20903954802259886,0.6610169491525424,0.12994350282485875,177.0,522.0,0.3390804597701149
224621008,0.2727272727272727,0.6099706744868035,0.11730205278592376,341.0,857.0,0.39789964994165694
224603005,0.16666666666666666,0.5833333333333334,0.25,12.0,13.0,0.9230769230769231
224619133,0.16666666666666666,0.7083333333333334,0.125,24.0,23.0,1.0434782608695652
224614079,0.36363636363636365,0.6363636363636364,0.0,11.0,9.0,1.2222222222222223
224602097,0.0967741935483871,0.7096774193548387,0.1935483870967742,31.0,28.0,1.1071428571428572
224618072,0.4117647058823529,0.47058823529411764,0.11764705882352941,17.0,20.0,0.85
224607086,0.1,0.8,0.1,10.0,10.0,1.0
224609082,0.21428571428571427,0.7142857142857143,0.07142857142857142,28.0,15.0,1.8666666666666667
224604056,0.5833333333333334,0.25,0.16666666666666666,12.0,11.0,1.0909090909090908
224610113,0.32432432432432434,0.6351351351351351,0.04054054054054054,74.0,355.0,0.2084507042253521
224601043,0.3888888888888889,0.5,0.1111111111111111,36.0,26.0,1.3846153846153846
224604001,0.4972375690607735,0.4585635359116022,0.04419889502762431,181.0,408.0,0.44362745098039214
224604002,0.6216216216216216,0.32882882882882886,0.04954954954954955,222.0,579.0,0.38341968911917096
224604003,0.6423357664233577,0.3357664233576642,0.021897810218978103,274.0,664.0,0.4126506024096386
224604004,0.6258992805755396,0.3237410071942446,0.050359712230215826,139.0,403.0,0.34491315136476425
224604005,0.5735294117647058,0.4068627450980392,0.0196078431372549,204.0,491.0,0.4154786150712831
224604006,0.6794258373205742,0.2727272727272727,0.04784688995215311,209.0,513.0,0.4074074074074074
224605025,0.45604395604395603,0.4945054945054945,0.04945054945054945,182.0,613.0,0.2969004893964111
224605026,0.5037037037037037,0.45925925925925926,0.037037037037037035,135.0,445.0,0.30337078651685395
224605027,0.4017094017094017,0.5384615384615384,0.05982905982905983,234.0,683.0,0.34260614934114203
224605028,0.431924882629108,0.5492957746478874,0.018779342723004695,213.0,662.0,0.3217522658610272
224605029,0.288135593220339,0.632768361581921,0.07909604519774012,177.0,558.0,0.3172043010752688
224605030,0.39565217391304347,0.5391304347826087,0.06521739130434782,230.0,668.0,0.344311377245509
224605031,0.3333333333333333,0.5897435897435898,0.07692307692307693,156.0,522.0,0.2988505747126437
224605032,0.36619718309859156,0.6126760563380281,0.02112676056338028,142.0,484.0,0.29338842975206614
224605033,0.528169014084507,0.4225352112676056,0.04929577464788732,142.0,476.0,0.29831932773109243
224613011,0.3908450704225352,0.5492957746478874,0.05985915492957746,284.0,900.0,0.31555555555555553
224613012,0.36678200692041524,0.5986159169550173,0.03460207612456748,289.0,896.0,0.32254464285714285
224613013,0.36065573770491804,0.5655737704918032,0.07377049180327869,244.0,850.0,0.28705882352941176
224613014,0.3452914798206278,0.5919282511210763,0.06278026905829596,223.0,858.0,0.25990675990675993
224613015,0.37358490566037733,0.5773584905660377,0.04905660377358491,265.0,922.0,0.2874186550976139
224613016,0.36363636363636365,0.5709090909090909,0.06545454545454546,275.0,881.0,0.31214528944381387
224613017,0.29411764705882354,0.6519607843137255,0.05392156862745098,204.0,825.0,0.24727272727272728
224613018,0.33175355450236965,0.6018957345971564,0.06635071090047394,211.0,832.0,0.2536057692307692
224613019,0.4433497536945813,0.5024630541871922,0.054187192118226604,203.0,736.0,0.2758152173913043
224613020,0.34782608695652173,0.5603864734299517,0.09178743961352658,207.0,865.0,0.23930635838150288
224613021,0.40444444444444444,0.5466666666666666,0.04888888888888889,225.0,852.0,0.2640845070422535
224613022,0.37130801687763715,0.5822784810126582,0.046413502109704644,237.0,913.0,0.25958378970427165
224613023,0.40611353711790393,0.5764192139737991,0.017467248908296942,229.0,912.0,0.25109649122807015
224613024,0.5,0.452755905511811,0.047244094488188976,254.0,932.0,0.27253218884120173
224613025,0.35789473684210527,0.543859649122807,0.09824561403508772,285.0,954.0,0.29874213836477986
224613026,0.37656903765690375,0.5857740585774058,0.03765690376569038,239.0,782.0,0.30562659846547313
224613027,0.3412322274881517,0.6018957345971564,0.05687203791469194,211.0,779.0,0.27086007702182285
224613028,0.38016528925619836,0.5371900826446281,0.08264462809917356,242.0,862.0,0.28074245939675174
224613029,0.40298507462686567,0.5671641791044776,0.029850746268656716,201.0,830.0,0.2421686746987952
224613030,0.39351851851851855,0.5462962962962963,0.06018518518518518,216.0,820.0,0.2634146341463415
224613031,0.3511111111111111,0.5777777777777777,0.07111111111111111,225.0,736.0,0.30570652173913043
224613032,0.29310344827586204,0.6379310344827587,0.06896551724137931,232.0,775.0,0.29935483870967744
224613033,0.3300970873786408,0.5776699029126213,0.09223300970873786,206.0,749.0,0.2750333778371162
224610064,0.5051546391752577,0.4175257731958763,0.07731958762886598,194.0,517.0,0.37524177949709864
224610065,0.5368421052631579,0.4421052631578947,0.021052631578947368,190.0,512.0,0.37109375
224610066,0.6011396011396012,0.3789173789173789,0.019943019943019943,351.0,905.0,0.3878453038674033
224610067,0.5786802030456852,0.39086294416243655,0.030456852791878174,197.0,597.0,0.32998324958123953
224610069,0.5321100917431193,0.45871559633027525,0.009174311926605505,218.0,595.0,0.3663865546218487
224610070,0.5869565217391305,0.3695652173913043,0.043478260869565216,230.0,565.0,0.40707964601769914
224610075,0.4291845493562232,0.5407725321888412,0.030042918454935622,233.0,526.0,0.4429657794676806
224610076,0.4847328244274809,0.48091603053435117,0.03435114503816794,262.0,724.0,0.36187845303867405
224610077,0.5848214285714286,0.4107142857142857,0.004464285714285714,224.0,824.0,0.27184466019417475
224608006,0.6328125,0.3255208333333333,0.041666666666666664,384.0,711.0,0.540084388185654
224608007,0.5780346820809249,0.37572254335260113,0.046242774566473986,346.0,784.0,0.4413265306122449
224608008,0.4608150470219436,0.4670846394984326,0.07210031347962383,319.0,688.0,0.4636627906976744
224608009,0.5964391691394659,0.3798219584569733,0.02373887240356083,337.0,654.0,0.5152905198776758
224608010,0.5672268907563025,0.40336134453781514,0.029411764705882353,238.0,572.0,0.4160839160839161
224608011,0.5813953488372093,0.3643410852713178,0.05426356589147287,258.0,605.0,0.42644628099173554
224608012,0.5166666666666667,0.425,0.058333333333333334,240.0,593.0,0.40472175379426645
224608013,0.48444444444444446,0.4888888888888889,0.02666666666666667,225.0,574.0,0.39198606271777003
224608014,0.47641509433962265,0.49528301886792453,0.02830188679245283,212.0,564.0,0.375886524822695
224608015,0.46153846153846156,0.532051282051282,0.00641025641025641,156.0,445.0,0.350561797752809
224606059,0.3628691983122363,0.5949367088607594,0.04219409282700422,237.0,839.0,0.2824791418355185
224606060,0.3805309734513274,0.588495575221239,0.030973451327433628,226.0,845.0,0.26745562130177514
224606061,0.34065934065934067,0.6263736263736264,0.03296703296703297,182.0,748.0,0.24331550802139038
224609019,0.5384615384615384,0.4205128205128205,0.041025641025641026,195.0,481.0,0.40540540540540543
224609020,0.6495327102803738,0.32710280373831774,0.02336448598130841,214.0,508.0,0.421259842519685
224609021,0.6129032258064516,0.3548387096774194,0.03225806451612903,217.0,529.0,0.4102079395085066
224609022,0.5714285714285714,0.38492063492063494,0.04365079365079365,252.0,567.0,0.4444444444444444
224614001,0.38271604938271603,0.5720164609053497,0.04526748971193416,243.0,677.0,0.35893648449039883
224614002,0.46445497630331756,0.5023696682464455,0.03317535545023697,211.0,710.0,0.2971830985915493
224614003,0.3700440528634361,0.5594713656387665,0.07048458149779736,227.0,692.0,0.32803468208092484
