id,ДБ,ГЕРБ-СДС,ИТН,БСП,МУТРИ ВЪН!,БНО,ВМРО,ВЪЗР,не подкрепям никого,ВОЛЯ И НФСБ,ДПС,ДНК,АБВ,КОД,АТАКА,РЕПУБЛИКАНЦИ ЗА БГ,ГЛАС НАРОДЕН,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,Партия на ЗЕЛЕНИТЕ,МИР,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,"НИЕ, ГРАЖДАНИТЕ ",БСДД,ЗАЕДНО,Граждани от Протеста,БПЛ,БНС,ПРАВОТО,БОГ,независими,НАЦИЯ,total,eligible_voters,активност
234602001,0.3425692695214106,0.1889168765743073,0.09319899244332494,0.12342569269521411,0.060453400503778336,0.02518891687657431,0.022670025188916875,0.04030226700251889,0.027707808564231738,0.010075566750629723,0.0,0.020151133501259445,0.005037783375314861,0.012594458438287154,0.012594458438287154,0.0025188916876574307,0.0,0.0025188916876574307,0.0025188916876574307,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,397.0,742,0.5350404312668463
234602002,0.30603448275862066,0.22629310344827586,0.11206896551724138,0.10775862068965517,0.05387931034482758,0.032327586206896554,0.034482758620689655,0.036637931034482756,0.017241379310344827,0.01293103448275862,0.0021551724137931034,0.00646551724137931,0.00646551724137931,0.015086206896551725,0.0,0.004310344827586207,0.00646551724137931,0.0021551724137931034,0.0,0.0,0.0021551724137931034,0.004310344827586207,0.0021551724137931034,0.0021551724137931034,0.0,0.0,0.0,0.004310344827586207,0.0,0.0021551724137931034,0.0,0.0,464.0,850,0.5458823529411765
234602003,0.3466666666666667,0.224,0.09333333333333334,0.12533333333333332,0.058666666666666666,0.021333333333333333,0.02666666666666667,0.02666666666666667,0.008,0.005333333333333333,0.0026666666666666666,0.010666666666666666,0.005333333333333333,0.0026666666666666666,0.0026666666666666666,0.005333333333333333,0.005333333333333333,0.010666666666666666,0.0,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0,0.008,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,375.0,750,0.5
234602004,0.31313131313131315,0.22474747474747475,0.10858585858585859,0.10101010101010101,0.07828282828282829,0.03787878787878788,0.017676767676767676,0.025252525252525252,0.020202020202020204,0.015151515151515152,0.0025252525252525255,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.0025252525252525255,0.005050505050505051,0.0,0.0,0.005050505050505051,0.007575757575757576,0.0025252525252525255,0.005050505050505051,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,675,0.5866666666666667
234602005,0.3664772727272727,0.2215909090909091,0.09375,0.125,0.048295454545454544,0.022727272727272728,0.036931818181818184,0.017045454545454544,0.005681818181818182,0.019886363636363636,0.0,0.008522727272727272,0.002840909090909091,0.005681818181818182,0.005681818181818182,0.002840909090909091,0.002840909090909091,0.0,0.0,0.0,0.0,0.0,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.0,0.0,0.0,0.002840909090909091,0.0,0.0,352.0,725,0.48551724137931035
234602006,0.3287671232876712,0.1917808219178082,0.10273972602739725,0.10616438356164383,0.07876712328767123,0.03424657534246575,0.03424657534246575,0.0410958904109589,0.02054794520547945,0.010273972602739725,0.0,0.003424657534246575,0.0136986301369863,0.010273972602739725,0.0,0.003424657534246575,0.00684931506849315,0.003424657534246575,0.003424657534246575,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.0,0.0,0.003424657534246575,0.0,0.0,0.0,0.0,292.0,598,0.4882943143812709
234602007,0.3501577287066246,0.2082018927444795,0.08517350157728706,0.1167192429022082,0.0473186119873817,0.028391167192429023,0.04100946372239748,0.015772870662460567,0.028391167192429023,0.00946372239747634,0.0031545741324921135,0.015772870662460567,0.0,0.0031545741324921135,0.028391167192429023,0.006309148264984227,0.0,0.0031545741324921135,0.0031545741324921135,0.0,0.0,0.0,0.0031545741324921135,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,703,0.45092460881934565
234602008,0.39185750636132316,0.19338422391857507,0.1272264631043257,0.09923664122137404,0.03307888040712468,0.01272264631043257,0.03816793893129771,0.020356234096692113,0.022900763358778626,0.017811704834605598,0.005089058524173028,0.020356234096692113,0.0,0.007633587786259542,0.002544529262086514,0.0,0.002544529262086514,0.0,0.0,0.0,0.002544529262086514,0.0,0.0,0.002544529262086514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,846,0.4645390070921986
234602009,0.31773399014778325,0.2438423645320197,0.0812807881773399,0.11576354679802955,0.06157635467980296,0.022167487684729065,0.046798029556650245,0.024630541871921183,0.014778325123152709,0.009852216748768473,0.0024630541871921183,0.009852216748768473,0.0024630541871921183,0.0049261083743842365,0.007389162561576354,0.009852216748768473,0.007389162561576354,0.0024630541871921183,0.0,0.0024630541871921183,0.0,0.0,0.0,0.0024630541871921183,0.0049261083743842365,0.0024630541871921183,0.0,0.0024630541871921183,0.0,0.0,0.0,0.0,406.0,845,0.4804733727810651
234602010,0.3157894736842105,0.18796992481203006,0.09523809523809523,0.15288220551378445,0.05012531328320802,0.040100250626566414,0.03759398496240601,0.015037593984962405,0.02506265664160401,0.010025062656641603,0.015037593984962405,0.012531328320802004,0.007518796992481203,0.002506265664160401,0.0,0.0,0.007518796992481203,0.005012531328320802,0.002506265664160401,0.0,0.005012531328320802,0.0,0.007518796992481203,0.0,0.0,0.0,0.002506265664160401,0.002506265664160401,0.0,0.0,0.0,0.0,399.0,766,0.52088772845953
