id,ДБ,ГЕРБ-СДС,ИТН,БСП,МУТРИ ВЪН!,ВЪЗР,"ВМРО, ВОЛЯ И НФСБ",БЪЛГАРСКО ЛЯТО,не подкрепям никого,ДПС,НОД,ЛЯВ СЪЮЗ,АТАКА,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,МИР,РЕПУБЛИКАНЦИ ЗА БГ,БНС,ЗАЕДНО,СВОБОДА,БТР,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,независими,ПОДЕМ,total,eligible_voters,активност
234602001,0.39481268011527376,0.21037463976945245,0.08645533141210375,0.1037463976945245,0.025936599423631124,0.05187319884726225,0.040345821325648415,0.005763688760806916,0.02881844380403458,0.011527377521613832,0.01729106628242075,0.002881844380403458,0.011527377521613832,0.0,0.005763688760806916,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,740.0,0.4689189189189189
234602002,0.31042128603104213,0.21507760532150777,0.17516629711751663,0.10643015521064302,0.05321507760532151,0.04656319290465632,0.028824833702882482,0.022172949002217297,0.019955654101995565,0.0022172949002217295,0.0066518847006651885,0.0022172949002217295,0.0,0.0,0.0022172949002217295,0.0,0.0022172949002217295,0.0022172949002217295,0.004434589800443459,0.0,0.0,0.0,0.0,0.0,0.0,451.0,856.0,0.5268691588785047
234602003,0.35135135135135137,0.23423423423423423,0.12912912912912913,0.1111111111111111,0.06306306306306306,0.03903903903903904,0.03303303303303303,0.009009009009009009,0.003003003003003003,0.003003003003003003,0.0,0.006006006006006006,0.006006006006006006,0.003003003003003003,0.003003003003003003,0.0,0.0,0.0,0.0,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,333.0,735.0,0.4530612244897959
234602004,0.3408450704225352,0.24225352112676057,0.11830985915492957,0.0676056338028169,0.09014084507042254,0.030985915492957747,0.01971830985915493,0.022535211267605635,0.030985915492957747,0.0028169014084507044,0.005633802816901409,0.008450704225352112,0.005633802816901409,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044,0.0,0.0028169014084507044,0.0,0.0,0.0028169014084507044,0.0,0.0,0.0,0.0,355.0,656.0,0.5411585365853658
234602005,0.3929712460063898,0.2268370607028754,0.12140575079872204,0.10862619808306709,0.051118210862619806,0.025559105431309903,0.019169329073482427,0.01597444089456869,0.003194888178913738,0.009584664536741214,0.006389776357827476,0.003194888178913738,0.0,0.006389776357827476,0.006389776357827476,0.0,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,313.0,700.0,0.4471428571428571
234602006,0.3665480427046263,0.23487544483985764,0.10320284697508897,0.06761565836298933,0.06405693950177936,0.046263345195729534,0.03202846975088968,0.02491103202846975,0.0071174377224199285,0.0,0.010676156583629894,0.010676156583629894,0.0071174377224199285,0.010676156583629894,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,590.0,0.47627118644067795
234602007,0.3591549295774648,0.24295774647887325,0.12323943661971831,0.1056338028169014,0.04929577464788732,0.017605633802816902,0.02112676056338028,0.02464788732394366,0.02112676056338028,0.0035211267605633804,0.017605633802816902,0.0,0.007042253521126761,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,284.0,695.0,0.40863309352517985
234602008,0.44054054054054054,0.22162162162162163,0.15135135135135136,0.05675675675675676,0.01891891891891892,0.02972972972972973,0.024324324324324326,0.013513513513513514,0.01891891891891892,0.002702702702702703,0.005405405405405406,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.0,0.002702702702702703,0.002702702702702703,0.002702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,836.0,0.44258373205741625
234602009,0.3258426966292135,0.26685393258426965,0.10955056179775281,0.10393258426966293,0.06179775280898876,0.02247191011235955,0.03651685393258427,0.019662921348314606,0.014044943820224719,0.0028089887640449437,0.008426966292134831,0.011235955056179775,0.0028089887640449437,0.0056179775280898875,0.0,0.0028089887640449437,0.0028089887640449437,0.0,0.0028089887640449437,0.0,0.0,0.0,0.0,0.0,0.0,356.0,834.0,0.42685851318944845
234602010,0.35103244837758113,0.23893805309734514,0.0943952802359882,0.10619469026548672,0.05014749262536873,0.038348082595870206,0.0471976401179941,0.014749262536873156,0.038348082595870206,0.008849557522123894,0.0,0.0,0.0,0.0058997050147492625,0.0029498525073746312,0.0,0.0,0.0029498525073746312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,742.0,0.4568733153638814
234602011,0.3949579831932773,0.2661064425770308,0.10084033613445378,0.0896358543417367,0.0392156862745098,0.01680672268907563,0.008403361344537815,0.028011204481792718,0.022408963585434174,0.008403361344537815,0.0028011204481792717,0.0,0.0,0.0028011204481792717,0.0028011204481792717,0.0,0.0056022408963585435,0.0056022408963585435,0.0,0.0028011204481792717,0.0028011204481792717,0.0,0.0,0.0,0.0,357.0,833.0,0.42857142857142855
234602012,0.3333333333333333,0.20909090909090908,0.11818181818181818,0.10303030303030303,0.07878787878787878,0.02727272727272727,0.06060606060606061,0.01818181818181818,0.021212121212121213,0.0030303030303030303,0.0030303030303030303,0.0,0.0030303030303030303,0.012121212121212121,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,330.0,712.0,0.46348314606741575
