id,Фандъкова,Манолова,не подкрепям никого,total,eligible_voters,активност,активност
224601001,0.4484536082474227,0.4948453608247423,0.05670103092783505,194,503,0.0019880715705765406,0.3856858846918489
224601002,0.5129151291512916,0.3763837638376384,0.11070110701107011,271,650,0.0015384615384615385,0.4169230769230769
224601003,0.5418326693227091,0.3944223107569721,0.06374501992031872,251,589,0.001697792869269949,0.42614601018675724
224601004,0.562992125984252,0.3464566929133858,0.09055118110236221,254,651,0.0015360983102918587,0.3901689708141321
224601005,0.5616883116883117,0.30844155844155846,0.12987012987012986,308,747,0.0013386880856760374,0.41231593038821956
224601006,0.5,0.3843283582089552,0.11567164179104478,268,628,0.0015923566878980893,0.4267515923566879
224601007,0.5567375886524822,0.3475177304964539,0.09574468085106383,282,722,0.0013850415512465374,0.39058171745152354
224601008,0.5271317829457365,0.39147286821705424,0.08139534883720931,258,573,0.0017452006980802793,0.450261780104712
224601009,0.5449101796407185,0.2964071856287425,0.15868263473053892,334,794,0.0012594458438287153,0.42065491183879095
224601010,0.5274390243902439,0.375,0.0975609756097561,328,720,0.001388888888888889,0.45555555555555555
224601011,0.434640522875817,0.4477124183006536,0.11764705882352941,306,708,0.0014124293785310734,0.4322033898305085
224601012,0.5833333333333334,0.2733333333333333,0.14333333333333334,300,688,0.0014534883720930232,0.436046511627907
224601013,0.49843260188087773,0.3667711598746082,0.13479623824451412,319,712,0.0014044943820224719,0.44803370786516855
224601014,0.45645645645645644,0.43843843843843844,0.10510510510510511,333,740,0.0013513513513513514,0.45
224601015,0.547945205479452,0.3607305936073059,0.091324200913242,219,504,0.001984126984126984,0.43452380952380953
224601016,0.4708171206225681,0.42023346303501946,0.10894941634241245,257,645,0.0015503875968992248,0.3984496124031008
224601017,0.6090909090909091,0.2863636363636364,0.10454545454545454,220,477,0.0020964360587002098,0.4612159329140461
224601018,0.5034722222222222,0.3784722222222222,0.11805555555555555,288,644,0.0015527950310559005,0.4472049689440994
224601019,0.5107142857142857,0.3821428571428571,0.10714285714285714,280,685,0.00145985401459854,0.40875912408759124
224601020,0.5427509293680297,0.3754646840148699,0.08178438661710037,269,627,0.001594896331738437,0.42902711323763953
224601021,0.4618055555555556,0.4583333333333333,0.0798611111111111,288,685,0.00145985401459854,0.42043795620437957
224601022,0.47692307692307695,0.4153846153846154,0.1076923076923077,325,726,0.0013774104683195593,0.4476584022038568
224601023,0.4708171206225681,0.43190661478599224,0.09727626459143969,257,574,0.0017421602787456446,0.44773519163763065
224601024,0.48249027237354086,0.3657587548638132,0.1517509727626459,257,615,0.0016260162601626016,0.41788617886178864
224601025,0.41304347826086957,0.46956521739130436,0.11739130434782609,230,533,0.001876172607879925,0.43151969981238275
224601026,0.5104895104895105,0.36363636363636365,0.1258741258741259,286,647,0.0015455950540958269,0.4420401854714065
224601027,0.4801587301587302,0.3968253968253968,0.12301587301587301,252,562,0.0017793594306049821,0.4483985765124555
224601028,0.39436619718309857,0.5176056338028169,0.0880281690140845,284,595,0.0016806722689075631,0.4773109243697479
224601029,0.5089820359281437,0.3772455089820359,0.11377245508982035,334,860,0.0011627906976744186,0.3883720930232558
224601030,0.4896551724137931,0.3931034482758621,0.11724137931034483,290,604,0.0016556291390728477,0.48013245033112584
224601031,0.5071090047393365,0.4075829383886256,0.08530805687203792,211,494,0.0020242914979757085,0.4271255060728745
224601032,0.4559748427672956,0.389937106918239,0.1540880503144654,318,809,0.0012360939431396785,0.3930778739184178
224601033,0.5445859872611465,0.34076433121019106,0.11464968152866242,314,623,0.0016051364365971107,0.5040128410914928
224601034,0.5447761194029851,0.3246268656716418,0.13059701492537312,268,598,0.0016722408026755853,0.44816053511705684
