секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
273100153,с.Хан Аспарухово,425.0,170.0,60.0,48.0,36.0,25.0,250.0,41.0,83.6,45.0,33.0,26.666666666666668,27.0,15.0,44.44444444444444,14.0,13.0,7.142857142857142,2.0,3.0,-50.0
Общо,,425.0,170.0,60.0,48.0,36.0,25.0,250.0,41.0,83.6,45.0,33.0,26.666666666666668,27.0,15.0,44.44444444444444,14.0,13.0,7.142857142857142,2.0,3.0,-50.0
081200015,с.Горица,41.0,17.0,58.536585365853654,8.0,7.0,12.5,15.0,1.0,93.33333333333333,4.0,3.0,25.0,0.0,4.0,,0.0,0.0,,0.0,2.0,
Общо,,41.0,17.0,58.536585365853654,8.0,7.0,12.5,15.0,1.0,93.33333333333333,4.0,3.0,25.0,0.0,4.0,,0.0,0.0,,0.0,2.0,
132900022,с.Ковачево,454.0,302.0,33.480176211453745,149.0,104.0,30.201342281879196,52.0,2.0,96.15384615384616,96.0,64.0,33.33333333333333,84.0,97.0,-15.476190476190476,8.0,9.0,-12.5,6.0,5.0,16.666666666666664
132900023,с.Ковачево,349.0,31.0,91.11747851002865,5.0,7.0,-40.0,298.0,8.0,97.31543624161074,28.0,8.0,71.42857142857143,3.0,4.0,-33.33333333333333,5.0,1.0,80.0,0.0,0.0,
Общо,,803.0,333.0,58.53051058530511,154.0,111.0,27.92207792207792,350.0,10.0,97.14285714285714,124.0,72.0,41.935483870967744,87.0,101.0,-16.091954022988507,13.0,10.0,23.076923076923077,6.0,5.0,16.666666666666664
081200034,с.Присад,146.0,61.0,58.21917808219178,122.0,8.0,93.44262295081968,1.0,4.0,-300.0,11.0,15.0,-36.36363636363637,3.0,25.0,-733.3333333333333,1.0,2.0,-100.0,0.0,4.0,
Общо,,146.0,61.0,58.21917808219178,122.0,8.0,93.44262295081968,1.0,4.0,-300.0,11.0,15.0,-36.36363636363637,3.0,25.0,-733.3333333333333,1.0,2.0,-100.0,0.0,4.0,
283500080,с.Надарево,212.0,90.0,57.54716981132076,32.0,20.0,37.5,106.0,23.0,78.30188679245283,18.0,11.0,38.88888888888889,22.0,19.0,13.636363636363635,2.0,5.0,-150.0,3.0,4.0,-33.33333333333333
Общо,,212.0,90.0,57.54716981132076,32.0,20.0,37.5,106.0,23.0,78.30188679245283,18.0,11.0,38.88888888888889,22.0,19.0,13.636363636363635,2.0,5.0,-150.0,3.0,4.0,-33.33333333333333
132400009,гр.Костандово,411.0,170.0,58.63746958637469,146.0,22.0,84.93150684931507,163.0,51.0,68.71165644171779,19.0,21.0,-10.526315789473683,24.0,51.0,-112.5,1.0,3.0,-200.0,2.0,5.0,-150.0
132400010,гр.Костандово,472.0,197.0,58.26271186440678,153.0,17.0,88.88888888888889,207.0,68.0,67.14975845410628,16.0,13.0,18.75,27.0,76.0,-181.4814814814815,3.0,6.0,-100.0,2.0,4.0,-100.0
