id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
14235,5,4,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,16.0,18.0,25,1
14249,18,8,0,1,19,13,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0,1,0.0,0,0.0,0,6,67.0,73.0,180,1
14252,49,8,0,4,6,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1.0,0,0.0,0,3,77.0,80.0,92,1
14275,125,89,5,14,52,38,45,16,4,3,0,3,2,2,2,3,0,1,1,2,1.0,2,2,1.0,0,0.0,0,46,413.0,459.0,956,2
14283,63,37,0,6,6,5,14,2,0,0,0,0,1,0,0,1,1,0,0,1,0.0,0,0,1.0,0,0.0,0,10,138.0,148.0,218,1
14297,50,52,4,2,8,10,7,11,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,2.0,0,0.0,0,10,148.0,158.0,285,1
14307,33,35,117,0,17,7,1,17,2,0,0,1,0,0,1,0,0,1,1,2,3.0,0,0,0.0,0,0.0,0,16,238.0,254.0,629,1
14338,38,29,0,0,3,18,6,4,0,0,0,0,0,0,1,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,9,101.0,110.0,153,1
14341,8,15,0,1,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,2,1.0,0,0.0,0,0,35.0,35.0,68,1
14369,12,15,3,6,1,7,6,8,0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0.0,0,0.0,0,3,61.0,64.0,82,1
14386,288,87,660,61,5,26,11,4,1,1,0,3,2,0,1,2,0,0,1,1,0.0,1,1,1.0,1,0.0,0,107,1158.0,1265.0,2096,3
14390,39,57,98,17,7,16,13,6,1,0,1,1,1,1,0,1,0,1,2,1,0.0,0,0,0.0,0,0.0,0,31,263.0,294.0,491,1
14406,74,76,423,4,19,101,56,13,3,1,0,0,0,1,2,0,0,3,1,2,1.0,0,0,0.0,0,0.0,0,33,780.0,813.0,1570,3
14413,11,41,37,2,0,11,0,2,1,0,2,4,0,0,1,0,0,0,0,0,0.0,2,0,0.0,0,0.0,0,10,114.0,124.0,200,1
14427,76,30,1,0,3,7,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,12,127.0,139.0,228,1
14458,14,16,3,8,13,13,13,2,1,0,0,1,2,0,0,1,0,0,0,1,0.0,0,0,0.0,0,0.0,0,2,88.0,90.0,153,1
14461,127,81,16,44,17,22,26,18,1,3,5,2,2,0,2,3,2,0,0,1,2.0,0,0,1.0,2,0.0,0,20,377.0,397.0,884,1
14475,159,99,20,76,53,48,35,12,5,7,11,1,1,2,3,1,0,3,2,1,0.0,0,1,1.0,0,0.0,0,30,541.0,571.0,1113,2
14489,85,100,6,25,11,57,35,8,2,0,4,1,2,0,1,1,0,0,1,2,3.0,1,0,0.0,0,0.0,0,23,345.0,368.0,730,3
14492,574,612,14,135,108,75,65,57,5,5,14,4,0,2,5,3,2,7,4,3,2.0,1,2,14.0,0,5.0,0,219,1718.0,1937.0,3143,6
14516,62,77,315,9,17,6,5,4,0,0,1,1,0,3,1,0,0,0,0,1,0.0,0,1,1.0,0,0.0,0,24,504.0,528.0,1065,2
14521,9,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,32.0,34.0,76,1
14547,47,53,1,6,16,37,8,5,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,1,1.0,1,0.0,0,18,179.0,197.0,324,1
14550,76,33,57,59,14,12,13,9,2,2,0,0,0,1,1,0,0,1,0,1,2.0,0,0,0.0,0,1.0,0,18,284.0,302.0,431,1
14581,13,16,2,31,6,9,9,6,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1.0,0,0.0,0,20,95.0,115.0,236,1
14605,5,4,0,1,2,3,1,5,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,2,24.0,26.0,53,1
14619,69,25,39,3,5,7,17,33,0,0,0,0,0,0,0,7,2,1,4,0,0.0,2,0,0.0,0,0.0,0,29,214.0,243.0,571,1
14647,4,3,127,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,16,142.0,158.0,735,1
14653,76,17,0,3,15,4,6,4,1,1,0,1,1,0,0,1,1,0,0,0,0.0,0,1,1.0,0,0.0,0,33,133.0,166.0,341,1
14667,53,19,92,22,18,8,5,9,0,0,0,1,0,0,1,1,2,0,0,0,1.0,0,0,1.0,0,0.0,0,54,233.0,287.0,514,1
14670,30,2,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,19,112.0,131.0,228,1
14684,10,19,3,0,6,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0.0,0,1,0.0,0,0.0,0,1,46.0,47.0,74,1
14698,12,4,2,55,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,3,77.0,80.0,112,1
14708,24,5,2,3,7,2,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,53.0,57.0,119,1
14711,849,592,239,128,301,231,211,131,36,22,9,5,17,5,8,10,13,6,5,20,2.0,5,7,5.0,3,0.0,0,181,2860.0,3041.0,6513,10
14725,26,64,10,7,33,16,25,4,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0.0,0,13,188.0,201.0,302,1
14773,159,38,1,5,4,21,23,2,1,1,0,0,0,0,0,4,2,0,0,0,0.0,0,0,0.0,0,0.0,0,23,261.0,284.0,423,2
14787,45,15,12,0,7,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1.0,0,0.0,0,10,90.0,100.0,192,1
14800,119,66,31,25,21,6,10,38,0,0,0,0,0,1,1,1,0,1,1,0,0.0,1,0,2.0,0,0.0,0,22,324.0,346.0,587,1
14814,60,18,1,5,5,7,5,5,3,2,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0.0,0,9,113.0,122.0,192,1
14831,549,119,1,122,45,52,42,39,17,32,3,14,3,1,8,3,2,4,2,1,2.0,2,1,3.0,1,0.0,0,82,1068.0,1150.0,2069,3
14862,14,8,2,2,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,9,38.0,47.0,76,1
14876,101,121,81,21,92,48,104,21,7,1,0,1,1,2,2,2,0,2,0,3,2.0,3,0,2.0,2,0.0,0,64,619.0,683.0,1798,3
14888,27,47,0,5,11,11,13,9,1,0,1,0,0,0,0,1,0,0,0,2,0.0,0,0,0.0,0,0.0,0,18,128.0,146.0,276,1
14893,15,17,0,7,4,9,2,4,0,0,1,0,0,0,0,0,2,0,1,0,0.0,0,0,0.0,0,0.0,0,7,62.0,69.0,116,1
14903,50,40,21,1,1,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0,10,122.0,132.0,186,1
14917,16,27,5,0,2,18,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,6,82.0,88.0,166,1
14920,29,81,87,8,7,7,14,9,1,1,1,0,0,0,0,1,0,0,0,0,2.0,0,0,4.0,0,0.0,0,56,252.0,308.0,543,1
14934,100,223,50,17,9,52,17,5,2,1,1,2,1,0,2,6,1,0,0,1,0.0,0,0,0.0,0,0.0,0,52,490.0,542.0,1122,2
14948,16,16,0,0,2,2,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,43.0,47.0,56,1
14951,93,92,9,8,113,54,13,6,6,0,0,1,2,3,3,1,1,0,1,1,3.0,0,1,0.0,0,0.0,0,46,411.0,457.0,828,2
14965,13,15,1,2,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,1,38.0,39.0,64,1
14979,49,20,1,4,2,6,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0.0,1,0,0.0,0,0.0,0,3,93.0,96.0,146,1
14982,4,3,74,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,90.0,93.0,258,1
14996,41,38,1,9,9,10,2,2,0,0,0,4,0,0,0,0,0,0,0,0,1.0,0,1,0.0,0,0.0,0,17,118.0,135.0,180,1
15014,32,38,28,11,5,13,5,5,1,1,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0.0,0,0.0,0,5,141.0,146.0,205,1
15028,297,141,73,39,26,140,77,49,13,11,4,3,3,1,4,2,1,1,0,3,1.0,4,2,1.0,0,0.0,0,65,896.0,961.0,2097,3
15031,187,123,179,127,42,21,18,10,1,2,0,0,2,6,1,0,2,0,0,2,1.0,0,0,0.0,0,0.0,0,54,724.0,778.0,1751,3
15045,3,2,17,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,25.0,26.0,25,1
15093,19,2,144,0,0,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.0,0,0,1.0,0,0.0,0,26,176.0,202.0,462,1
15103,34,9,98,14,4,4,1,25,0,1,0,0,0,0,0,0,0,0,2,0,1.0,0,0,0.0,0,0.0,0,16,193.0,209.0,515,1
15117,5,23,7,2,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,2,45.0,47.0,75,1
15134,25,12,1,1,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,48.0,51.0,71,1
15148,141,161,316,29,8,22,5,5,0,1,0,0,1,0,0,0,0,0,1,2,1.0,1,2,0.0,0,0.0,0,55,696.0,751.0,1339,2
15151,40,40,1558,14,8,22,4,6,1,3,0,0,1,0,0,1,2,0,0,0,0.0,0,2,0.0,0,0.0,0,78,1702.0,1780.0,3559,6
15165,90,84,7,21,41,47,25,15,10,1,1,1,1,5,0,5,0,1,1,3,3.0,1,0,2.0,0,0.0,0,31,365.0,396.0,911,2
15182,18,10,3,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,6,40.0,46.0,65,1
15206,50,59,57,6,11,10,24,3,3,0,4,0,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,20,229.0,249.0,488,1
15216,28,9,516,11,0,1,1,2,1,1,3,0,2,0,0,1,0,0,1,0,0.0,0,0,1.0,1,0.0,0,18,579.0,597.0,1763,2
15237,69,17,21,5,9,5,37,1,0,0,0,0,1,1,4,1,2,0,0,1,0.0,0,0,0.0,0,0.0,0,8,174.0,182.0,268,1
15271,148,68,160,22,12,16,12,16,0,1,6,1,0,1,0,2,3,2,1,1,0.0,1,2,2.0,1,0.0,0,66,478.0,544.0,1202,2
15285,212,152,1,23,43,143,24,13,8,1,0,4,2,0,2,4,1,1,0,2,1.0,0,0,0.0,0,0.0,0,36,637.0,673.0,1123,2
15299,100,33,1,2,9,14,29,2,1,0,0,0,0,1,0,3,0,1,0,0,0.0,0,0,0.0,1,0.0,0,9,197.0,206.0,372,1
15309,566,335,64,71,136,303,102,93,14,14,43,5,0,10,6,11,3,2,2,4,2.0,2,4,5.0,4,0.0,0,113,1801.0,1914.0,3910,5
15312,64,33,295,2,0,9,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,37,409.0,446.0,861,1
15326,78,51,1,27,28,32,15,7,1,1,1,0,1,0,0,1,0,0,0,0,1.0,0,1,0.0,0,1.0,0,30,247.0,277.0,486,1
15401,4,22,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,32.0,32.0,51,1
15415,14,8,1,13,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,42.0,45.0,97,1
15429,0,6,284,7,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,23,302.0,325.0,641,1
15432,94,32,2,5,3,10,16,6,0,0,0,0,0,0,3,0,0,0,0,2,0.0,0,0,2.0,0,0.0,0,16,175.0,191.0,324,1
15446,13,8,0,5,3,27,5,3,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0,1,0.0,0,0.0,0,4,68.0,72.0,102,1
15457,8,14,1,5,0,11,3,2,1,1,0,0,2,0,0,0,0,0,0,0,0.0,2,0,0.0,0,0.0,0,7,50.0,57.0,151,1
15494,29,40,65,2,7,11,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,19,164.0,183.0,264,1
15504,159,24,3,15,23,45,19,32,2,2,4,1,4,1,0,1,0,0,0,3,0.0,1,0,1.0,0,0.0,0,7,340.0,347.0,549,1
15518,45,14,1,3,1,5,2,2,2,0,0,2,0,0,0,1,0,0,0,1,0.0,0,0,1.0,0,0.0,0,4,80.0,84.0,125,1
15521,114,42,90,3,6,12,10,4,0,3,1,2,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,24,289.0,313.0,427,1
15535,80,27,7,7,12,65,16,9,0,1,0,2,1,0,1,3,0,0,0,0,0.0,2,0,0.0,1,0.0,0,14,234.0,248.0,407,1
15552,28,28,2,6,2,3,3,6,0,0,0,1,0,0,1,0,1,0,1,0,1.0,0,1,0.0,0,0.0,0,8,84.0,92.0,149,1
15566,86,54,251,0,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1.0,0,2,0.0,0,0.0,0,11,402.0,413.0,956,2
15572,14,9,2,1,1,11,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,10,43.0,53.0,90,1
15583,8,1,0,1,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,30.0,31.0,41,1
15597,69,32,1,7,53,11,21,10,0,0,0,0,1,0,0,1,1,0,0,1,0.0,0,0,0.0,0,0.0,0,30,208.0,238.0,538,1
15607,4,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,90.0,90.0,270,1
15610,2,3,32,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,40.0,41.0,310,1
15638,3,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,22.0,29.0,42,1
15641,4,3,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,9,111.0,120.0,265,1
15655,12,15,1,8,2,10,2,9,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,0,1.0,0,0.0,0,2,63.0,65.0,113,1
15669,14,0,199,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,216.0,223.0,397,1
15703,126,67,86,14,17,41,18,15,3,3,0,0,1,0,1,1,2,1,0,2,0.0,0,0,1.0,0,0.0,0,20,399.0,419.0,577,1
15713,4,2,191,1,0,1,0,1,0,0,3,0,1,0,0,1,0,0,2,0,0.0,0,1,0.0,0,0.0,0,14,208.0,222.0,804,1
15727,15,12,46,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,1,80.0,81.0,139,1
15730,15,15,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0.0,0,0.0,0,0,38.0,38.0,60,1
15744,17,24,1,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,8,53.0,61.0,86,1
15758,52,88,0,6,19,8,9,7,0,1,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,23,192.0,215.0,352,2
15761,97,10,87,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,1.0,0,0.0,0,7,203.0,210.0,285,1
15775,26,10,58,26,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,22,131.0,153.0,429,1
15789,43,50,1,7,17,11,25,4,2,0,0,0,1,0,0,0,1,0,0,0,2.0,0,0,0.0,0,0.0,0,12,164.0,176.0,301,1
15792,72,20,0,9,27,5,5,3,1,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,8,145.0,153.0,232,1
15802,120,33,1,11,19,22,24,2,2,1,0,1,0,0,0,3,1,0,1,0,0.0,1,0,2.0,1,0.0,0,27,245.0,272.0,462,1
15816,25,16,1,4,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,1.0,0,0.0,0,11,60.0,71.0,66,1
15829,79,32,268,8,11,16,2,11,4,2,1,1,0,0,0,0,0,0,0,2,2.0,2,0,1.0,1,0.0,0,37,443.0,480.0,1634,2
15833,34,10,482,16,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,22,549.0,571.0,1078,2
15864,34,65,0,6,17,14,3,2,1,0,0,0,0,0,2,1,1,0,0,1,0.0,0,0,1.0,0,0.0,0,15,148.0,163.0,217,1
15878,5,3,164,3,1,0,1,1,0,1,0,0,2,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0.0,0,3,183.0,186.0,633,1
15881,21,58,0,3,19,11,11,2,2,0,0,0,0,0,0,0,3,0,0,0,0.0,0,1,0.0,1,0.0,0,15,132.0,147.0,219,1
15895,17,120,384,0,5,0,1,6,0,0,3,0,2,0,0,0,0,1,0,1,1.0,0,0,0.0,0,0.0,0,21,541.0,562.0,917,2
15919,18,14,207,3,1,3,5,3,0,0,0,0,0,0,0,0,0,0,2,1,0.0,2,0,0.0,0,0.0,0,14,259.0,273.0,430,1
15922,20,4,174,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,219.0,219.0,382,1
15936,38,34,0,1,7,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0.0,1,0,0.0,0,0.0,0,7,88.0,95.0,157,1
15944,324,246,17,22,91,107,82,17,2,4,4,2,3,2,4,6,3,2,0,1,1.0,0,3,1.0,1,0.0,0,142,945.0,1087.0,3101,4
15953,15,9,319,11,3,8,3,0,1,0,1,0,1,0,0,0,0,0,1,1,0.0,0,0,0.0,0,0.0,0,9,373.0,382.0,695,1
15967,1,6,212,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,20,222.0,242.0,351,1
15970,96,52,64,6,35,11,20,5,0,1,0,3,3,0,0,0,0,0,0,1,0.0,0,1,0.0,1,0.0,0,47,299.0,346.0,600,1
15984,105,27,2,57,24,3,10,8,1,1,0,0,0,1,0,2,0,0,1,12,0.0,1,1,0.0,0,0.0,0,10,256.0,266.0,414,1
15998,72,107,4,26,10,18,11,3,0,0,16,0,0,3,0,1,0,1,0,0,0.0,0,0,1.0,0,0.0,0,9,273.0,282.0,633,2
16002,49,65,7,7,22,13,17,1,0,0,1,0,0,0,0,1,0,1,0,0,2.0,2,0,0.0,0,0.0,0,8,188.0,196.0,273,1
16026,18,16,3,1,11,1,4,3,1,0,1,0,0,0,0,0,0,0,0,2,0.0,1,0,0.0,0,0.0,0,1,62.0,63.0,109,1
16033,26,13,0,0,3,1,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0.0,0,0,1.0,0,0.0,0,6,52.0,58.0,107,1
16050,89,49,200,8,38,19,16,15,5,1,0,0,2,0,0,0,3,0,2,0,1.0,0,0,0.0,1,0.0,0,99,449.0,548.0,1114,2
16064,50,46,22,7,51,41,3,4,1,0,0,0,1,0,1,1,1,1,0,0,1.0,1,0,0.0,0,0.0,0,38,232.0,270.0,627,2
16078,40,10,1,4,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,64.0,71.0,100,1
16081,23,8,10,0,1,2,3,19,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,67.0,74.0,111,1
16095,8,3,0,2,3,8,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0.0,0,0,29.0,29.0,67,1
16105,12,1,197,6,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,12,225.0,237.0,386,1
16119,22,6,1,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,39.0,42.0,49,1
16122,10,49,16,3,5,9,8,7,2,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,112.0,116.0,150,1
16136,117,75,2,14,19,18,5,10,0,2,1,2,1,1,1,1,0,0,0,0,1.0,1,0,0.0,0,0.0,0,42,271.0,313.0,509,1
16141,5,4,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,17.0,18.0,36,1
16153,10,10,3,19,2,6,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,59.0,62.0,113,1
16167,2,9,0,8,1,0,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,0,28.0,28.0,39,1
16170,8,11,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,27.0,27.0,37,1
16184,54,75,234,90,4,12,26,26,3,0,0,0,2,3,1,0,0,0,1,1,2.0,0,1,0.0,0,0.0,0,22,535.0,557.0,892,2
16198,38,43,2,6,19,25,9,10,0,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0.0,0,0.0,0,10,156.0,166.0,444,1
16208,34,43,2,6,3,2,6,9,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0,2,1.0,0,0.0,0,8,113.0,121.0,168,1
16211,6,8,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1.0,0,0.0,0,0,22.0,22.0,31,1
16225,4,10,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,28.0,30.0,99,1
16239,48,13,7,1,1,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,90.0,92.0,110,1
16242,25,30,1,0,5,6,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,2,81.0,83.0,121,1
16256,59,69,41,2,4,19,20,18,1,0,1,1,2,0,0,1,0,0,0,0,0.0,1,0,0.0,0,0.0,0,20,239.0,259.0,388,1
16267,27,7,285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,21,322.0,343.0,719,1
16273,8,20,0,1,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,39.0,46.0,61,1
16287,4,3,229,4,1,1,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,18,249.0,267.0,936,1
16290,38,62,19,8,17,10,22,2,3,0,0,1,0,0,3,2,0,0,0,0,0.0,0,1,0.0,0,0.0,0,14,188.0,202.0,414,1
16300,42,18,4,1,1,27,7,2,0,0,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,15,105.0,120.0,171,1
16314,226,126,46,37,33,56,27,39,5,6,11,4,1,8,2,0,5,2,1,1,0.0,0,0,2.0,1,0.0,0,43,639.0,682.0,1157,2
16328,33,35,0,4,1,9,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,11,90.0,101.0,171,1
16345,146,178,27,27,54,56,39,27,1,4,3,1,2,1,2,7,0,1,1,0,1.0,1,3,1.0,0,0.0,0,40,583.0,623.0,1524,3
16359,4402,2674,723,919,1512,761,870,936,187,202,165,79,61,135,55,59,32,33,189,30,34.0,24,28,22.0,64,0.0,0,620,14196.0,14816.0,30565,44
16376,81,101,7,8,21,19,16,15,0,0,5,0,0,0,0,1,0,0,0,0,0.0,1,0,0.0,0,0.0,0,17,275.0,292.0,509,1
16393,33,50,0,22,13,14,22,14,2,1,2,0,1,0,0,1,1,2,0,2,0.0,0,0,0.0,0,0.0,0,22,180.0,202.0,402,1
16403,4,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,15.0,15.0,29,1
16420,11,3,159,42,3,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,9,224.0,233.0,417,1
16448,181,57,2,48,41,19,24,14,0,6,0,1,0,4,4,2,3,1,0,0,0.0,0,1,3.0,1,0.0,0,40,412.0,452.0,976,2
16451,53,41,2,2,11,13,7,9,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,22,141.0,163.0,310,1
16496,8,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,56.0,58.0,150,1
16513,49,78,3,2,15,21,10,5,2,1,0,0,0,0,0,0,0,2,1,0,0.0,3,0,0.0,3,0.0,0,23,195.0,218.0,449,1
16537,111,219,60,32,27,37,56,15,2,0,4,1,1,0,0,0,1,3,1,2,2.0,0,0,0.0,0,0.0,0,72,574.0,646.0,1655,3
16540,114,91,61,20,13,20,35,17,1,1,1,0,1,0,1,1,0,0,0,1,1.0,1,0,0.0,0,0.0,0,51,380.0,431.0,1079,2
16554,12,13,2,0,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,46.0,47.0,62,1
16571,106,45,43,6,15,23,12,8,2,2,1,0,2,0,0,3,2,0,0,2,1.0,0,0,1.0,0,0.0,0,26,274.0,300.0,579,2
16599,25,23,0,3,11,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,23,70.0,93.0,138,1
16639,21,37,0,3,10,7,12,7,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,99.0,99.0,169,1
16660,20,6,48,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,0,1.0,0,0.0,0,2,78.0,80.0,93,1
16674,75,91,118,9,53,17,6,11,1,1,1,1,2,0,0,0,0,0,2,1,1.0,0,0,0.0,0,0.0,0,59,390.0,449.0,898,2
16688,82,14,66,1,28,3,16,10,1,1,0,0,0,0,0,1,0,0,2,0,0.0,1,0,0.0,0,0.0,0,31,226.0,257.0,471,1
16691,39,54,2,2,8,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,11,123.0,134.0,208,1
