id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
432,7,5,96,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,116.0,120.0,247,1
446,4,1,333,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,22,342.0,364.0,532,1
480,67,154,116,12,13,35,44,8,1,2,2,3,2,2,1,1,1,4,0,1,0.0,2,0,0.0,1,0.0,0,44,472.0,516.0,998,1
494,9,4,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,25.0,25.0,36,1
504,180,123,37,68,50,37,52,13,3,1,4,7,9,5,3,1,3,2,0,2,1.0,1,1,1.0,1,0.0,0,63,605.0,668.0,1332,2
518,159,139,243,11,45,7,22,23,0,3,0,1,1,0,1,2,1,1,1,1,1.0,0,1,1.0,2,0.0,0,25,666.0,691.0,1405,3
549,129,56,109,24,31,107,16,18,0,2,1,1,1,1,1,0,1,0,0,0,3.0,0,0,1.0,0,0.0,0,37,502.0,539.0,858,1
552,23,24,17,1,7,38,6,4,7,1,0,0,0,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,15,131.0,146.0,248,1
566,22,9,89,5,2,3,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,10,152.0,162.0,482,1
571,42,15,90,0,2,1,10,22,1,3,0,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,0,0.0,0,39,189.0,228.0,346,1
583,82,32,2,17,22,6,7,8,5,2,7,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,5,191.0,196.0,270,1
597,61,54,26,4,4,11,3,2,1,0,2,2,0,2,0,1,0,0,0,1,0.0,0,2,0.0,0,0.0,0,11,176.0,187.0,350,1
607,267,89,1715,43,11,20,17,11,0,2,14,4,3,7,1,2,2,3,0,12,2.0,1,1,0.0,0,0.0,0,63,2227.0,2290.0,7404,7
624,30,3,2,2,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,51.0,54.0,71,1
638,48,6,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,66.0,68.0,87,1
655,55,23,0,4,13,17,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,17,122.0,139.0,215,1
672,243,165,360,29,26,122,19,6,0,0,24,2,3,8,2,2,2,2,2,0,3.0,1,4,1.0,2,0.0,0,52,1028.0,1080.0,2233,3
697,48,27,117,3,12,9,3,3,0,0,0,0,1,0,0,0,0,0,1,2,0.0,0,0,1.0,0,0.0,0,32,227.0,259.0,655,1
702,8624,3226,5166,1401,1083,1146,993,957,131,210,64,97,127,124,65,60,62,32,22,21,25.0,16,29,0.0,22,0.0,0,2392,23703.0,26095.0,49071,73
713,80,35,1,13,20,8,32,9,3,0,0,1,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0.0,0,25,204.0,229.0,488,1
730,78,24,127,2,5,7,6,4,0,0,8,0,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,43,263.0,306.0,533,1
744,22,43,5,5,7,12,12,5,0,0,1,0,0,0,0,2,0,0,0,0,1.0,0,0,1.0,0,0.0,0,9,116.0,125.0,220,1
758,11,29,6,1,0,2,4,1,0,0,0,0,1,0,0,0,2,0,1,0,0.0,0,0,1.0,0,0.0,0,3,59.0,62.0,85,1
761,50,58,247,5,18,34,9,20,1,1,1,1,0,0,4,2,4,0,5,0,0.0,0,2,2.0,1,0.0,0,48,465.0,513.0,1322,2
775,22,23,0,1,25,4,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,0.0,0,0.0,0,7,83.0,90.0,152,1
789,107,76,4,4,24,15,19,3,1,2,0,1,0,0,0,1,3,0,0,1,0.0,0,0,0.0,1,0.0,0,37,262.0,299.0,543,1
792,53,55,2,9,8,56,22,4,0,0,0,1,0,0,1,1,2,0,2,0,0.0,0,1,0.0,0,0.0,0,14,217.0,231.0,230,1
802,55,44,40,6,22,18,9,13,0,0,0,0,0,0,2,0,0,0,0,0,1.0,0,1,0.0,0,0.0,0,16,211.0,227.0,483,1
816,14,53,9,1,5,11,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1.0,0,0,0.0,0,0.0,0,4,101.0,105.0,160,1
828,13,2,132,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,151.0,151.0,329,1
833,359,94,9,35,222,26,15,9,18,6,2,3,2,11,5,3,2,1,0,1,2.0,0,1,1.0,6,0.0,0,76,833.0,909.0,1843,4
847,18,60,1,6,6,0,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0.0,0,1,0.0,1,0.0,0,22,102.0,124.0,125,1
850,54,21,92,1,4,20,12,2,0,2,2,0,0,0,0,0,0,1,0,0,0.0,0,3,1.0,1,0.0,0,15,216.0,231.0,494,1
