party;party label
Зелените, ДЕОС;Зелените, ДЕОС
НАЦИЯ;НАЦИЯ
СДС;СДС
ДНБ;ДНБ
Атака;Атака
МУТРИ ВЪН!;МУТРИ ВЪН!
ДПС-Пеев;ДПС-Пеев
ДПС-Доган;ДПС-Доган
ГЕРБ-СДС;ГЕРБ-СДС
КОЙ;КОЙ
РЗС;РЗС
Горда България;Горда България
Нова Алтернатива;Нова Алтернатива
НФСБ;НФСБ
ВОЛЯ И НФСБ;ВОЛЯ И НФСБ
ВМРО, ВОЛЯ И НФСБ;ВМРО, ВОЛЯ И НФСБ
БПЛ;БПЛ
Единна Народна Партия;Единна Народна Партия
