id,ПП,ГЕРБ-СДС,БСП,ДПС,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,НОД,ПФ,ВОЛЯ,ПРАВОТО,РВО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,невалидни,total_valid,total,eligible_voters,n_stations
6598,19,38,16,22,24,1,5,4,2.0,0,0,2,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,139.0,139.0,354.0,1
6608,13,16,20,4,6,2,5,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,69.0,71.0,119.0,1
6673,43,43,32,1,21,4,2,1,1.0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,7.0,158.0,165.0,276.0,1
6687,5,11,7,1,3,1,1,1,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,34.0,37.0,43.0,1
6690,10,95,27,0,22,4,0,6,1.0,2,0,2,1,1,1,1,2,1,0,2,2,2,0,0,1,0,0,0,0,0.0,183.0,183.0,552.0,1
6700,42,145,42,14,38,5,3,4,3.0,1,1,0,2,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0.0,306.0,306.0,742.0,1
6728,0,12,3,58,1,1,0,0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,79.0,83.0,150.0,1
6731,11,12,60,12,7,5,5,2,0.0,0,2,2,1,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,131.0,131.0,356.0,1
6745,25,31,47,1,5,2,5,14,1.0,0,3,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,141.0,141.0,373.0,1
6759,2,7,16,12,8,2,2,0,0.0,0,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,56.0,56.0,384.0,1
6762,20,32,21,1,8,3,3,5,0.0,0,0,2,3,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,104.0,108.0,150.0,1
6776,27,39,22,6,3,4,6,6,2.0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,121.0,123.0,225.0,1
6788,20,20,28,0,9,4,7,2,3.0,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8.0,100.0,108.0,270.0,1
6803,37,14,10,71,8,3,3,11,0.0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,164.0,166.0,265.0,1
6848,89,70,70,175,50,16,48,6,6.0,5,9,5,2,6,4,2,1,2,0,2,1,1,0,2,0,1,0,0,0,0.0,573.0,573.0,1825.0,2
6851,5,13,2,0,2,1,1,2,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.0,28.0,26.0,1
6865,3,27,2,51,4,0,1,1,0.0,0,0,0,1,1,3,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0.0,100.0,100.0,509.0,1
6879,20,13,24,119,19,3,3,0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,206.0,206.0,336.0,2
6882,0,4,13,50,4,1,1,1,0.0,1,0,0,4,0,1,1,0,0,1,2,0,0,2,1,1,0,0,0,0,0.0,88.0,88.0,577.0,1
6896,7,28,11,1,3,1,4,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,57.0,58.0,88.0,1
6906,0,4,1,122,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,129.0,129.0,554.0,1
6923,4,5,12,7,2,1,2,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0,36.0,54.0,1
6937,7,47,7,131,10,5,3,1,2.0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.0,218.0,357.0,1
6940,8,17,6,2,4,3,1,2,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45.0,45.0,48.0,1
6954,22,40,16,8,34,4,13,3,1.0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,148.0,148.0,552.0,1
6968,2,71,8,5,4,1,0,4,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,99.0,101.0,150.0,1
6971,9,23,19,1,3,1,1,1,0.0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,64.0,65.0,118.0,1
6999,60,64,162,316,71,13,13,5,4.0,18,5,1,2,5,4,6,1,6,5,4,0,0,0,1,1,0,0,0,0,0.0,767.0,767.0,2960.0,3
7003,5,6,4,503,3,1,0,1,4.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,529.0,529.0,838.0,1
7017,14,4,26,75,8,1,3,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,135.0,137.0,217.0,1
7034,3,9,2,56,2,1,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,76.0,79.0,154.0,1
7051,31,33,21,0,5,3,7,2,2.0,2,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,112.0,114.0,232.0,1
7065,5,49,7,0,1,1,1,1,3.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,72.0,73.0,119.0,1
7079,23188,18671,6148,890,7213,4644,4528,1978,1111.0,595,277,243,240,274,207,528,133,154,204,114,95,47,55,39,25,44,11,21,85,64.0,71762.0,71826.0,175545.0,340
7082,12,22,3,18,7,3,5,4,0.0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,78.0,79.0,150.0,1
7096,4,15,6,1,2,1,0,1,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,35.0,35.0,47.0,1
7106,271,300,80,3,97,75,39,25,21.0,11,5,4,2,8,6,1,5,2,1,2,2,1,0,1,0,0,0,0,0,0.0,962.0,962.0,3008.0,4
7116,106,95,62,22,84,16,32,14,5.0,4,1,2,2,2,5,10,1,4,4,2,0,0,2,0,1,0,1,1,0,0.0,478.0,478.0,2227.0,3
7123,30,17,74,20,13,4,10,2,1.0,15,1,5,0,2,0,0,3,2,1,1,1,0,0,1,0,2,0,1,0,0.0,206.0,206.0,623.0,1
7140,203,149,62,7,68,41,39,18,10.0,11,1,7,4,4,6,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0.0,635.0,635.0,2200.0,4
7154,8,59,9,14,7,3,10,2,1.0,4,1,0,0,2,0,1,1,0,1,4,2,0,1,1,0,0,0,0,0,0.0,131.0,131.0,496.0,1
7168,8,15,8,2,8,5,0,2,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.0,51.0,55.0,149.0,1
7171,8,30,15,7,0,1,0,1,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,66.0,68.0,87.0,1
7199,27,32,14,28,9,6,2,4,0.0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3.0,127.0,130.0,273.0,1
7209,6,5,5,5,3,1,0,0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,28.0,28.0,57.0,1
7212,36,22,22,41,16,1,8,2,4.0,1,1,1,1,1,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0.0,164.0,164.0,708.0,1
7231,54,50,18,103,18,2,7,4,3.0,2,1,1,2,1,0,0,0,3,1,0,2,1,0,0,0,0,2,0,0,0.0,275.0,275.0,1091.0,2
7243,1,5,1,73,4,2,0,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,94.0,100.0,253.0,1
7257,109,60,43,2,49,13,26,10,7.0,5,5,2,2,4,2,4,2,3,0,3,2,1,2,0,1,0,0,0,0,0.0,357.0,357.0,1000.0,2
7260,21,22,20,1,9,4,3,1,0.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,85.0,140.0,1
7274,38,54,56,2,25,12,8,3,2.0,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,215.0,215.0,656.0,1
7288,9,8,9,0,4,1,1,2,1.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,38.0,39.0,66.0,1
7291,5,13,4,1,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,27.0,27.0,42.0,1
7315,16,32,10,46,9,1,4,1,1.0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,127.0,127.0,314.0,1
7329,14,21,8,1,5,1,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,54.0,55.0,74.0,1
7332,143,100,53,4,48,13,38,7,5.0,4,3,6,4,2,2,2,2,4,2,2,2,1,1,0,0,0,1,0,2,0.0,451.0,451.0,1633.0,2
7346,5,15,6,7,9,2,0,5,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,54.0,58.0,109.0,1
7357,26,166,24,153,29,5,6,1,7.0,4,7,4,5,4,3,2,2,6,1,3,0,1,3,0,0,0,1,0,0,0.0,463.0,463.0,1008.0,2
7363,65,53,52,2,48,8,7,3,0.0,5,2,6,2,1,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.0,261.0,261.0,926.0,1
7377,17,28,15,3,10,2,3,16,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96.0,96.0,619.0,1
7394,5,10,11,0,1,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,32.0,34.0,41.0,1
7418,55,115,26,5,30,1,11,20,5.0,2,2,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,281.0,281.0,584.0,1
7452,2,20,1,81,2,4,0,4,2.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,119.0,119.0,360.0,1
7472,1,7,3,23,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,36.0,36.0,117.0,1
7497,8,10,14,28,5,2,1,6,0.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,80.0,85.0,182.0,1
7507,14,21,12,8,2,3,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,63.0,147.0,1
7510,103,100,51,52,37,8,12,3,7.0,9,3,3,1,1,3,3,5,1,2,1,0,0,0,1,0,1,0,0,0,0.0,407.0,407.0,1199.0,2
7524,26,33,35,11,11,2,3,6,0.0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0.0,135.0,135.0,601.0,1
7538,16,164,18,19,12,6,1,2,0.0,1,3,1,0,1,0,1,3,2,0,2,0,1,1,0,0,0,0,0,0,0.0,254.0,254.0,573.0,1
7541,5,17,9,1,2,1,1,2,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42.0,42.0,66.0,1
