municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Русе,10303,12524,1315,6500,5093,3412,2643,2773,2189.0,536,775,279,254,70.0,226,146,121,68,143,109,116,90,75,83,51,43,98,25,37,21,0.0,143481.0,19,19. РУСЕ,216,50118.0,0.34930060426119136,RSE27
Садово,785,452,96,343,854,82,295,115,108.0,17,8,9,16,10.0,15,11,5,19,12,5,5,12,4,7,6,5,4,3,2,6,0.0,12159.0,17,17. ПЛОВДИВ област,22,3311.0,0.27230857800805985,PDV28
Самоков,3475,1727,739,924,1488,635,2126,346,386.0,128,102,34,61,72.0,32,25,18,32,17,33,13,18,11,19,17,13,11,10,5,16,0.0,30698.0,26,26. СОФИЯ област,68,12533.0,0.4082676395856408,SFO39
Самуил,160,59,2834,21,27,194,7,20,25.0,7,3,2,3,11.0,2,1,0,15,5,3,0,3,4,5,1,1,0,0,0,5,0.0,9012.0,18,18. РАЗГРАД,23,3418.0,0.37927208166888593,RAZ29
Сандански,3332,2554,236,1058,1284,563,681,377,356.0,87,2005,36,53,25.0,33,10,21,26,27,29,7,14,23,24,9,11,0,7,10,12,0.0,34663.0,1,01. БЛАГОЕВГРАД,69,12910.0,0.3724432391887603,BLG40
Сапарева баня,946,359,78,272,184,57,134,96,93.0,64,7,12,11,1.0,6,7,5,7,4,9,10,6,7,7,4,1,3,2,4,1,0.0,6206.0,10,10. КЮСТЕНДИЛ,10,2397.0,0.38623912342893973,KNL41
Сатовча,1073,397,3896,87,364,29,62,81,65.0,10,70,5,6,2.0,1,2,1,17,7,5,4,3,1,10,1,3,0,2,3,1,0.0,15061.0,1,01. БЛАГОЕВГРАД,26,6208.0,0.41219042560254965,BLG42
Свиленград,1732,1863,110,696,824,263,1242,282,237.0,56,41,29,30,49.0,16,24,8,23,15,31,8,9,17,26,9,15,9,1,8,12,0.0,18625.0,29,29. ХАСКОВО,43,7685.0,0.41261744966442954,HKV28
Свищов,1963,1909,472,1170,1351,415,362,561,436.0,174,98,49,47,39.0,70,33,26,13,26,18,18,15,43,18,23,9,18,18,8,8,0.0,28408.0,4,04. ВЕЛИКО ТЪРНОВО,52,9410.0,0.33124471979724024,VTR28
Своге,1852,890,979,664,516,261,274,193,253.0,67,26,19,29,41.0,20,15,32,11,15,8,8,10,14,12,10,5,8,8,9,7,0.0,16305.0,26,26. СОФИЯ област,42,6256.0,0.3836859858938976,SFO43
Севлиево,3049,1925,1237,1201,933,402,335,392,437.0,92,110,36,35,53.0,42,30,32,23,31,19,11,13,31,10,25,21,15,15,7,12,0.0,30772.0,7,07. ГАБРОВО,70,10574.0,0.34362407383335497,GAB29
Септември,2094,764,2472,595,778,152,209,189,164.0,46,88,26,31,31.0,26,16,8,32,19,14,13,9,8,21,10,15,10,7,5,13,0.0,20996.0,13,13. ПАЗАРДЖИК,31,7865.0,0.3745951609830444,PAZ29
Силистра,4680,4124,1105,1728,2074,758,883,723,568.0,175,79,83,110,56.0,58,57,37,44,48,51,24,28,49,36,25,16,11,14,14,12,0.0,46860.0,20,20. СИЛИСТРА,94,17670.0,0.37708066581306016,SLS31
Симеоновград,1135,242,75,176,235,63,134,55,43.0,5,4,8,9,18.0,6,7,1,7,8,5,2,10,0,4,3,6,7,4,10,2,0.0,6764.0,29,29. ХАСКОВО,16,2284.0,0.33767001774098165,HKV29
Симитли,5664,590,52,234,213,105,114,117,108.0,9,35,15,7,12.0,7,4,4,9,10,11,5,30,8,7,7,5,0,3,33,2,0.0,12420.0,1,01. БЛАГОЕВГРАД,29,7420.0,0.5974235104669887,BLG44
Ситово,266,171,1051,84,168,20,23,65,36.0,12,4,0,4,11.0,4,0,1,10,9,4,1,7,1,3,7,3,0,3,0,2,0.0,4965.0,20,20. СИЛИСТРА,14,1970.0,0.39677744209466265,SLS32
Сливен,9127,6636,1268,3436,3917,1545,1443,1267,976.0,695,161,128,125,88.0,124,78,50,80,104,73,44,66,59,0,141,40,58,51,17,27,0.0,107542.0,21,21. СЛИВЕН,187,31824.0,0.29592159342396457,SLV20
Сливница,912,471,119,275,241,156,232,115,105.0,46,30,12,15,5.0,10,4,11,5,6,12,1,5,2,5,2,3,4,2,1,1,0.0,7262.0,26,26. СОФИЯ област,17,2808.0,0.38667033874965573,SFO45
Сливо поле,828,346,680,199,267,46,50,77,51.0,9,24,13,9,5.0,6,6,1,18,12,9,5,4,4,8,1,0,1,1,2,1,0.0,9833.0,19,19. РУСЕ,17,2683.0,0.2728567070070172,RSE33
Смолян,3843,2718,801,1004,1271,552,729,518,657.0,204,27,48,55,81.0,31,33,23,14,23,25,12,28,24,20,26,14,17,2,7,6,0.0,32667.0,22,22. СМОЛЯН,89,12813.0,0.3922306915235559,SML31
Смядово,590,208,113,159,157,21,66,53,34.0,11,12,3,5,12.0,4,10,4,12,5,4,0,5,2,4,2,3,2,2,2,3,0.0,5463.0,30,30. ШУМЕН,13,1508.0,0.276038806516566,SHU25
Созопол,1102,629,107,439,1185,178,398,117,151.0,33,27,15,24,18.0,10,18,6,25,32,11,12,17,8,15,12,6,7,4,2,7,0.0,10860.0,2,02. БУРГАС,21,4615.0,0.4249539594843462,BGS21
Сопот,584,584,65,305,539,123,197,183,165.0,43,31,10,16,0.0,19,13,4,6,3,5,3,5,4,3,8,5,4,3,1,3,0.0,8795.0,17,17. ПЛОВДИВ област,12,2934.0,0.3335986355884025,PDV43
Средец,1224,637,107,343,530,91,181,108,103.0,15,22,16,16,47.0,10,8,4,8,11,7,2,11,4,6,16,0,8,3,5,4,0.0,10905.0,2,02. БУРГАС,39,3547.0,0.3252636405318661,BGS06
Стамболийски,1876,981,17,617,610,213,175,216,181.0,58,27,30,41,0.0,18,21,11,19,21,14,7,11,8,12,9,10,15,4,1,5,0.0,17674.0,17,17. ПЛОВДИВ област,26,5228.0,0.29580174267285275,PDV41
Стамболово,165,168,3713,57,103,28,27,30,28.0,4,6,6,5,15.0,2,1,1,16,2,4,2,3,6,3,6,1,1,3,0,1,0.0,12220.0,29,29. ХАСКОВО,30,4407.0,0.3606382978723404,HKV30
Стара Загора,14715,11390,1445,7081,5877,3470,2884,2793,2424.0,631,487,316,311,147.0,215,208,140,87,144,110,90,70,88,76,66,65,63,31,24,23,0.0,137233.0,27,27. СТАРА ЗАГОРА,212,55471.0,0.4042103575670575,SZR31
Столична,118514,130078,3684,49256,37249,80403,23262,16082,19620.0,6155,3209,2486,1721,166.0,1418,1378,2220,507,694,798,1650,1120,797,560,386,364,314,256,336,182,252.0,1184089.0,23,23. СОФИЯ 23 МИР,1633,505117.0,0.42658702175258784,SOF46
Стражица,706,483,1026,231,322,61,84,115,124.0,15,22,7,9,7.0,16,6,5,22,10,11,3,12,5,9,4,7,10,13,4,1,0.0,10883.0,4,04. ВЕЛИКО ТЪРНОВО,24,3350.0,0.3078195350546724,VTR31
Стралджа,939,382,129,244,548,114,129,97,66.0,28,12,9,17,48.0,21,8,3,7,12,7,4,7,6,4,1,6,10,3,1,3,0.0,9439.0,31,31. ЯМБОЛ,29,2865.0,0.30352791609280644,JAM22
Стрелча,409,235,320,133,184,31,114,55,45.0,13,3,8,8,9.0,4,3,2,9,4,5,3,2,1,2,1,2,4,1,1,2,0.0,4065.0,13,13. ПАЗАРДЖИК,9,1613.0,0.3968019680196802,PAZ32
Струмяни,421,181,22,67,235,48,81,54,23.0,6,49,5,1,24.0,5,2,1,0,7,0,3,3,2,2,1,2,0,0,1,1,0.0,4081.0,1,01. БЛАГОЕВГРАД,17,1247.0,0.30556236216613575,BLG49
Суворово,1177,335,245,213,176,50,61,65,50.0,19,22,6,8,17.0,13,0,4,8,5,7,5,14,5,7,3,4,4,1,1,5,1.0,6480.0,3,03. ВАРНА,13,2531.0,0.39058641975308644,VAR26
Сунгурларе,645,345,1533,153,295,78,44,84,59.0,14,9,12,9,52.0,6,9,1,22,2,4,1,3,11,8,5,1,5,4,1,6,0.0,9706.0,2,02. БУРГАС,31,3421.0,0.3524623943952194,BGS23
Сухиндол,154,83,165,43,156,11,26,22,24.0,2,3,3,4,14.0,6,2,2,1,4,1,2,3,1,2,1,2,0,0,0,2,0.0,2006.0,4,04. ВЕЛИКО ТЪРНОВО,10,739.0,0.36839481555333997,VTR32
Съединение,805,495,17,293,410,61,126,101,91.0,43,19,11,13,21.0,13,5,6,6,7,7,1,8,6,5,6,3,8,2,2,5,0.0,7925.0,17,17. ПЛОВДИВ област,19,2596.0,0.32757097791798107,PDV33
Сърница,125,67,1964,6,115,10,7,7,17.0,2,0,4,1,0.0,0,0,0,6,1,1,0,1,0,2,1,0,3,1,0,1,0.0,4215.0,13,13. ПАЗАРДЖИК,7,2342.0,0.5556346381969158,PAZ39
Твърдица,869,444,305,257,336,92,96,81,101.0,40,17,17,10,6.0,9,12,4,25,16,13,3,11,5,0,11,8,6,12,6,4,0.0,11703.0,21,21. СЛИВЕН,19,2816.0,0.24062206271896094,SLV24
Тервел,1515,453,1682,232,376,79,77,80,81.0,21,39,5,9,22.0,12,7,3,25,11,14,9,5,8,23,4,6,8,6,9,1,0.0,19865.0,8,08. ДОБРИЧ,32,4822.0,0.24273848477221244,DOB27
Тетевен,2272,1011,1268,383,724,189,108,172,176.0,23,73,17,13,20.0,19,19,8,31,19,15,5,9,16,14,8,14,12,5,5,6,0.0,17181.0,11,11. ЛОВЕЧ,37,6654.0,0.38728828356905887,LOV33
Тополовград,832,621,207,231,442,93,291,137,64.0,18,9,13,13,32.0,13,7,2,12,8,10,4,5,9,8,8,7,10,4,2,1,0.0,8451.0,29,29. ХАСКОВО,23,3113.0,0.36835877410957285,HKV32
Трекляно,72,34,10,13,150,8,7,9,10.0,5,6,0,0,10.0,1,0,0,1,4,0,0,1,0,0,2,0,0,0,0,0,0.0,441.0,10,10. КЮСТЕНДИЛ,9,343.0,0.7777777777777778,KNL50
Троян,2984,1810,466,1087,1098,621,411,342,368.0,85,109,41,34,52.0,37,22,9,5,24,21,6,7,21,13,8,4,3,8,5,2,0.0,26874.0,11,11. ЛОВЕЧ,62,9703.0,0.3610552950807472,LOV34
Трън,509,195,40,94,209,35,45,43,57.0,12,10,2,3,28.0,11,4,4,3,4,14,1,1,1,3,0,2,3,1,5,1,0.0,3299.0,14,14. ПЕРНИК,22,1340.0,0.40618369202788723,PER51
Трявна,803,800,32,492,350,174,151,140,98.0,40,30,19,13,10.0,13,17,5,5,8,5,4,6,6,7,6,3,4,3,3,1,0.0,9762.0,7,07. ГАБРОВО,20,3248.0,0.33271870518336405,GAB35
Тунджа,1623,981,111,670,1674,157,240,204,145.0,40,43,27,21,75.0,42,28,10,23,32,22,14,12,12,14,17,8,10,7,7,5,0.0,17645.0,31,31. ЯМБОЛ,52,6274.0,0.35556814961745536,JAM25
Тутракан,990,801,1766,487,459,107,100,150,144.0,32,68,15,13,17.0,17,14,5,25,14,12,1,9,8,13,8,6,5,3,2,3,0.0,14067.0,20,20. СИЛИСТРА,28,5294.0,0.3763417928485107,SLS34
Търговище,4249,2732,7786,1452,1811,611,417,572,494.0,112,96,57,57,68.0,34,44,19,94,33,39,18,38,35,37,29,19,20,14,8,17,0.0,56229.0,28,28. ТЪРГОВИЩЕ,105,21012.0,0.3736861761724377,TGV35
Угърчин,692,229,94,81,233,40,37,50,33.0,10,4,2,11,16.0,2,7,1,7,8,8,2,5,3,5,3,2,4,4,2,1,0.0,4788.0,11,11. ЛОВЕЧ,14,1596.0,0.3333333333333333,LOV36
Хаджидимово,842,374,651,176,534,98,161,95,54.0,15,14,8,4,15.0,6,15,3,3,5,8,2,0,3,3,1,3,0,1,1,1,0.0,8423.0,1,01. БЛАГОЕВГРАД,19,3096.0,0.36756500059361275,BLG52
Хайредин,228,160,482,104,180,40,62,24,22.0,18,24,2,6,9.0,4,7,1,4,9,2,1,3,0,2,2,2,0,0,0,0,0.0,3623.0,6,06. ВРАЦА,12,1398.0,0.38586806513938726,VRC35
Харманли,2291,1380,791,648,781,218,354,248,193.0,57,64,33,37,55.0,31,16,11,18,20,22,4,11,20,17,8,7,15,10,10,13,0.0,21108.0,29,29. ХАСКОВО,45,7383.0,0.34977259806708355,HKV33
Хасково,8050,6739,5244,2886,2406,1151,1797,1073,954.0,173,113,110,150,58.0,71,64,35,78,75,66,50,43,52,57,23,36,28,20,18,26,0.0,88964.0,29,29. ХАСКОВО,154,31646.0,0.35571691920327325,HKV34
Хисаря,811,752,124,513,637,144,206,113,104.0,37,25,25,25,31.0,14,6,9,14,15,5,6,9,8,7,7,2,5,6,0,1,0.0,10132.0,17,17. ПЛОВДИВ област,24,3661.0,0.36133043821555466,PDV37
Хитрино,203,1270,775,44,118,13,12,34,28.0,6,5,1,4,8.0,1,4,2,8,4,4,2,13,3,7,6,3,0,0,2,5,0.0,10656.0,30,30. ШУМЕН,21,2585.0,0.24258633633633633,SHU11
Цар Калоян,155,144,1294,35,68,37,29,19,40.0,9,4,5,1,2.0,1,3,0,14,2,3,2,1,3,0,2,0,1,3,0,2,0.0,6066.0,18,18. РАЗГРАД,11,1879.0,0.3097593142103528,RAZ36
Царево,1157,639,60,277,254,166,144,110,104.0,20,6,11,14,26.0,6,6,6,6,5,11,1,4,6,9,9,9,4,4,1,5,0.0,6924.0,2,02. БУРГАС,20,3080.0,0.44482957827845176,BGS13
Ценово,882,299,33,113,240,29,42,64,35.0,22,16,2,9,14.0,7,5,1,4,8,4,4,2,10,8,7,4,3,0,2,2,0.0,4436.0,19,19. РУСЕ,11,1871.0,0.42177637511271415,RSE37
Чавдар,84,66,13,41,81,13,13,9,23.0,1,0,3,0,0.0,5,1,0,0,3,1,1,3,0,1,1,0,0,0,0,1,0.0,1000.0,26,26. СОФИЯ област,2,364.0,0.364,SFO57
Челопеч,190,90,27,49,68,12,70,23,16.0,6,1,2,0,2.0,5,1,1,1,2,0,0,2,0,1,1,0,1,1,1,1,0.0,1248.0,26,26. СОФИЯ област,3,574.0,0.4599358974358974,SFO58
Чепеларе,570,420,284,160,261,85,80,80,83.0,13,7,7,3,8.0,51,9,1,4,4,8,6,4,7,7,1,3,0,2,2,1,0.0,5779.0,22,22. СМОЛЯН,16,2171.0,0.37567053123377747,SML38
Червен бряг,1632,1217,1175,522,975,231,354,582,227.0,67,45,16,22,2.0,29,22,6,32,22,24,1,9,18,20,9,9,12,9,7,5,0.0,23865.0,15,15. ПЛЕВЕН,41,7301.0,0.30592918499895244,PVN37
Черноочене,257,97,4025,23,83,50,4,21,22.0,3,1,3,2,20.0,0,2,0,13,1,1,1,0,1,4,0,0,0,0,1,1,0.0,12703.0,9,09. КЪРДЖАЛИ,41,4636.0,0.3649531606707077,KRZ35
Чипровци,741,330,51,136,149,58,44,43,62.0,12,13,7,3,20.0,8,6,2,3,9,3,1,1,3,0,4,3,3,0,1,1,0.0,3032.0,12,12. МОНТАНА,14,1717.0,0.5662928759894459,MON36
Чирпан,1407,794,1250,603,707,196,199,155,127.0,34,63,25,34,24.0,23,20,9,10,10,15,9,8,12,6,7,5,4,7,1,4,0.0,16796.0,27,27. СТАРА ЗАГОРА,38,5768.0,0.3434150988330555,SZR36
Чупрене,182,80,112,37,85,38,17,8,21.0,4,0,2,0,33.0,3,3,0,0,1,1,1,1,2,2,0,1,0,0,1,0,0.0,1356.0,5,05. ВИДИН,10,635.0,0.46828908554572274,VID37
Шабла,345,247,9,176,208,98,68,54,51.0,9,9,7,1,12.0,7,6,3,3,7,1,2,3,2,1,2,0,2,3,2,0,0.0,3869.0,8,08. ДОБРИЧ,16,1338.0,0.34582579477901265,DOB29
Шумен,7312,6213,1777,3374,3135,1301,1329,1169,1199.0,297,331,96,104,47.0,95,107,71,42,58,66,37,41,40,54,32,39,35,14,20,14,0.0,85856.0,30,30. ШУМЕН,129,28449.0,0.3313571561684681,SHU30
Ябланица,531,209,176,127,178,51,28,55,32.0,13,8,4,11,10.0,5,1,1,4,5,5,3,1,5,3,3,4,2,4,1,1,0.0,4583.0,11,11. ЛОВЕЧ,11,1481.0,0.3231507746017892,LOV38
Якимово,203,111,501,49,118,10,13,34,18.0,14,2,12,3,18.0,0,0,1,7,2,1,0,0,0,0,0,1,1,2,0,0,0.0,3066.0,12,12. МОНТАНА,9,1121.0,0.3656229615133725,MON38
Якоруда,412,152,2551,84,101,29,48,31,62.0,2,14,13,4,0.0,2,0,2,11,4,6,1,3,3,6,1,2,0,0,1,2,0.0,8356.0,1,01. БЛАГОЕВГРАД,17,3547.0,0.4244853997127812,BLG53
Ямбол,4888,4452,455,2803,2618,874,1226,972,781.0,205,102,84,77,23.0,144,63,27,31,42,43,39,43,54,18,32,22,13,10,19,6,0.0,64515.0,31,31. ЯМБОЛ,105,20166.0,0.31257847012322715,JAM26
