municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Костинброд,2213,953,386,594,523,299,280,189,216.0,66,210,22,25,27.0,28,12,12,11,17,20,7,14,9,9,9,7,5,6,2,0,0.0,13740.0,26,26. СОФИЯ област,24,6171.0,0.44912663755458515,SFO26
Котел,2452,540,843,228,248,82,70,58,77.0,41,13,12,14,24.0,12,10,9,34,25,15,7,11,10,0,19,19,13,16,7,17,0.0,18524.0,21,21. СЛИВЕН,30,4926.0,0.26592528611530986,SLV11
Кочериново,520,210,70,93,179,39,57,66,24.0,20,6,5,5,24.0,4,2,3,4,10,4,0,2,3,5,1,9,4,0,0,0,0.0,3186.0,10,10. КЮСТЕНДИЛ,16,1369.0,0.42969240426867544,KNL27
Кресна,574,183,2,75,1101,63,43,29,32.0,3,18,4,2,5.0,2,2,8,5,9,7,3,0,2,3,2,0,0,3,1,1,0.0,4418.0,1,01. БЛАГОЕВГРАД,11,2182.0,0.4938886373924853,BLG28
Криводол,737,349,300,172,401,50,61,76,80.0,19,62,8,5,30.0,22,7,2,12,7,4,2,1,1,2,1,1,1,1,4,1,0.0,6948.0,6,06. ВРАЦА,20,2419.0,0.34815774323546345,VRC21
Кричим,483,330,247,188,163,52,82,64,78.0,9,5,6,5,0.0,4,14,3,3,4,5,2,2,8,6,7,0,2,3,1,4,0.0,7123.0,17,17. ПЛОВДИВ област,10,1780.0,0.2498947072862558,PDV39
Крумовград,557,433,7781,100,342,74,69,114,109.0,10,19,7,9,40.0,2,2,2,47,6,7,1,5,8,12,2,7,0,3,3,10,0.0,33523.0,9,09. КЪРДЖАЛИ,85,9781.0,0.29176982966918236,KRZ15
Крушари,194,76,953,61,73,27,19,22,15.0,10,5,3,1,14.0,2,2,1,8,4,1,1,0,3,5,0,0,1,1,2,1,0.0,5007.0,8,08. ДОБРИЧ,17,1505.0,0.3005791891352107,DOB20
Кубрат,791,545,3346,219,363,268,88,119,119.0,21,14,8,9,37.0,4,3,3,34,16,13,7,8,7,18,5,6,4,5,0,6,0.0,18600.0,18,18. РАЗГРАД,40,6086.0,0.3272043010752688,RAZ16
Куклен,463,297,611,155,264,93,91,36,68.0,9,6,18,5,10.0,5,2,2,10,3,6,4,5,2,4,10,3,2,3,1,2,0.0,6244.0,17,17. ПЛОВДИВ област,14,2190.0,0.3507367072389494,PDV42
Кула,475,201,65,66,102,64,26,84,52.0,9,62,9,3,15.0,3,3,3,2,2,1,2,1,2,2,0,1,0,0,0,0,0.0,3402.0,5,05. ВИДИН,13,1255.0,0.3689006466784245,VID22
Кърджали,3166,3182,13066,1152,1329,750,456,453,766.0,82,50,43,45,82.0,22,25,19,119,27,32,24,38,32,39,28,18,12,18,16,21,0.0,98882.0,9,09. КЪРДЖАЛИ,170,25112.0,0.25395926457798185,KRZ16
Кюстендил,6386,3774,424,1764,2045,704,890,704,669.0,404,289,98,45,43.0,54,39,38,30,31,47,29,22,41,23,21,25,17,11,11,10,0.0,66368.0,10,10. КЮСТЕНДИЛ,112,18688.0,0.2815814850530376,KNL29
Левски,1152,819,414,525,813,191,163,211,134.0,35,27,10,16,5.0,27,21,7,28,19,12,6,4,8,8,5,10,6,2,6,3,0.0,16756.0,15,15. ПЛЕВЕН,33,4687.0,0.27972069706373837,PVN16
Лесичово,384,201,389,97,246,32,57,49,37.0,20,13,1,4,13.0,6,7,2,8,6,2,2,3,2,3,5,1,0,2,1,2,0.0,4150.0,13,13. ПАЗАРДЖИК,10,1595.0,0.38433734939759034,PAZ14
Летница,238,162,155,52,203,10,58,42,17.0,5,2,2,2,8.0,3,7,0,6,6,0,2,4,5,0,3,1,1,2,0,0,0.0,4078.0,11,11. ЛОВЕЧ,8,996.0,0.24423737126042178,LOV17
Ловеч,4359,3128,976,1415,1928,706,576,755,544.0,214,99,64,60,86.0,67,71,56,16,60,32,11,17,22,16,14,18,17,9,14,5,0.0,42409.0,11,11. ЛОВЕЧ,97,15355.0,0.3620693720672499,LOV18
Лозница,544,200,2498,126,100,197,31,58,67.0,6,6,9,10,16.0,8,1,3,19,1,4,4,2,6,7,5,4,4,5,2,7,0.0,10280.0,18,18. РАЗГРАД,25,3950.0,0.3842412451361868,RAZ17
Лом,2826,1134,2177,613,609,216,237,228,224.0,61,27,21,25,51.0,30,19,18,32,16,20,10,9,10,0,7,12,9,15,6,5,0.0,23841.0,12,12. МОНТАНА,53,8667.0,0.3635334088335221,MON24
Луковит,1481,595,715,257,445,111,83,180,97.0,27,20,11,14,22.0,14,12,4,19,12,3,6,5,8,13,8,5,1,1,2,5,0.0,14575.0,11,11. ЛОВЕЧ,27,4176.0,0.2865180102915952,LOV19
Лъки,213,157,68,59,87,15,34,26,22.0,7,3,1,1,10.0,0,1,1,4,4,0,0,2,1,2,0,0,0,0,2,0,0.0,2236.0,17,17. ПЛОВДИВ област,11,720.0,0.3220035778175313,PDV15
Любимец,1706,524,17,224,350,70,214,123,76.0,17,15,11,9,30.0,4,8,3,11,11,8,1,7,4,5,3,5,5,3,7,0,0.0,7747.0,29,29. ХАСКОВО,20,3471.0,0.4480444042855299,HKV17
Лясковец,959,664,159,497,521,145,161,159,166.0,37,54,18,10,0.0,9,10,16,12,9,11,4,9,4,7,8,6,3,1,0,2,0.0,10850.0,4,04. ВЕЛИКО ТЪРНОВО,16,3661.0,0.33741935483870966,VTR20
Мадан,584,574,3304,159,282,101,59,153,141.0,34,5,10,9,38.0,7,2,2,9,8,5,3,4,6,6,3,1,1,3,1,1,0.0,10079.0,22,22. СМОЛЯН,36,5515.0,0.5471772993352515,SML16
Маджарово,130,87,766,48,55,17,10,12,12.0,4,1,0,3,18.0,0,0,2,1,1,2,0,0,1,0,1,1,1,0,0,0,0.0,3017.0,29,29. ХАСКОВО,15,1173.0,0.3887968180311568,HKV18
Макреш,131,78,36,26,162,31,20,15,8.0,1,5,1,0,12.0,3,2,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0.0,998.0,5,05. ВИДИН,8,539.0,0.5400801603206413,VID25
