id,БСП,ГЕРБ-СДС,ВЪЗР,ИТН,НП ИСИ,АТАКА (к.),БНО,ЗАЕДНО,БНС-НД,НДСВ,КОД,ПП/ДБ,ДПС,ЛЕВИЦАТА,БВ,МИР,ЕВРОЛЕВИЦА,БСДД,ГЛАС НАРОДЕН,СПБП,ВЪН ОТ ЕС,независими,не подкрепям никого,total,eligible_voters,активност
14,0.03035878564857406,0.10211591536338546,0.01839926402943882,0.035878564857405704,0.0027598896044158236,0.0,0.0,0.0,0.0,0.004599816007359705,0.0,0.1701931922723091,0.6053357865685373,0.0027598896044158236,0.0036798528058877645,0.0,0.0009199632014719411,0.0027598896044158236,0.0018399264029438822,0.0,0.0,0.0,0.01839926402943882,1087.0,2307,0.4711746857390551
28,0.30303030303030304,0.30303030303030304,0.07575757575757576,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.06060606060606061,0.015151515151515152,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,66.0,97,0.6804123711340206
31,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.7564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,78.0,185,0.42162162162162165
45,0.06363636363636363,0.5363636363636364,0.1318181818181818,0.00909090909090909,0.00909090909090909,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.11363636363636363,0.05909090909090909,0.0,0.05,0.0,0.004545454545454545,0.004545454545454545,0.0,0.0,0.0,0.0,0.013636363636363636,220.0,671,0.32786885245901637
59,0.004672897196261682,0.09345794392523364,0.004672897196261682,0.0,0.004672897196261682,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.04672897196261682,0.602803738317757,0.0,0.22897196261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,214.0,576,0.3715277777777778
84,0.09795918367346938,0.4448979591836735,0.17142857142857143,0.02857142857142857,0.004081632653061225,0.0,0.004081632653061225,0.004081632653061225,0.0,0.0,0.0,0.1510204081632653,0.024489795918367346,0.004081632653061225,0.0326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326530612244898,245.0,511,0.4794520547945205
93,0.1366906474820144,0.08633093525179857,0.02158273381294964,0.014388489208633094,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.17266187050359713,0.49640287769784175,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05755395683453238,139.0,301,0.46179401993355484
103,0.030927835051546393,0.28865979381443296,0.10309278350515463,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.15463917525773196,0.3917525773195876,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,97.0,244,0.3975409836065574
120,0.0,0.08098591549295775,0.01056338028169014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.8873239436619719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,284.0,945,0.30052910052910053
134,0.05855855855855856,0.3108108108108108,0.14864864864864866,0.0990990990990991,0.0045045045045045045,0.0045045045045045045,0.0,0.0045045045045045045,0.0,0.0,0.0,0.18018018018018017,0.08108108108108109,0.03153153153153153,0.02252252252252252,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.04954954954954955,222.0,642,0.34579439252336447
