municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Драгоман,754,407,413,22,83,98,159,56,63,26,104,38,47,10,22,14,6,0,2,2,6,1,1,2,2,3,1,2,3,4,6,1,0.0,4228,26,26. СОФИЯ област,20,2358.0,0.5577105014191107,SFO16
Дряново,849,666,1096,103,138,200,186,70,120,73,302,46,114,11,21,40,17,7,11,13,3,1,1,4,4,3,5,2,0,1,2,1,0.0,7801,7,07. ГАБРОВО,24,4110.0,0.5268555313421356,GAB12
Дулово,5485,440,573,5873,81,129,160,117,435,41,127,106,12,13,7,36,12,24,11,14,9,9,3,6,4,7,16,7,1,6,3,3,0.0,29489,20,20. СИЛИСТРА,43,13770.0,0.4669537793753603,SLS10
Дупница,6131,3513,3946,183,914,923,864,503,450,344,433,275,532,166,119,38,119,100,45,110,45,16,13,25,28,18,20,22,13,16,7,1,0.0,40985,10,10. КЮСТЕНДИЛ,73,19932.0,0.48632426497499087,KNL48
Дългопол,2606,352,711,1664,153,70,468,53,283,34,245,31,48,11,16,23,8,6,3,6,7,27,3,1,5,5,9,2,5,1,1,0,0.0,12161,3,03. ВАРНА,33,6857.0,0.5638516569361073,VAR16
Елена,1198,590,798,319,169,134,138,72,137,71,114,56,189,14,18,15,16,5,7,3,6,1,0,3,4,4,5,3,0,3,2,2,0.0,7926,4,04. ВЕЛИКО ТЪРНОВО,25,4096.0,0.5167802170073177,VTR13
Елин Пелин,2160,1997,1392,41,638,368,993,344,216,241,134,218,61,47,66,49,39,11,37,20,21,4,3,9,11,7,9,9,7,6,4,5,0.0,17872,26,26. СОФИЯ област,34,9167.0,0.5129252461951657,SFO17
Елхово,1516,1113,1682,136,252,237,92,115,167,104,235,47,55,16,71,36,21,7,9,5,8,2,4,8,5,4,4,5,9,5,3,2,0.0,12965,31,31. ЯМБОЛ,30,5975.0,0.46085615117624373,JAM07
Етрополе,2294,1093,1082,140,238,244,142,143,165,85,86,94,5,35,33,21,25,23,4,8,6,7,18,14,9,10,4,11,7,8,2,1,0.0,10449,26,26. СОФИЯ област,21,6057.0,0.5796726959517657,SFO18
Завет,619,140,201,2559,440,42,11,11,144,20,32,66,162,6,4,2,2,8,6,2,0,9,0,6,3,3,3,1,1,1,1,1,0.0,11311,18,18. РАЗГРАД,15,4506.0,0.39837326496331005,RAZ11
Земен,526,190,238,0,40,54,53,16,38,21,33,15,7,10,7,14,7,2,2,3,1,0,0,1,0,1,2,1,1,4,0,0,0.0,2102,14,14. ПЕРНИК,14,1287.0,0.6122740247383445,PER19
Златарица,299,178,577,384,28,24,274,14,86,12,47,11,49,2,11,3,4,2,4,0,6,2,0,3,0,0,1,1,0,1,0,0,0.0,3587,4,04. ВЕЛИКО ТЪРНОВО,13,2023.0,0.5639810426540285,VTR14
Златица,641,492,480,13,102,90,67,94,48,53,56,48,4,10,15,46,6,3,6,3,6,8,1,1,3,2,3,2,0,1,1,0,0.0,4771,26,26. СОФИЯ област,11,2305.0,0.4831272269964368,SFO47
Златоград,1827,911,1130,148,194,152,42,96,123,61,116,59,161,16,8,10,13,6,7,3,4,3,0,3,3,3,6,3,4,4,1,0,0.0,10640,22,22. СМОЛЯН,23,5117.0,0.48092105263157897,SML11
Ивайловград,1437,346,561,288,83,187,84,35,80,48,41,39,21,10,16,5,9,1,4,6,2,4,2,2,1,3,5,2,1,1,0,1,0.0,6569,29,29. ХАСКОВО,26,3325.0,0.5061653219668139,HKV11
Иваново,1151,505,980,306,128,141,157,50,118,61,91,48,19,30,28,18,14,9,7,2,12,2,1,5,4,2,2,5,2,3,2,0,0.0,7688,19,19. РУСЕ,18,3903.0,0.5076742976066597,RSE13
Искър,465,477,637,171,33,74,123,30,103,30,79,18,288,14,17,7,4,6,2,1,3,1,0,1,6,0,0,5,0,3,0,0,0.0,5876,15,15. ПЛЕВЕН,11,2598.0,0.4421375085091899,PVN23
Исперих,3300,591,628,4841,442,116,38,56,340,58,186,143,120,14,16,19,15,13,5,6,11,8,2,6,7,0,6,3,3,14,6,2,0.0,25685,18,18. РАЗГРАД,42,11015.0,0.4288495230679385,RAZ14
Ихтиман,4119,1304,829,108,257,176,201,129,300,93,110,78,53,34,41,10,25,9,17,16,3,2,4,5,25,8,12,8,3,7,6,3,0.0,14339,26,26. СОФИЯ област,30,7995.0,0.557570262919311,SFO20
Каварна,1878,927,967,137,327,309,198,237,152,144,162,76,83,33,34,17,26,3,15,10,4,139,2,4,8,6,13,4,7,3,4,1,0.0,12925,8,08. ДОБРИЧ,31,5930.0,0.4588007736943907,DOB17
Казанлък,7185,7162,5008,3512,1631,1597,942,753,789,917,939,458,152,166,161,86,164,48,63,45,26,23,16,50,31,31,23,30,18,25,16,2,0.0,65323,27,27. СТАРА ЗАГОРА,91,32069.0,0.490929687858794,SZR12
Кайнарджа,777,79,262,297,11,21,31,12,92,8,49,15,6,4,4,6,7,0,3,0,1,2,0,2,2,0,4,4,0,4,2,0,0.0,4309,20,20. СИЛИСТРА,14,1705.0,0.39568345323741005,SLS15
Калояново,1018,782,823,243,130,206,139,101,129,90,225,67,192,30,34,12,10,3,4,3,4,3,0,4,4,2,9,3,3,1,2,1,0.0,8669,17,17. ПЛОВДИВ област,20,4277.0,0.4933671703772061,PDV12
Камено,1404,454,848,211,110,205,194,98,225,67,152,60,36,11,25,4,21,11,3,5,6,6,5,5,5,4,3,5,4,1,11,3,0.0,9417,2,02. БУРГАС,20,4202.0,0.44621429329935225,BGS08
Каолиново,2025,74,195,3670,15,24,22,8,182,6,81,49,11,6,4,9,2,15,5,2,6,1,1,4,1,2,1,2,0,3,2,0,0.0,17400,30,30. ШУМЕН,24,6428.0,0.36942528735632185,SHU18
Карлово,4194,3884,4614,1156,960,911,828,598,646,402,1271,301,385,100,195,50,82,37,40,23,63,23,31,19,15,23,21,27,19,14,18,4,0.0,44153,17,17. ПЛОВДИВ област,80,20954.0,0.47457703893280184,PDV13
Карнобат,2616,1450,2178,725,311,345,302,239,376,155,447,121,31,37,49,27,31,13,19,13,18,4,1,9,13,11,6,22,10,6,7,2,0.0,21342,2,02. БУРГАС,61,9594.0,0.4495361259488333,BGS09
Каспичан,724,413,667,253,52,82,93,61,120,48,124,30,88,20,16,37,19,6,6,2,10,1,4,2,3,3,3,5,2,6,1,2,0.0,6841,30,30. ШУМЕН,18,2903.0,0.4243531647419968,SHU19
Кирково,2217,410,699,6375,96,55,17,65,442,19,57,79,172,12,10,18,19,14,14,1,3,15,4,2,3,6,5,6,1,3,2,0,0.0,35785,9,09. КЪРДЖАЛИ,81,10841.0,0.3029481626379768,KRZ14
Кнежа,2014,1058,1102,281,97,187,235,89,232,152,57,63,50,29,17,13,19,12,9,6,1,3,4,4,6,1,2,5,2,4,1,1,0.0,11495,15,15. ПЛЕВЕН,23,5756.0,0.5007394519356242,PVN39
Ковачевци,191,87,246,10,30,41,20,12,25,3,18,6,2,0,8,16,3,11,0,0,0,0,0,0,0,2,1,2,2,0,1,0,0.0,1171,14,14. ПЕРНИК,10,737.0,0.6293766011955594,PER22
Козлодуй,2289,1794,1522,617,360,416,174,295,152,239,194,154,111,36,50,24,43,12,14,11,5,9,3,7,8,10,13,14,4,3,4,1,0.0,16746,6,06. ВРАЦА,28,8588.0,0.5128388868983638,VRC20
Копривщица,271,167,241,7,73,50,73,20,23,10,30,18,6,5,8,3,17,1,1,0,4,0,0,1,1,4,0,3,1,2,0,1,0.0,1872,26,26. СОФИЯ област,3,1041.0,0.5560897435897436,SFO24
Костенец,2472,925,758,17,209,178,236,163,111,157,70,78,100,30,20,29,27,7,4,15,13,4,20,8,8,0,6,4,4,3,2,2,0.0,10189,26,26. СОФИЯ област,20,5680.0,0.5574639316910394,SFO25
Костинброд,2550,1471,1114,257,495,315,606,271,160,139,87,136,41,24,34,30,17,12,16,6,8,4,6,2,6,3,18,7,6,1,2,5,0.0,13601,26,26. СОФИЯ област,26,7849.0,0.577089919858834,SFO26
Котел,3077,443,1007,1511,82,177,91,83,422,62,145,59,197,25,26,23,23,12,1,4,3,5,11,8,4,9,7,5,4,10,6,2,0.0,18479,21,21. СЛИВЕН,30,7544.0,0.40824719952378374,SLV11
Кочериново,739,246,346,17,46,110,38,19,51,13,56,18,9,7,6,6,9,3,3,2,2,1,3,0,3,2,2,2,3,2,3,0,0.0,2988,10,10. КЮСТЕНДИЛ,16,1767.0,0.5913654618473896,KNL27
Кресна,1263,334,443,3,116,121,203,24,87,21,46,24,27,12,3,31,6,0,1,8,2,3,1,2,5,0,0,0,2,0,0,1,0.0,4515,1,01. БЛАГОЕВГРАД,11,2789.0,0.6177187153931339,BLG28
Криводол,2116,438,601,291,42,98,239,77,157,53,84,33,16,12,35,7,12,12,5,4,3,48,4,3,7,4,17,2,4,3,3,1,0.0,7713,6,06. ВРАЦА,22,4431.0,0.574484636328277,VRC21
Кричим,464,529,443,557,91,123,49,70,67,61,96,22,20,12,9,7,22,5,3,2,1,3,0,4,2,1,1,1,1,0,0,0,0.0,7128,17,17. ПЛОВДИВ област,10,2666.0,0.3740179573512907,PDV39
Крумовград,995,351,639,6645,84,66,22,60,277,24,50,67,81,14,10,16,8,19,17,8,4,10,2,3,9,4,2,5,2,3,1,3,0.0,34485,9,09. КЪРДЖАЛИ,83,9501.0,0.2755110917790344,KRZ15
Крушари,344,87,157,879,25,22,17,7,85,15,34,7,40,1,7,5,1,2,4,0,1,1,0,1,0,0,2,0,3,1,1,1,0.0,5222,8,08. ДОБРИЧ,17,1750.0,0.3351206434316354,DOB20
Кубрат,1351,597,743,3694,309,139,55,39,284,62,120,113,67,14,14,51,7,13,12,8,3,63,6,10,4,13,2,4,7,2,3,0,0.0,18639,18,18. РАЗГРАД,39,7809.0,0.41896024464831805,RAZ16
Куклен,586,342,363,918,124,90,42,54,75,60,190,35,35,16,7,14,10,1,1,4,3,0,0,3,0,3,2,1,0,5,0,0,0.0,6292,17,17. ПЛОВДИВ област,14,2984.0,0.47425301970756517,PDV42
Кула,705,281,290,88,84,49,166,16,63,17,19,31,28,7,5,2,15,2,4,1,3,0,2,6,3,0,2,1,2,1,1,1,0.0,3588,5,05. ВИДИН,13,1895.0,0.528149386845039,VID22
Кърджали,4132,2343,3370,13370,1073,534,282,339,934,244,314,450,413,75,57,73,64,37,42,19,17,25,9,14,13,13,5,16,9,14,4,6,0.0,97310,9,09. КЪРДЖАЛИ,173,28310.0,0.29092590689548864,KRZ16
Кюстендил,7754,4190,4178,592,1244,1816,1143,664,601,534,721,425,220,247,123,94,81,52,61,44,35,47,19,20,12,23,23,22,22,12,13,10,0.0,65059,10,10. КЮСТЕНДИЛ,113,25042.0,0.38491215665780293,KNL29
Левски,1617,1393,1675,235,431,198,523,162,224,141,253,76,86,35,62,138,31,7,8,9,6,8,6,3,5,10,6,15,5,5,5,7,0.0,17080,15,15. ПЛЕВЕН,35,7385.0,0.4323770491803279,PVN16
Лесичово,662,312,457,332,27,34,60,19,106,23,80,21,124,8,13,3,4,3,3,4,4,5,2,1,3,0,5,1,1,3,1,2,0.0,4284,13,13. ПАЗАРДЖИК,10,2323.0,0.542250233426704,PAZ14
Летница,285,201,312,399,22,28,37,11,53,18,32,14,13,9,10,9,3,3,4,0,0,0,1,0,1,3,0,1,1,2,1,0,0.0,4122,11,11. ЛОВЕЧ,8,1473.0,0.3573508005822416,LOV17
Ловеч,7374,4131,3710,991,1065,1119,537,436,487,483,510,336,113,135,110,86,68,25,89,25,20,20,22,14,16,25,12,24,11,19,2,65,0.0,43839,11,11. ЛОВЕЧ,101,22080.0,0.5036611236570178,LOV18
Лозница,954,256,238,2579,220,37,14,22,165,20,61,54,69,5,12,8,3,8,6,2,1,8,0,3,2,5,2,0,0,3,3,0,0.0,10450,18,18. РАЗГРАД,22,4760.0,0.45550239234449763,RAZ17
Лом,4304,1447,1557,1170,357,317,265,197,357,127,116,134,768,69,61,16,37,9,36,17,12,4,7,6,10,9,21,7,4,3,7,3,0.0,24034,12,12. МОНТАНА,54,11454.0,0.4765748522925855,MON24
Луковит,2828,1288,889,1260,193,226,118,86,338,66,93,69,36,31,33,14,15,14,12,12,6,6,1,7,5,3,18,3,3,6,2,9,0.0,14731,11,11. ЛОВЕЧ,30,7690.0,0.5220283755345869,LOV19
Лъки,314,112,176,106,28,166,5,25,27,13,119,22,12,8,2,1,2,6,1,1,2,0,0,6,0,1,0,0,0,0,0,1,0.0,2387,17,17. ПЛОВДИВ област,11,1156.0,0.48428990364474234,PDV15
Любимец,3078,472,700,30,75,99,26,57,106,59,37,40,48,13,15,5,3,4,5,4,7,0,2,2,0,1,6,8,1,10,1,1,0.0,7959,29,29. ХАСКОВО,21,4915.0,0.6175398919462244,HKV17
Лясковец,1407,1263,1210,96,253,245,219,152,105,145,132,61,40,27,21,15,26,9,8,5,8,1,13,5,2,4,1,9,7,5,1,2,0.0,11108,4,04. ВЕЛИКО ТЪРНОВО,17,5497.0,0.49486856319769534,VTR20
Мадан,867,896,443,3671,155,112,16,51,95,37,56,69,19,12,3,3,3,12,9,6,5,2,3,3,3,6,1,5,2,5,1,1,0.0,10589,22,22. СМОЛЯН,37,6572.0,0.6206440645953348,SML16
Маджарово,195,41,104,722,23,10,7,7,27,18,20,5,3,1,5,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,2952,29,29. ХАСКОВО,14,1195.0,0.404810298102981,HKV18
Макреш,182,67,259,33,18,15,18,7,16,4,8,6,29,7,1,3,2,0,0,0,1,0,5,0,2,0,0,1,0,1,0,0,0.0,1089,5,05. ВИДИН,8,685.0,0.6290174471992653,VID25
Малко Търново,371,121,290,60,45,62,115,16,62,18,52,18,8,6,3,17,9,1,0,2,2,0,0,4,2,0,4,3,7,1,1,2,0.0,2648,2,02. БУРГАС,14,1302.0,0.4916918429003021,BGS12
Марица,3051,2478,2050,623,532,605,411,371,370,316,456,194,58,54,79,22,45,13,18,22,11,14,4,14,13,19,43,13,4,4,9,2,0.0,25435,17,17. ПЛОВДИВ област,40,11918.0,0.4685669353253391,PDV17
Медковец,515,142,487,272,19,38,45,21,71,8,39,16,10,6,6,1,4,2,0,1,3,0,1,1,4,0,1,3,2,2,0,2,0.0,3053,12,12. МОНТАНА,8,1722.0,0.5640353750409434,MON26
Мездра,3329,1499,1912,787,290,334,370,226,220,108,229,124,55,40,71,36,21,10,12,8,10,8,23,16,12,3,4,9,5,11,2,5,0.0,17201,6,06. ВРАЦА,42,9789.0,0.5690948200686007,VRC27
Мизия,837,512,768,195,57,110,89,54,82,45,39,43,177,15,20,4,13,3,6,5,1,1,1,2,2,5,4,5,0,3,5,1,0.0,5742,6,06. ВРАЦА,16,3104.0,0.5405781957506095,VRC28
Минерални бани,468,232,186,2801,37,59,13,18,73,28,33,25,18,9,8,2,5,5,4,2,0,2,0,0,0,1,0,1,1,0,1,0,0.0,6978,29,29. ХАСКОВО,19,4032.0,0.5778159931212382,HKV19
Мирково,190,118,158,12,32,39,20,34,21,13,44,29,24,6,8,1,9,25,3,3,2,6,13,0,2,2,2,0,1,0,0,1,0.0,1829,26,26. СОФИЯ област,6,818.0,0.44723892837616186,SFO56
Момчилград,1176,344,344,5728,123,40,10,38,302,9,29,66,20,9,13,11,5,10,12,6,0,7,1,4,2,2,0,1,2,1,1,1,0.0,30334,9,09. КЪРДЖАЛИ,63,8317.0,0.27418078723544537,KRZ21
Монтана,7191,4300,3566,2484,1094,1352,712,872,435,499,593,378,367,160,155,54,111,39,53,21,36,64,49,23,19,15,25,18,15,14,10,9,0.0,46378,12,12. МОНТАНА,85,24733.0,0.5332916469015482,MON29
Мъглиж,1516,632,595,789,131,170,119,56,185,46,96,30,38,12,26,11,10,4,8,11,10,4,1,10,10,3,11,6,3,11,10,0,0.0,9661,27,27. СТАРА ЗАГОРА,15,4564.0,0.4724148638857261,SZR22
Невестино,254,85,306,39,7,68,40,14,35,3,53,14,5,8,4,2,4,0,3,2,1,1,0,2,1,3,0,0,0,0,1,0,0.0,1805,10,10. КЮСТЕНДИЛ,19,955.0,0.5290858725761773,KNL31
Неделино,811,282,468,407,125,92,75,14,76,19,46,9,11,2,4,12,4,3,5,2,0,1,0,2,3,3,2,1,2,1,0,0,0.0,5559,22,22. СМОЛЯН,22,2482.0,0.44648318042813456,SML18
Несебър,2563,1727,1433,432,674,1008,326,494,200,387,572,125,209,51,26,35,54,38,14,7,24,7,29,70,10,15,6,7,9,4,9,2,0.0,19892,2,02. БУРГАС,37,10567.0,0.5312185803338025,BGS15
Никола Козлево,2251,96,247,442,8,20,9,15,115,4,28,17,58,1,6,4,3,5,3,0,6,2,1,0,5,4,7,3,1,3,2,1,0.0,7009,30,30. ШУМЕН,15,3367.0,0.48038236553003283,SHU21
Николаево,236,191,281,1019,25,38,14,21,81,12,32,11,17,3,16,25,4,3,10,0,2,0,0,3,1,1,1,1,0,2,1,2,0.0,3696,27,27. СТАРА ЗАГОРА,7,2053.0,0.5554653679653679,SZR38
Никопол,736,425,1193,1132,64,95,216,25,144,23,35,43,83,7,20,10,9,2,3,2,5,1,1,1,5,3,3,8,1,2,2,0,0.0,8125,15,15. ПЛЕВЕН,19,4299.0,0.5291076923076923,PVN21
Нова Загора,3537,2153,2482,1162,799,629,346,399,418,274,248,150,112,66,157,36,60,22,16,9,19,10,15,14,15,13,13,16,6,12,12,4,0.0,32229,21,21. СЛИВЕН,64,13224.0,0.410313692637066,SLV16
Нови пазар,1153,973,1339,2043,181,174,173,106,277,82,199,77,91,21,22,20,14,18,8,5,31,4,1,5,4,7,2,13,5,2,1,5,0.0,17208,30,30. ШУМЕН,36,7056.0,0.4100418410041841,SHU22
Ново село,458,136,251,97,74,30,72,19,40,22,8,6,20,4,10,2,12,2,4,0,1,1,0,0,2,2,3,0,0,1,0,1,0.0,2095,5,05. ВИДИН,8,1278.0,0.6100238663484487,VID30
Омуртаг,1262,413,728,5963,97,101,79,54,414,39,155,94,39,16,28,16,11,19,18,0,3,7,3,7,7,7,2,5,4,5,4,4,0.0,25068,28,28. ТЪРГОВИЩЕ,59,9604.0,0.38311791925961386,TGV22
Опака,348,118,195,2070,20,36,20,35,100,3,27,31,106,5,2,10,4,11,4,1,2,4,0,1,1,1,2,2,1,4,1,0,0.0,5814,28,28. ТЪРГОВИЩЕ,12,3165.0,0.54437564499484,TGV23
Опан,326,173,329,248,14,37,51,13,55,16,46,4,11,2,17,3,33,0,3,0,3,1,0,1,0,0,3,1,3,1,0,0,0.0,2149,27,27. СТАРА ЗАГОРА,13,1394.0,0.6486738017682643,SZR23
Оряхово,984,644,949,589,131,123,248,56,144,58,114,60,13,13,13,13,22,4,5,1,0,1,0,7,3,5,2,11,2,4,3,2,0.0,9239,6,06. ВРАЦА,26,4224.0,0.4571923368329906,VRC31
Павел баня,761,785,874,3052,144,161,158,90,199,75,104,58,10,23,25,23,30,8,10,4,7,9,5,3,2,2,6,7,3,3,3,0,0.0,13781,27,27. СТАРА ЗАГОРА,24,6644.0,0.48211305420506495,SZR24
Павликени,1771,1471,2471,913,248,260,268,166,299,151,252,167,419,60,64,21,34,20,11,10,12,7,2,9,6,7,12,8,2,6,9,1,0.0,19690,4,04. ВЕЛИКО ТЪРНОВО,43,9157.0,0.465058405281869,VTR22
Пазарджик,11829,8467,7192,2766,2570,1664,1350,1307,1314,1001,952,580,679,252,278,139,233,113,59,63,85,129,49,58,49,47,37,30,30,25,19,12,0.0,101526,13,13. ПАЗАРДЖИК,157,43378.0,0.42726001221362014,PAZ19
Панагюрище,2613,2071,2047,204,457,408,240,345,204,182,215,177,140,66,58,53,48,22,28,20,5,26,7,13,8,13,5,8,4,10,4,2,0.0,21162,13,13. ПАЗАРДЖИК,28,9703.0,0.45851053775635575,PAZ20
Перник,14648,7326,6385,358,2731,2146,1285,1517,898,762,730,735,242,226,240,724,150,520,100,88,43,41,28,72,54,53,79,37,37,25,20,11,0.0,79355,14,14. ПЕРНИК,141,42311.0,0.5331863146619621,PER32
Перущица,490,234,349,102,106,96,67,67,134,43,73,37,24,4,9,10,8,1,1,1,5,1,0,2,1,1,3,3,2,1,1,0,0.0,4122,17,17. ПЛОВДИВ област,7,1876.0,0.45511887433284814,PDV40
Петрич,8304,5406,2708,353,957,1080,2063,737,685,291,430,220,290,74,84,77,61,24,24,22,38,14,11,35,29,14,30,28,10,26,28,0,16.0,55007,1,01. БЛАГОЕВГРАД,93,24169.0,0.43938044248913777,BLG33
Пещера,2352,924,1737,592,236,406,730,146,345,117,101,78,23,40,40,9,33,13,9,6,8,7,4,7,10,5,4,5,10,7,1,3,0.0,18494,13,13. ПАЗАРДЖИК,28,8008.0,0.43300529901589707,PAZ21
Пирдоп,868,753,521,178,187,155,113,83,57,72,55,77,15,12,31,15,12,5,4,5,3,44,2,5,2,2,3,4,1,0,1,1,0.0,6713,26,26. СОФИЯ област,15,3286.0,0.48949798897661256,SFO55
Плевен,13457,15532,8582,1804,3408,2574,3523,1286,1064,1235,1497,789,1183,433,290,395,312,94,101,59,156,63,78,37,55,51,32,54,21,39,21,17,0.0,117283,15,15. ПЛЕВЕН,173,58242.0,0.4965937092332222,PVN24
Пловдив,34465,26956,19783,3985,17101,6865,5962,4453,3082,4484,4425,2721,1288,866,606,634,688,473,516,263,248,88,75,146,149,173,121,127,122,58,59,36,0.0,299654,16,16. ПЛОВДИВ град,488,141018.0,0.4706027618520026,PDV22
Полски Тръмбеш,967,843,1362,815,137,141,201,74,204,66,282,39,269,10,32,12,16,9,6,6,3,1,1,1,2,9,1,4,2,4,6,0,0.0,11676,4,04. ВЕЛИКО ТЪРНОВО,22,5525.0,0.47319287427201095,VTR26
Поморие,2810,1713,1350,2125,551,620,466,352,301,306,495,156,120,30,41,32,37,13,14,9,15,10,10,6,7,4,6,15,7,7,6,2,0.0,23077,2,02. БУРГАС,52,11636.0,0.5042249859167136,BGS17
Попово,1785,1977,2291,1129,404,480,179,311,216,161,260,125,394,40,51,40,48,17,15,8,5,5,9,7,12,6,8,11,4,9,7,0,0.0,25435,28,28. ТЪРГОВИЩЕ,54,10014.0,0.3937094554747395,TGV24
Пордим,524,453,486,87,35,89,211,22,108,31,64,23,63,19,14,60,16,0,0,1,4,1,6,2,3,0,7,3,0,1,2,0,0.0,4812,15,15. ПЛЕВЕН,10,2335.0,0.4852452202826268,PVN27
Правец,1217,501,838,30,133,194,61,103,155,51,57,63,10,15,20,9,11,6,5,6,10,5,11,9,0,2,5,7,4,2,3,1,0.0,6310,26,26. СОФИЯ област,18,3544.0,0.561648177496038,SFO34
Приморско,1235,482,345,169,112,317,101,86,83,55,145,39,8,10,7,3,15,8,6,5,10,2,3,0,1,0,4,4,4,2,0,0,0.0,5382,2,02. БУРГАС,9,3261.0,0.6059085841694537,BGS27
Провадия,3074,1265,1388,1277,207,224,653,131,397,145,476,58,72,28,47,22,20,12,12,31,5,6,5,3,5,5,18,9,3,6,2,0,0.0,19541,3,03. ВАРНА,47,9606.0,0.49158180236425975,VAR24
Първомай,2054,1484,2763,1044,374,388,148,227,237,214,318,103,174,65,62,21,41,19,13,7,15,11,5,10,6,5,14,6,5,5,4,3,0.0,22851,17,17. ПЛОВДИВ област,40,9845.0,0.4308345367817601,PDV23
Раднево,1491,1729,1868,645,248,849,160,211,188,151,262,90,216,15,44,40,41,7,20,9,18,8,12,8,6,11,10,5,7,5,4,4,0.0,16273,27,27. СТАРА ЗАГОРА,41,8382.0,0.515086339335095,SZR27
Радомир,3298,1380,1532,195,390,402,224,225,252,111,143,129,28,29,35,53,25,37,13,29,11,6,9,6,11,6,31,12,8,3,12,3,0.0,16122,14,14. ПЕРНИК,50,8648.0,0.5364098747053715,PER36
Разград,4749,2963,2983,2941,2239,645,493,347,536,423,448,346,529,89,92,50,66,36,62,21,18,29,3,15,14,56,31,15,7,24,7,2,0.0,51685,18,18. РАЗГРАД,73,20279.0,0.3923575505465802,RAZ26
Разлог,3776,2036,2038,638,1014,339,242,201,335,127,174,99,178,56,36,12,36,12,16,11,15,14,14,12,12,5,29,14,2,5,7,0,6.0,17562,1,01. БЛАГОЕВГРАД,30,11511.0,0.6554492654595149,BLG37
Ракитово,2001,643,728,2002,89,82,83,282,251,59,97,58,117,17,11,3,16,13,6,7,4,4,17,5,4,1,7,4,9,4,3,3,0.0,12784,13,13. ПАЗАРДЖИК,16,6630.0,0.5186170212765957,PAZ24
Раковски,2683,1729,1331,123,387,247,113,220,290,197,245,110,482,54,25,21,27,10,9,10,13,6,4,8,9,3,8,10,9,5,2,2,0.0,22564,17,17. ПЛОВДИВ област,32,8392.0,0.3719198723630562,PDV25
Рила,337,144,210,10,185,50,26,19,33,8,43,17,14,4,6,1,3,4,4,1,0,1,0,0,0,0,2,2,1,1,0,0,0.0,2453,10,10. КЮСТЕНДИЛ,8,1126.0,0.45902975947818997,KNL38
Родопи,3283,2438,2024,835,731,705,435,507,298,310,466,259,77,70,94,179,31,31,34,12,19,13,4,14,15,13,9,14,8,4,6,3,0.0,28314,17,17. ПЛОВДИВ област,56,12941.0,0.45705304796213886,PDV26
Роман,844,416,404,690,72,165,118,48,83,27,65,29,5,6,7,6,6,2,2,3,0,2,1,0,2,0,7,4,0,1,1,1,0.0,4913,6,06. ВРАЦА,18,3017.0,0.6140850803989416,VRC32
Рудозем,955,713,331,2344,151,124,168,65,110,25,39,68,56,7,9,0,7,7,8,4,7,5,0,7,3,3,5,1,3,1,2,1,0.0,8601,22,22. СМОЛЯН,27,5229.0,0.6079525636553889,SML27
Руен,1179,155,410,12385,49,137,55,55,323,13,235,120,269,4,12,64,8,16,7,4,3,7,2,10,4,8,8,6,3,2,2,3,0.0,28225,2,02. БУРГАС,52,15558.0,0.5512134632418069,BGS18
Ружинци,963,161,267,254,48,38,12,23,86,16,33,17,2,4,12,1,2,3,1,2,0,1,0,2,5,0,0,3,2,3,0,0,0.0,3243,5,05. ВИДИН,11,1961.0,0.6046870181930312,VID33
Русе,12072,15210,11542,2133,6509,3626,4245,1605,1222,1780,1053,1182,675,488,381,346,382,245,159,120,139,63,104,111,53,71,38,68,46,45,24,12,0.0,147070,19,19. РУСЕ,226,65749.0,0.44705922349901406,RSE27
Садово,943,876,1690,116,154,168,116,124,165,65,169,61,29,15,32,11,17,7,14,3,5,4,2,2,0,1,4,8,1,2,3,2,0.0,11598,17,17. ПЛОВДИВ област,20,4809.0,0.4146404552509053,PDV28
Самоков,6162,2613,2960,2249,838,536,699,398,440,217,373,255,69,58,72,33,58,16,24,23,54,15,16,12,13,10,18,27,2,6,2,3,0.0,31402,26,26. СОФИЯ област,66,18271.0,0.5818419208967581,SFO39
Самуил,388,58,63,2709,187,9,5,5,147,9,25,26,128,3,4,5,4,3,5,1,2,3,1,2,0,0,2,1,0,1,0,0,0.0,9149,18,18. РАЗГРАД,25,3796.0,0.4149087331948847,RAZ29
Сандански,4674,3072,2851,192,921,501,4730,484,484,255,144,168,465,115,63,45,39,21,17,12,31,40,16,12,28,17,7,19,7,8,5,2,8.0,35655,1,01. БЛАГОЕВГРАД,78,19453.0,0.5455896788669191,BLG40
