id,ПП ДРОМ,БЪЛГАРСКА ПРОЛЕТ,ДНБ,ДСБ (коалиция),КОАЛИЦИЯ НА НЕДОВОЛНИТЕ,ВОЛЯ,БДЦ,АБВ/Движение 21,ДПС,БСП,ГЕРБ,Партия на ЗЕЛЕНИТЕ,ДОСТ,ВЪЗР,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,"Зелените, ДЕОС",ОБЕДИНЕНИ ПАТРИОТИ,КОЙ,НРП,БНО,РБ-ГЛАС НАРОДЕН,независими1,независими2,не подкрепям никого,total,eligible_voters,активност
14,0.0,0.0008019246190858059,0.0016038492381716118,0.0,0.0032076984763432237,0.008821170809943865,0.0008019246190858059,0.00400962309542903,0.7241379310344828,0.1210906174819567,0.08500400962309543,0.0,0.03207698476343224,0.0016038492381716118,0.0,0.0024057738572574178,0.0,0.0,0.0,0.0,0.0016038492381716118,0.0,0.0,0.012830793905372895,1247.0,2350,0.5306382978723404
28,0.0,0.0,0.0,0.024096385542168676,0.0,0.060240963855421686,0.0,0.024096385542168676,0.04819277108433735,0.42168674698795183,0.3253012048192771,0.0,0.0,0.0,0.0,0.0,0.08433734939759036,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,83.0,109,0.7614678899082569
31,0.0,0.0,0.0,0.0,0.010638297872340425,0.0425531914893617,0.0,0.0,0.723404255319149,0.05319148936170213,0.0851063829787234,0.0,0.031914893617021274,0.0,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.010638297872340425,94.0,208,0.4519230769230769
45,0.005780346820809248,0.014450867052023121,0.002890173410404624,0.008670520231213872,0.002890173410404624,0.005780346820809248,0.0,0.008670520231213872,0.017341040462427744,0.3786127167630058,0.4479768786127168,0.008670520231213872,0.008670520231213872,0.0,0.0,0.0,0.06358381502890173,0.0,0.0,0.002890173410404624,0.005780346820809248,0.0,0.0,0.017341040462427744,346.0,681,0.5080763582966226
59,0.0,0.002857142857142857,0.0,0.002857142857142857,0.0,0.011428571428571429,0.0,0.002857142857142857,0.3942857142857143,0.02857142857142857,0.025714285714285714,0.0,0.5028571428571429,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.022857142857142857,350.0,599,0.5843071786310517
84,0.0,0.005763688760806916,0.0,0.0,0.0,0.11527377521613832,0.0,0.0,0.005763688760806916,0.2910662824207493,0.45244956772334294,0.002881844380403458,0.0,0.01440922190201729,0.0,0.002881844380403458,0.09221902017291066,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.01440922190201729,347.0,555,0.6252252252252253
93,0.0,0.0,0.0,0.0,0.01485148514851485,0.039603960396039604,0.0,0.0049504950495049506,0.31683168316831684,0.3465346534653465,0.22277227722772278,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.009900990099009901,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.019801980198019802,202.0,364,0.554945054945055
103,0.0,0.007462686567164179,0.0,0.0,0.0,0.04477611940298507,0.0,0.007462686567164179,0.1417910447761194,0.48507462686567165,0.21641791044776118,0.014925373134328358,0.007462686567164179,0.0,0.0,0.007462686567164179,0.029850746268656716,0.0,0.007462686567164179,0.0,0.007462686567164179,0.0,0.0,0.022388059701492536,134.0,287,0.46689895470383275
120,0.0,0.0,0.0,0.0,0.0,0.005797101449275362,0.0,0.005797101449275362,0.463768115942029,0.017391304347826087,0.0463768115942029,0.002898550724637681,0.45507246376811594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002898550724637681,345.0,943,0.36585365853658536
134,0.0,0.003205128205128205,0.0,0.022435897435897436,0.0,0.05448717948717949,0.0,0.019230769230769232,0.05448717948717949,0.18269230769230768,0.47115384615384615,0.01282051282051282,0.00641025641025641,0.003205128205128205,0.0,0.019230769230769232,0.08653846153846154,0.0,0.0,0.003205128205128205,0.022435897435897436,0.016025641025641024,0.0,0.022435897435897436,312.0,608,0.5131578947368421
151,0.0008042279411764705,0.0010340073529411765,0.003331801470588235,0.007927389705882353,0.002182904411764706,0.06089154411764706,0.0006893382352941177,0.006893382352941176,0.11615349264705882,0.2568933823529412,0.2991727941176471,0.001838235294117647,0.07904411764705882,0.005170036764705882,0.0,0.007123161764705882,0.10110294117647059,0.00011488970588235294,0.0009191176470588235,0.00022977941176470588,0.028377757352941176,0.0,0.0,0.020105698529411766,8704.0,19273,0.4516162507134333
165,0.0,0.0,0.0,0.024390243902439025,0.004878048780487805,0.04390243902439024,0.0,0.0,0.0,0.40487804878048783,0.28292682926829266,0.0,0.0,0.014634146341463415,0.0,0.01951219512195122,0.14634146341463414,0.0,0.0,0.0,0.02926829268292683,0.0,0.0,0.02926829268292683,205.0,378,0.5423280423280423
179,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.06521739130434782,0.1956521739130435,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,46.0,58,0.7931034482758621
182,0.00027218290691344586,0.00326619488296135,0.002177463255307567,0.01714752313554709,0.0010887316276537834,0.14833968426782798,0.0,0.011703864997278171,0.01823625476320087,0.2689167120304845,0.34213391399020143,0.001905280348394121,0.0005443658138268917,0.015514425694066412,0.0,0.01905280348394121,0.10342950462710941,0.0005443658138268917,0.0005443658138268917,0.0005443658138268917,0.0195971692977681,0.0008165487207403375,0.0005443658138268917,0.02367991290146979,3674.0,6567,0.559463986599665
