id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,невалидни,total,eligible_voters,активност
14,0.150460593654043,0.706243602865916,0.02456499488229273,0.01330603889457523,0.02661207778915046,0.032753326509723645,0.0,0.01842374616171955,0.012282497441146366,0.0010235414534288639,0.0,0.00511770726714432,0.0,0.0010235414534288639,0.0,0.0,0.0,0.0,0.0,0.0020470829068577278,0.0,0.0010235414534288639,0.0,0.0,0.0020470829068577278,0.0,0.0,0.0010235414534288639,0.0010235414534288639,0.0,0.0,0.0010235414534288639,0.014329580348004094,977.0,2302,0.42441355343179843
28,0.2807017543859649,0.05263157894736842,0.12280701754385964,0.17543859649122806,0.14035087719298245,0.05263157894736842,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.0,0.017543859649122806,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.03508771929824561,57.0,95,0.6
31,0.06818181818181818,0.8295454545454546,0.0,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.09090909090909091,88.0,185,0.4756756756756757
45,0.5657894736842105,0.039473684210526314,0.019736842105263157,0.09868421052631579,0.07236842105263158,0.006578947368421052,0.006578947368421052,0.05263157894736842,0.03289473684210526,0.013157894736842105,0.0,0.006578947368421052,0.02631578947368421,0.0,0.013157894736842105,0.0,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.006578947368421052,0.0,0.13157894736842105,152.0,675,0.22518518518518518
59,0.059190031152647975,0.8691588785046729,0.01557632398753894,0.003115264797507788,0.003115264797507788,0.0,0.0,0.01557632398753894,0.018691588785046728,0.0,0.0,0.003115264797507788,0.0,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01557632398753894,321.0,567,0.5661375661375662
84,0.397196261682243,0.06542056074766354,0.08411214953271028,0.14953271028037382,0.07476635514018691,0.06542056074766354,0.0514018691588785,0.02336448598130841,0.018691588785046728,0.004672897196261682,0.014018691588785047,0.004672897196261682,0.02336448598130841,0.009345794392523364,0.004672897196261682,0.0,0.004672897196261682,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,214.0,508,0.421259842519685
93,0.18811881188118812,0.48514851485148514,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.039603960396039604,0.0,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,101.0,292,0.3458904109589041
103,0.2328767123287671,0.4383561643835616,0.0547945205479452,0.1095890410958904,0.0547945205479452,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,73.0,238,0.3067226890756303
120,0.05405405405405406,0.9227799227799228,0.007722007722007722,0.007722007722007722,0.0,0.0,0.0,0.003861003861003861,0.003861003861003861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007722007722007722,259.0,978,0.26482617586912066
134,0.24607329842931938,0.16230366492146597,0.09947643979057591,0.18324607329842932,0.05235602094240838,0.09424083769633508,0.020942408376963352,0.041884816753926704,0.010471204188481676,0.020942408376963352,0.005235602094240838,0.015706806282722512,0.020942408376963352,0.005235602094240838,0.0,0.0,0.010471204188481676,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010471204188481676,191.0,512,0.373046875
