id,ДПС,БСДД,БНО,НДЕ,ВМРО,КСБ,ПД,НФСБ,ПП,МИР,КОД,БТР,КТБ,ВЪЗР,БВ,БНС,ИЗПРАВИ СЕ,ДНК,ИТН,ГЛАС НАРОДЕН,ПРАВОТО,НП ИСИ,ГЕРБ-СДС,ДБ,ЕВРОЛЕВИЦА,АТАКА,БСП,РВО,независим,npn,total,eligible_voters,activity
14,0.5412234042553191,0.0,0.0,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532,0.0,0.0,0.09175531914893617,0.0,0.0,0.0,0.0,0.022606382978723406,0.023936170212765957,0.0013297872340425532,0.005319148936170213,0.0,0.0398936170212766,0.0013297872340425532,0.0,0.0,0.13962765957446807,0.017287234042553192,0.0,0.0,0.10372340425531915,0.0,0.0,0.007978723404255319,752.0,2307.0,0.3259644560034677
28,0.04477611940298507,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.19402985074626866,0.0,0.0,0.0,0.0,0.05970149253731343,0.029850746268656716,0.0,0.0,0.014925373134328358,0.029850746268656716,0.0,0.0,0.0,0.2835820895522388,0.04477611940298507,0.0,0.0,0.1791044776119403,0.0,0.0,0.07462686567164178,67.0,97.0,0.6907216494845361
31,0.7654320987654321,0.0,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.012345679012345678,0.0,0.012345679012345678,0.0,0.024691358024691357,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,81.0,190.0,0.4263157894736842
45,0.04477611940298507,0.0,0.014925373134328358,0.0,0.0,0.004975124378109453,0.0,0.024875621890547265,0.0845771144278607,0.0,0.0,0.004975124378109453,0.009950248756218905,0.07462686567164178,0.014925373134328358,0.0,0.009950248756218905,0.0,0.01990049751243781,0.0,0.014925373134328358,0.0,0.5522388059701493,0.01990049751243781,0.009950248756218905,0.004975124378109453,0.06467661691542288,0.0,0.0,0.024875621890547265,201.0,664.0,0.30271084337349397
59,0.85,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.05,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.044444444444444446,0.011111111111111112,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,180.0,583.0,0.30874785591766724
84,0.012345679012345678,0.00411522633744856,0.00823045267489712,0.00411522633744856,0.0,0.00411522633744856,0.00823045267489712,0.00823045267489712,0.13991769547325103,0.0,0.0,0.00411522633744856,0.012345679012345678,0.12345679012345678,0.01646090534979424,0.0,0.00823045267489712,0.0,0.04938271604938271,0.0,0.0,0.00411522633744856,0.37037037037037035,0.0411522633744856,0.0,0.00823045267489712,0.11934156378600823,0.00411522633744856,0.00411522633744856,0.04526748971193416,243.0,514.0,0.4727626459143969
93,0.4380165289256198,0.01652892561983471,0.0,0.0,0.0,0.01652892561983471,0.0,0.0,0.256198347107438,0.0,0.0,0.0,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.0,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0,0.0,0.08264462809917356,0.008264462809917356,0.008264462809917356,0.0,0.08264462809917356,0.008264462809917356,0.0,0.024793388429752067,121.0,302.0,0.40066225165562913
103,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.22580645161290322,0.010752688172043012,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.021505376344086023,0.0,0.0,0.0,0.24731182795698925,0.010752688172043012,0.0,0.021505376344086023,0.06451612903225806,0.0,0.0,0.021505376344086023,93.0,244.0,0.38114754098360654
120,0.862453531598513,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0,0.01486988847583643,0.0037174721189591076,0.0,0.0,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0037174721189591076,0.09293680297397769,0.0037174721189591076,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0,269.0,962.0,0.2796257796257796
134,0.044642857142857144,0.004464285714285714,0.0,0.0,0.004464285714285714,0.008928571428571428,0.0,0.0,0.16517857142857142,0.013392857142857142,0.0,0.0,0.004464285714285714,0.08482142857142858,0.07142857142857142,0.0,0.0,0.0,0.08482142857142858,0.004464285714285714,0.0,0.0,0.32142857142857145,0.05803571428571429,0.004464285714285714,0.004464285714285714,0.08035714285714286,0.0,0.0,0.04017857142857143,224.0,639.0,0.350547730829421
