id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total,eligible_voters,активност
14,0.14450261780104712,0.6963350785340314,0.030366492146596858,0.013612565445026177,0.0356020942408377,0.033507853403141365,0.0020942408376963353,0.012565445026178011,0.012565445026178011,0.0,0.0,0.0020942408376963353,0.005235602094240838,0.0020942408376963353,0.0,0.0,0.0,0.0,0.0031413612565445027,0.0010471204188481676,0.0,0.0,0.0,0.0,0.0,0.0,0.0010471204188481676,0.0,0.0020942408376963353,0.0020942408376963353,0.0,0.0,0.016753926701570682,955.0,2281,0.4186760192897852
28,0.2807017543859649,0.05263157894736842,0.12280701754385964,0.17543859649122806,0.14035087719298245,0.08771929824561403,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,57.0,95,0.6
31,0.06741573033707865,0.8202247191011236,0.0,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.0,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.07865168539325842,89.0,178,0.5
45,0.5228758169934641,0.0392156862745098,0.026143790849673203,0.10457516339869281,0.08496732026143791,0.013071895424836602,0.013071895424836602,0.026143790849673203,0.0457516339869281,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.0,0.006535947712418301,0.0,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.11764705882352941,153.0,670,0.22835820895522388
59,0.053125,0.871875,0.0125,0.00625,0.003125,0.0,0.0,0.01875,0.0125,0.0,0.0,0.0,0.003125,0.0,0.0,0.0,0.00625,0.003125,0.0,0.003125,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009375,320.0,560,0.5714285714285714
84,0.39603960396039606,0.04455445544554455,0.07425742574257425,0.15346534653465346,0.06930693069306931,0.07425742574257425,0.07425742574257425,0.01485148514851485,0.024752475247524754,0.024752475247524754,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.01485148514851485,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.01485148514851485,202.0,508,0.39763779527559057
93,0.20212765957446807,0.5,0.0851063829787234,0.02127659574468085,0.0851063829787234,0.0425531914893617,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,94.0,291,0.3230240549828179
103,0.2222222222222222,0.4444444444444444,0.06944444444444445,0.041666666666666664,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,72.0,238,0.3025210084033613
120,0.06521739130434782,0.9173913043478261,0.008695652173913044,0.004347826086956522,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,589,0.3904923599320883
134,0.2303370786516854,0.07865168539325842,0.10112359550561797,0.19101123595505617,0.0449438202247191,0.12921348314606743,0.02247191011235955,0.016853932584269662,0.03932584269662921,0.06741573033707865,0.011235955056179775,0.0,0.0056179775280898875,0.02247191011235955,0.0,0.0,0.0,0.0,0.028089887640449437,0.0,0.0056179775280898875,0.0056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,178.0,512,0.34765625
