municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Козлодуй,1652,1291,184,722,841,246,393,212,93.0,61,43,39,33,32,18.0,45,31,24,26,25,20,3,5,13,2,6,4,2,3,0,16115.0,6,06. ВРАЦА,27,6069.0,0.3766056469128142,VRC20
Копривщица,194,162,21,137,73,41,34,28,6.0,25,12,6,5,5,0.0,5,6,5,3,5,2,5,0,3,1,1,0,2,0,0,1852.0,26,26. СОФИЯ област,3,787.0,0.4249460043196544,SFO24
Костенец,918,1200,19,396,360,158,191,59,77.0,38,28,14,19,24,8.0,17,9,18,17,14,16,6,5,8,0,0,0,3,2,0,10082.0,26,26. СОФИЯ област,21,3624.0,0.3594524895853997,SFO25
Костинброд,1279,1832,303,620,551,296,243,91,95.0,262,49,39,38,30,25.0,33,11,23,9,20,21,9,6,3,3,4,3,2,3,0,13745.0,26,26. СОФИЯ област,25,5903.0,0.42946526009457986,SFO26
Котел,509,1598,1026,375,202,96,127,113,36.0,22,52,31,23,29,18.0,36,29,37,25,20,28,11,13,12,5,3,4,8,6,0,18915.0,21,21. СЛИВЕН,30,4494.0,0.23758921490880253,SLV11
Кочериново,223,519,15,228,168,23,36,46,32.0,11,12,7,7,4,12.0,5,2,4,6,2,4,5,2,1,2,1,2,2,1,0,3287.0,10,10. КЮСТЕНДИЛ,16,1382.0,0.4204441740188622,KNL27
Кресна,328,563,5,438,139,150,32,27,15.0,32,10,7,12,7,3.0,11,4,8,5,7,11,3,6,1,2,3,0,0,1,0,4461.0,1,01. БЛАГОЕВГРАД,11,1830.0,0.410221923335575,BLG28
Криводол,531,592,173,386,266,67,84,84,23.0,69,21,19,11,11,36.0,10,8,7,11,12,13,9,3,7,2,3,2,0,1,0,7167.0,6,06. ВРАЦА,21,2461.0,0.34337937770336263,VRC21
Кричим,430,338,302,202,207,48,81,32,20.0,14,16,14,7,7,0.0,5,15,3,5,3,10,2,4,0,0,2,0,1,1,0,7124.0,17,17. ПЛОВДИВ област,10,1769.0,0.2483155530600786,PDV39
Крумовград,397,666,6922,392,289,92,56,18,70.0,8,25,17,22,33,47.0,32,6,17,6,15,17,8,4,7,14,2,4,2,1,0,33836.0,9,09. КЪРДЖАЛИ,88,9189.0,0.27157465421444615,KRZ15
Крушари,69,155,906,86,61,20,18,16,7.0,10,6,4,4,10,29.0,10,11,5,3,2,9,1,1,6,2,1,0,1,0,0,5027.0,8,08. ДОБРИЧ,17,1453.0,0.28903918838273324,DOB20
Кубрат,479,789,3126,407,314,205,131,51,65.0,26,39,24,24,31,38.0,29,14,24,13,17,20,9,3,10,9,14,3,1,0,0,18809.0,18,18. РАЗГРАД,41,5915.0,0.3144771120208411,RAZ16
Куклен,412,469,528,251,127,68,91,32,24.0,14,6,10,9,6,6.0,11,13,6,3,5,13,4,0,0,3,0,1,0,0,0,6280.0,17,17. ПЛОВДИВ област,14,2112.0,0.3363057324840764,PDV42
Кула,180,487,27,178,181,36,26,28,33.0,59,9,15,5,3,19.0,14,6,7,2,5,2,1,3,3,0,1,0,3,0,0,3523.0,5,05. ВИДИН,13,1333.0,0.37837070678399093,VID22
Кърджали,3219,3085,12921,1594,1352,643,485,177,318.0,108,92,78,72,88,75.0,231,53,48,39,64,56,23,13,18,20,11,14,5,8,0,98302.0,9,09. КЪРДЖАЛИ,172,24910.0,0.25340277919065735,KRZ16
Кюстендил,4898,6182,215,2251,1661,648,931,860,279.0,375,127,94,91,98,47.0,58,53,78,57,44,44,24,30,20,13,24,9,13,8,0,66592.0,10,10. КЮСТЕНДИЛ,114,19232.0,0.28880345987506006,KNL29
Левски,1003,1069,501,1048,641,265,214,125,62.0,55,61,38,35,24,5.0,34,29,24,16,21,27,7,8,4,5,12,3,1,4,0,17036.0,15,15. ПЛЕВЕН,35,5341.0,0.31351256163418645,PVN16
Лесичово,215,382,302,260,166,29,49,41,16.0,11,14,13,7,7,14.0,9,7,8,1,6,6,1,2,3,3,2,0,1,2,0,4215.0,13,13. ПАЗАРДЖИК,10,1577.0,0.3741399762752076,PAZ14
Летница,175,222,236,163,100,17,34,15,6.0,15,13,8,4,6,10.0,13,7,4,2,3,10,0,1,0,0,2,1,3,1,0,4087.0,11,11. ЛОВЕЧ,8,1071.0,0.26205040371910937,LOV17
Ловеч,4047,4323,648,2130,1700,641,748,411,205.0,155,98,82,69,90,88.0,76,37,41,38,41,28,32,16,22,6,11,6,11,7,0,42072.0,11,11. ЛОВЕЧ,99,15807.0,0.3757130633200228,LOV18
Лозница,173,606,2280,121,173,150,39,36,41.0,15,10,11,8,17,29.0,12,12,9,5,16,4,1,2,3,3,1,1,0,0,0,10319.0,18,18. РАЗГРАД,25,3778.0,0.3661207481345092,RAZ17
Лом,1711,1187,1357,817,740,265,267,103,73.0,59,49,49,40,43,49.0,35,29,31,24,18,24,13,6,5,7,2,5,5,6,0,24147.0,12,12. МОНТАНА,55,7019.0,0.29067793100592204,MON24
Луковит,647,1194,828,478,519,106,158,92,57.0,38,31,22,31,25,28.0,29,19,27,16,12,12,8,7,4,1,6,5,9,3,0,14501.0,11,11. ЛОВЕЧ,29,4412.0,0.3042548789738639,LOV19
Лъки,146,201,48,130,86,15,22,106,19.0,5,1,3,3,3,7.0,2,2,10,1,1,5,2,0,1,2,0,0,0,1,0,2287.0,17,17. ПЛОВДИВ област,11,822.0,0.3594228246611281,PDV15
Любимец,686,1487,10,435,416,58,105,31,43.0,13,19,11,19,14,32.0,6,15,12,9,9,6,13,9,14,5,2,1,1,1,0,7863.0,29,29. ХАСКОВО,20,3482.0,0.4428335241002162,HKV17
Лясковец,1017,920,94,658,437,170,235,72,45.0,49,30,18,16,23,0.0,14,17,16,7,14,16,11,7,4,1,3,1,1,0,0,10969.0,4,04. ВЕЛИКО ТЪРНОВО,16,3896.0,0.35518278785668705,VTR20
Мадан,596,671,2810,385,433,86,87,61,85.0,11,26,11,24,25,36.0,16,12,5,7,16,6,8,7,5,16,3,1,3,2,0,10295.0,22,22. СМОЛЯН,36,5454.0,0.5297717338513842,SML16
Маджарово,79,128,797,64,48,20,20,16,6.0,5,6,1,1,2,8.0,2,1,1,0,0,3,1,0,0,1,0,0,0,0,0,2992.0,29,29. ХАСКОВО,15,1210.0,0.40441176470588236,HKV18
Макреш,77,124,18,182,45,22,3,16,7.0,6,4,3,1,1,18.0,3,2,2,1,0,0,0,0,0,0,0,1,1,1,0,1047.0,5,05. ВИДИН,8,538.0,0.5138490926456543,VID25
Малко Търново,248,286,22,227,77,35,32,19,15.0,7,11,4,8,2,20.0,3,10,2,2,6,8,5,0,0,2,0,0,0,1,1,2553.0,2,02. БУРГАС,14,1053.0,0.41245593419506466,BGS12
Марица,1889,2308,364,994,1084,279,518,260,136.0,61,86,48,58,52,0.0,49,38,26,21,32,46,11,9,13,5,3,6,2,2,0,25793.0,17,17. ПЛОВДИВ област,40,8400.0,0.3256697553599814,PDV17
Медковец,109,349,207,308,76,26,21,32,6.0,14,13,6,4,1,8.0,9,13,2,1,4,6,3,1,2,1,7,4,1,2,0,2895.0,12,12. МОНТАНА,8,1236.0,0.42694300518134715,MON26
Мездра,1305,2092,527,942,705,175,221,126,96.0,130,51,45,25,26,85.0,28,22,22,17,21,14,11,3,7,8,2,6,7,4,0,17068.0,6,06. ВРАЦА,44,6723.0,0.3938950082024842,VRC27
Мизия,388,426,103,323,246,39,63,63,30.0,32,36,15,17,8,4.0,4,13,9,3,8,8,1,2,2,1,3,3,0,3,0,5686.0,6,06. ВРАЦА,15,1853.0,0.3258881463243053,VRC28
Минерални бани,265,212,2684,112,119,31,40,31,17.0,4,7,6,10,11,12.0,6,8,4,4,7,3,2,3,0,2,0,1,0,1,0,6844.0,29,29. ХАСКОВО,20,3602.0,0.5263004091174751,HKV19
Мирково,161,157,4,93,61,33,28,17,18.0,7,3,4,2,5,14.0,6,2,2,3,2,3,3,2,0,2,0,0,1,1,0,1797.0,26,26. СОФИЯ област,6,634.0,0.3528102392877017,SFO56
Момчилград,242,581,5760,170,317,64,53,26,51.0,6,18,11,23,29,25.0,22,8,11,7,12,12,1,3,8,13,0,0,1,4,0,31088.0,9,09. КЪРДЖАЛИ,65,7478.0,0.24054297478126607,KRZ21
Монтана,4751,3606,2316,2042,2132,601,802,478,239.0,165,78,122,76,83,58.0,55,47,34,62,46,35,33,18,10,9,6,4,5,6,0,45856.0,12,12. МОНТАНА,86,17919.0,0.3907667480809491,MON29
Мъглиж,473,848,299,287,240,73,113,59,22.0,18,50,17,10,13,3.0,13,9,21,2,12,15,4,2,5,7,3,1,0,1,0,9650.0,27,27. СТАРА ЗАГОРА,17,2620.0,0.27150259067357513,SZR22
Невестино,134,209,30,201,63,10,26,52,14.0,14,11,7,1,7,17.0,6,1,1,3,3,3,1,0,1,1,1,2,0,0,0,1633.0,10,10. КЮСТЕНДИЛ,19,819.0,0.5015309246785058,KNL31
Неделино,245,481,258,380,131,140,39,80,18.0,5,15,5,11,7,16.0,10,16,7,1,3,11,7,5,3,4,4,1,0,2,0,5400.0,22,22. СМОЛЯН,22,1905.0,0.3527777777777778,SML18
Несебър,2759,1556,123,701,887,436,600,339,113.0,46,43,25,49,28,15.0,42,68,23,21,35,24,12,4,8,5,8,3,2,3,9,20153.0,2,02. БУРГАС,37,7987.0,0.39631816602987147,BGS15
Никола Козлево,48,1246,458,158,98,19,26,13,20.0,5,19,5,13,19,7.0,10,21,22,15,7,15,4,10,4,1,3,1,4,1,0,6870.0,30,30. ШУМЕН,14,2272.0,0.3307132459970888,SHU21
Николаево,138,190,294,157,86,21,30,17,4.0,10,10,9,8,18,8.0,16,6,9,6,7,8,2,0,3,2,4,0,1,0,0,3671.0,27,27. СТАРА ЗАГОРА,7,1064.0,0.2898392808499047,SZR38
Никопол,331,427,1033,840,175,53,48,101,40.0,7,35,18,19,13,29.0,24,19,9,7,10,13,3,3,3,1,13,3,0,4,0,8008.0,15,15. ПЛЕВЕН,20,3281.0,0.40971528471528473,PVN21
Нова Загора,2186,2814,489,1351,962,376,435,308,107.0,61,65,83,52,39,84.0,42,42,51,33,32,30,26,13,14,6,11,3,3,4,0,32131.0,21,21. СЛИВЕН,63,9722.0,0.3025738383492577,SLV16
Нови пазар,670,768,1014,751,424,212,189,77,59.0,56,43,17,22,36,25.0,20,22,9,14,19,18,8,3,6,7,6,4,0,4,0,16858.0,30,30. ШУМЕН,35,4503.0,0.2671135365998339,SHU22
Ново село,102,352,20,155,134,65,30,32,14.0,10,12,8,6,4,26.0,2,4,4,6,2,4,2,0,0,1,1,0,1,0,0,2129.0,5,05. ВИДИН,9,997.0,0.46829497416627525,VID30
Омуртаг,467,536,5259,306,283,145,76,81,104.0,22,34,17,23,24,51.0,31,20,27,12,24,27,7,4,13,18,5,6,5,6,0,24968.0,28,28. ТЪРГОВИЩЕ,59,7633.0,0.30571131047741107,TGV22
Опака,85,172,1413,126,90,25,25,5,18.0,16,15,6,5,6,7.0,12,4,9,5,4,2,3,1,1,1,2,1,0,2,0,5729.0,28,28. ТЪРГОВИЩЕ,12,2061.0,0.3597486472333741,TGV23
Опан,172,269,95,297,80,24,33,44,12.0,17,3,6,3,1,46.0,4,5,6,14,1,1,3,0,3,1,0,1,2,0,0,2097.0,27,27. СТАРА ЗАГОРА,13,1143.0,0.5450643776824035,SZR23
Оряхово,499,737,442,509,344,84,86,56,46.0,65,30,12,19,19,8.0,15,20,13,10,13,16,4,8,3,4,2,2,4,1,0,9098.0,6,06. ВРАЦА,18,3071.0,0.33754671356342053,VRC31
Павел баня,593,595,1497,415,318,95,128,37,45.0,44,36,14,25,16,22.0,20,19,8,22,18,15,6,2,8,4,5,0,4,2,0,13655.0,27,27. СТАРА ЗАГОРА,24,4013.0,0.29388502380080556,SZR24
Павликени,1156,1344,883,1492,531,205,296,110,114.0,96,44,53,31,19,41.0,99,31,25,19,16,29,13,8,8,9,9,3,3,3,0,19943.0,4,04. ВЕЛИКО ТЪРНОВО,44,6690.0,0.335456049741764,VTR22
Пазарджик,8178,8140,1317,3739,3525,1401,1492,947,467.0,344,194,198,168,114,53.0,140,67,74,104,77,75,54,29,20,16,20,20,12,8,0,99087.0,13,13. ПАЗАРДЖИК,157,30993.0,0.31278573374912955,PAZ19
Панагюрище,1770,2005,118,1036,822,296,319,138,104.0,60,33,42,22,36,5.0,20,26,27,24,25,20,3,7,4,5,5,9,5,4,0,20895.0,13,13. ПАЗАРДЖИК,28,6990.0,0.334529791816224,PAZ20
Перник,7737,9775,404,3255,3198,1440,1557,750,536.0,392,256,222,192,149,19.0,293,100,79,105,107,93,35,35,36,17,18,11,19,15,0,80478.0,14,14. ПЕРНИК,143,30845.0,0.38327244712840774,PER32
Перущица,360,370,37,135,89,58,45,31,18.0,7,6,7,8,7,0.0,4,9,4,7,2,0,1,3,0,1,0,1,0,0,0,4097.0,17,17. ПЛОВДИВ област,7,1210.0,0.2953380522333415,PDV40
Петрич,3994,5715,175,1648,2302,582,484,405,177.0,185,97,68,129,98,42.0,66,66,51,39,52,46,35,14,22,8,11,6,7,6,0,52598.0,1,01. БЛАГОЕВГРАД,94,16530.0,0.3142705045819233,BLG33
Пещера,1089,1001,487,922,433,168,225,184,71.0,187,40,20,19,22,4.0,17,8,11,16,17,16,3,6,6,1,9,3,4,1,0,18363.0,13,13. ПАЗАРДЖИК,27,4990.0,0.2717420900724283,PAZ21
Пирдоп,695,667,124,252,259,106,132,55,56.0,36,17,18,11,10,1.0,7,15,6,4,9,4,1,4,3,1,7,2,4,1,0,6609.0,26,26. СОФИЯ област,14,2507.0,0.3793312150098351,SFO55
Плевен,12752,9569,1009,5742,7048,1842,2107,1346,599.0,672,195,200,200,180,40.0,190,186,89,113,116,60,69,39,29,20,44,20,10,13,0,117304.0,15,15. ПЛЕВЕН,170,44499.0,0.37934767782854806,PVN24
Пловдив,38647,29521,1925,10772,11509,8637,7470,2361,1821.0,1274,500,498,597,453,69.0,387,336,255,261,262,205,126,98,98,42,25,42,39,61,0,299414.0,16,16. ПЛОВДИВ град,481,118291.0,0.3950750465910078,PDV22
Полски Тръмбеш,629,661,941,692,403,98,123,38,48.0,41,35,23,12,13,20.0,63,18,18,14,11,21,8,5,3,3,3,2,1,2,0,11449.0,4,04. ВЕЛИКО ТЪРНОВО,22,3949.0,0.3449209537950913,VTR26
Поморие,1964,1833,1543,688,745,303,449,229,123.0,65,60,31,35,31,29.0,29,61,25,15,20,23,14,8,8,3,1,7,10,4,1,22621.0,2,02. БУРГАС,52,8357.0,0.36943548030591045,BGS17
Попово,1284,1311,672,1479,795,263,259,156,95.0,54,41,35,33,26,34.0,54,28,14,20,27,24,14,4,4,3,11,1,8,2,0,24868.0,28,28. ТЪРГОВИЩЕ,54,6751.0,0.27147337944346145,TGV24
Пордим,203,488,92,389,185,20,50,56,17.0,63,26,11,4,13,4.0,8,18,4,5,5,8,5,2,5,5,3,0,2,0,0,4738.0,15,15. ПЛЕВЕН,10,1691.0,0.35690164626424653,PVN27
Правец,524,596,87,596,203,73,86,56,54.0,19,17,17,26,17,32.0,10,15,13,14,12,16,11,5,6,5,5,2,5,2,0,6189.0,26,26. СОФИЯ област,16,2524.0,0.4078203263855227,SFO34
Приморско,625,688,103,160,274,66,112,46,34.0,26,10,5,13,12,8.0,20,25,9,8,13,10,4,2,5,3,1,0,0,2,1,5311.0,2,02. БУРГАС,9,2285.0,0.43023912634155526,BGS27
Провадия,1016,1473,734,930,622,128,287,158,74.0,116,53,36,25,31,57.0,29,23,37,12,21,21,4,2,12,5,3,4,5,2,0,19127.0,3,03. ВАРНА,47,5920.0,0.30951011658911487,VAR24
Първомай,1382,1581,860,1448,586,222,369,145,87.0,36,65,34,38,28,13.0,37,54,35,14,18,30,11,4,2,6,2,8,3,2,0,22684.0,17,17. ПЛОВДИВ област,40,7120.0,0.3138776229941809,PDV23
Раднево,1649,1075,159,1037,745,140,349,198,103.0,36,46,42,40,32,45.0,31,24,22,20,18,14,10,4,4,6,9,3,3,2,0,15925.0,27,27. СТАРА ЗАГОРА,40,5866.0,0.36835164835164835,SZR27
Радомир,1353,2100,88,740,618,210,199,166,94.0,80,43,31,29,28,65.0,29,13,16,12,26,19,10,8,7,7,9,1,4,1,0,16229.0,14,14. ПЕРНИК,51,6006.0,0.3700782549756609,PER36
Разград,2935,3018,2414,1672,1333,1460,596,214,212.0,144,102,87,51,53,34.0,72,53,40,43,41,44,20,11,8,9,13,4,2,2,0,51539.0,18,18. РАЗГРАД,72,14687.0,0.2849686645064902,RAZ26
Разлог,1837,1834,334,848,1074,972,292,175,98.0,104,61,24,48,43,0.0,45,44,29,22,37,34,25,7,11,11,4,6,1,5,0,17488.0,1,01. БЛАГОЕВГРАД,31,8025.0,0.4588860933211345,BLG37
Ракитово,406,580,1307,630,254,82,118,90,31.0,30,36,19,18,23,0.0,17,17,13,12,9,18,8,2,3,2,2,2,3,2,0,12781.0,13,13. ПАЗАРДЖИК,17,3734.0,0.292152413739144,PAZ24
Раковски,1135,2225,48,661,652,227,354,128,83.0,28,45,34,33,33,10.0,35,41,12,10,29,16,9,4,5,4,12,2,2,2,0,22363.0,17,17. ПЛОВДИВ област,33,5879.0,0.2628895944193534,PDV25
Рила,165,248,11,122,90,32,21,22,22.0,13,8,8,3,5,4.0,7,8,1,3,4,2,0,0,0,0,1,0,0,1,0,2375.0,10,10. КЮСТЕНДИЛ,8,801.0,0.3372631578947368,KNL38
Родопи,2573,2833,549,1116,1051,354,586,223,144.0,75,76,51,61,53,10.0,50,79,20,16,24,22,11,10,8,5,6,4,5,2,0,27759.0,17,17. ПЛОВДИВ област,58,10017.0,0.3608559386145034,PDV26
Роман,269,483,384,319,183,128,44,39,39.0,43,10,17,14,9,45.0,18,8,5,4,5,10,3,1,2,6,1,3,1,0,0,4727.0,6,06. ВРАЦА,18,2093.0,0.44277554474296593,VRC32
Рудозем,653,611,2042,200,349,95,58,39,74.0,16,17,9,26,25,28.0,21,5,6,10,11,11,6,0,9,5,1,4,1,1,0,8471.0,22,22. СМОЛЯН,27,4333.0,0.5115098571597214,SML27
Руен,154,568,11415,236,121,74,64,78,86.0,16,28,17,14,40,3.0,90,18,24,9,21,19,2,3,6,6,2,2,3,2,1,27721.0,2,02. БУРГАС,50,13122.0,0.473359546913892,BGS18
Ружинци,151,585,77,128,125,65,33,38,17.0,5,14,9,8,6,27.0,7,8,9,5,4,5,0,0,3,1,1,3,3,0,0,3118.0,5,05. ВИДИН,13,1337.0,0.4288005131494548,VID33
Русе,17675,10216,1346,5558,6666,2619,3306,1131,747.0,965,266,296,286,221,103.0,177,139,105,131,168,83,69,36,35,33,15,31,19,23,0,144771.0,19,19. РУСЕ,221,52465.0,0.36239992816240824,RSE27
Садово,638,738,71,974,372,94,159,68,67.0,21,54,24,23,22,14.0,20,33,12,15,17,24,5,2,5,1,3,1,10,10,0,12192.0,17,17. ПЛОВДИВ област,22,3497.0,0.2868274278215223,PDV28
Самоков,2657,3401,1506,2460,943,516,402,214,158.0,155,70,68,60,66,79.0,36,53,23,37,27,28,10,14,13,8,7,10,2,5,0,30825.0,26,26. СОФИЯ област,68,13028.0,0.4226439578264396,SFO39
Самуил,47,252,2616,20,61,155,15,18,20.0,3,8,4,4,9,13.0,12,3,5,3,6,3,2,1,2,3,0,1,0,0,0,9082.0,18,18. РАЗГРАД,25,3286.0,0.361814578286721,RAZ29
Сандански,3040,2938,116,1263,1527,759,533,259,142.0,2166,79,46,78,39,48.0,37,52,24,25,36,23,24,8,18,9,11,7,3,3,0,34341.0,1,01. БЛАГОЕВГРАД,70,13313.0,0.38767071430651406,BLG40
Сапарева баня,476,763,28,253,349,42,116,42,28.0,28,24,18,19,17,2.0,31,8,4,9,10,17,1,3,4,3,2,1,1,1,0,5776.0,10,10. КЮСТЕНДИЛ,10,2300.0,0.3981994459833795,KNL41
Сатовча,281,938,3805,376,461,22,39,33,47.0,29,15,4,12,11,3.0,54,2,6,2,9,9,1,1,2,4,2,1,3,2,0,14723.0,1,01. БЛАГОЕВГРАД,27,6174.0,0.41934388371935066,BLG42
Свиленград,2787,1277,93,981,933,214,333,128,84.0,46,53,29,46,40,34.0,35,29,15,18,29,18,18,5,10,6,4,4,4,3,0,18858.0,29,29. ХАСКОВО,45,7276.0,0.3858309470781631,HKV28
Свищов,2759,1806,572,1507,1596,452,537,203,152.0,108,66,69,56,41,33.0,37,38,26,29,35,29,6,11,9,6,9,11,6,11,0,28852.0,4,04. ВЕЛИКО ТЪРНОВО,52,10220.0,0.35422154443366144,VTR28
Своге,1150,1910,1073,663,565,244,291,107,121.0,40,57,48,40,37,56.0,40,25,17,19,20,31,21,9,5,8,3,6,5,5,0,16649.0,26,26. СОФИЯ област,42,6616.0,0.3973812240975434,SFO43
Севлиево,2564,2729,1091,988,1098,322,596,267,148.0,108,66,67,64,56,47.0,46,45,37,35,35,31,19,24,10,0,5,8,5,16,0,30980.0,7,07. ГАБРОВО,72,10527.0,0.3397998708844416,GAB29
Септември,956,1656,990,1008,693,139,210,127,73.0,95,68,59,38,35,5.0,35,31,20,30,23,31,6,1,7,5,8,3,2,2,0,21528.0,13,13. ПАЗАРДЖИК,31,6356.0,0.2952434039390561,PAZ29
Силистра,5306,4339,1070,2159,2088,745,752,280,225.0,165,142,76,87,100,47.0,85,75,68,59,74,42,29,16,17,12,12,8,12,4,0,47466.0,20,20. СИЛИСТРА,96,18094.0,0.3811991741457043,SLS31
Симеоновград,342,915,57,403,222,48,85,27,26.0,12,19,11,13,17,29.0,11,10,23,10,11,18,5,3,8,5,1,3,4,2,0,6909.0,29,29. ХАСКОВО,16,2340.0,0.33868866695614414,HKV29
Симитли,675,5434,97,242,530,88,118,60,57.0,31,17,15,23,17,8.0,12,12,23,5,6,16,5,4,17,1,6,1,0,3,0,12488.0,1,01. БЛАГОЕВГРАД,31,7523.0,0.6024183215887252,BLG44
Ситово,184,255,982,193,117,27,31,23,25.0,7,16,4,5,11,17.0,61,8,2,9,3,8,3,0,6,1,0,0,3,1,0,5091.0,20,20. СИЛИСТРА,14,2002.0,0.3932429778039678,SLS32
Сливен,9660,8349,1025,3914,3646,1498,1769,1338,387.0,293,226,172,161,159,87.0,151,187,180,143,96,108,96,42,43,28,21,26,21,14,0,108752.0,21,21. СЛИВЕН,191,33840.0,0.3111666911872885,SLV20
Сливница,671,834,65,319,295,136,95,63,47.0,34,18,17,24,11,10.0,15,4,5,4,5,4,4,3,4,13,1,1,1,0,0,7359.0,26,26. СОФИЯ област,17,2703.0,0.3673053403995108,SFO45
Сливо поле,395,692,710,321,211,41,109,28,37.0,32,34,11,13,24,7.0,26,9,10,1,8,15,1,4,5,3,2,1,3,2,0,10224.0,19,19. РУСЕ,17,2755.0,0.2694640062597809,RSE33
Смолян,4032,3788,637,1731,1364,528,496,247,258.0,92,83,47,66,60,72.0,42,57,26,29,61,32,24,15,10,10,10,4,6,2,0,33490.0,22,22. СМОЛЯН,92,13829.0,0.4129292326067483,SML31
Смядово,215,520,117,173,150,30,76,22,17.0,24,16,15,15,11,14.0,18,14,12,8,4,6,2,1,5,1,2,1,0,1,0,5464.0,30,30. ШУМЕН,14,1490.0,0.2726939970717423,SHU25
Созопол,1049,900,115,1008,362,178,197,99,52.0,35,40,12,18,15,20.0,14,37,17,31,14,17,13,3,5,5,3,3,4,2,1,10769.0,2,02. БУРГАС,21,4269.0,0.39641563747794595,BGS21
Сопот,989,611,69,459,404,122,151,89,61.0,48,19,21,29,16,0.0,21,18,4,7,6,2,3,0,5,5,2,1,1,0,0,8815.0,17,17. ПЛОВДИВ област,12,3163.0,0.3588201928530913,PDV43
Средец,899,1066,71,639,336,84,149,94,62.0,31,39,29,23,23,63.0,22,80,15,10,4,18,11,7,3,2,3,4,8,3,1,11122.0,2,02. БУРГАС,39,3799.0,0.3415752562488761,BGS06
Стамболийски,1170,1850,17,713,568,191,351,126,74.0,39,47,41,38,29,0.0,37,33,30,23,24,38,13,6,4,8,4,5,6,4,0,16723.0,17,17. ПЛОВДИВ област,26,5489.0,0.3282305806374454,PDV41
Стамболово,148,152,3684,103,93,50,22,45,14.0,3,10,4,3,11,25.0,2,5,6,3,4,5,3,1,2,2,0,1,0,0,0,12489.0,29,29. ХАСКОВО,30,4401.0,0.352390103290896,HKV30
Стара Загора,16853,13218,1213,6212,6399,2906,3773,1697,818.0,482,287,308,230,208,111.0,185,172,169,160,147,82,57,56,55,30,55,24,16,23,0,139078.0,27,27. СТАРА ЗАГОРА,215,55946.0,0.40226347804828944,SZR31
Столична,171414,117734,2840,43747,34548,67835,25476,13183,7798.0,5218,1648,2136,1983,2328,177.0,1705,850,660,1359,981,670,720,790,336,237,185,253,150,213,53,1176216.0,23,23. СОФИЯ 23 ИР,1717,507227.0,0.431236269528726,SOF46
Стражица,423,564,812,1107,325,58,83,32,72.0,25,47,22,29,34,39.0,70,24,12,11,14,31,5,5,3,4,2,4,5,3,0,10965.0,4,04. ВЕЛИКО ТЪРНОВО,24,3865.0,0.35248518011855906,VTR31
Стралджа,418,855,65,682,291,135,126,85,40.0,28,33,56,18,20,72.0,31,20,28,10,17,14,3,8,8,7,2,4,5,2,0,9591.0,31,31. ЯМБОЛ,30,3083.0,0.3214471900740277,JAM22
Стрелча,397,406,232,231,187,33,62,28,27.0,11,10,5,8,6,19.0,9,3,7,11,5,6,2,2,1,2,1,2,0,0,0,4098.0,13,13. ПАЗАРДЖИК,9,1713.0,0.41800878477306,PAZ32
Струмяни,227,386,10,193,143,29,33,53,14.0,64,15,14,5,11,28.0,3,5,8,2,11,3,2,0,4,1,2,0,1,0,0,4201.0,1,01. БЛАГОЕВГРАД,17,1267.0,0.30159485836705546,BLG49
Суворово,378,995,239,227,230,43,110,37,31.0,91,23,14,11,13,23.0,12,15,9,5,10,17,5,2,7,1,2,2,2,3,0,6578.0,3,03. ВАРНА,15,2557.0,0.3887199756764974,VAR26
Сунгурларе,401,526,1579,357,192,50,81,111,27.0,24,23,16,8,12,59.0,19,16,5,6,10,13,7,5,4,9,0,2,5,5,4,10396.0,2,02. БУРГАС,31,3576.0,0.3439784532512505,BGS23
Сухиндол,116,118,163,169,82,18,26,10,8.0,8,14,4,8,2,25.0,8,4,1,2,2,3,0,0,0,0,0,0,0,1,0,2024.0,4,04. ВЕЛИКО ТЪРНОВО,10,792.0,0.391304347826087,VTR32
Съединение,617,785,12,394,421,61,119,204,39.0,28,29,15,15,15,28.0,19,12,22,7,11,14,8,6,2,0,5,0,4,2,0,7696.0,17,17. ПЛОВДИВ област,19,2894.0,0.376039501039501,PDV33
Сърница,37,134,2019,120,42,24,2,11,12.0,0,2,1,2,5,1.0,7,3,1,2,3,2,0,0,1,0,0,0,0,1,0,4165.0,13,13. ПАЗАРДЖИК,7,2432.0,0.5839135654261705,PAZ39
Твърдица,591,675,332,367,305,88,122,74,33.0,20,31,22,17,16,4.0,20,17,33,12,16,19,9,3,9,2,6,2,3,1,0,11738.0,21,21. СЛИВЕН,20,2849.0,0.2427159652410973,SLV24
Тервел,464,1071,1511,417,249,65,122,47,48.0,61,43,25,22,32,15.0,35,10,43,13,21,13,7,10,14,9,1,4,2,4,0,20232.0,8,08. ДОБРИЧ,32,4378.0,0.21638987742190588,DOB27
