municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Бяла (Русе),927,1213,286,456,445,104,172,81,62.0,36,31,28,20,27,33.0,31,24,32,16,14,18,6,4,7,6,3,2,1,1,0,11050.0,19,19. РУСЕ,27,4086.0,0.3697737556561086,RSE04
Бяла Слатина,1347,3194,990,746,754,207,224,415,127.0,58,56,52,31,52,41.0,80,47,47,29,28,33,10,13,16,9,5,2,8,8,0,20645.0,6,06. ВРАЦА,48,8629.0,0.41797045289416324,VRC08
Варна,39150,29938,2760,9511,12913,8387,8822,3007,1873.0,1316,367,476,398,467,60.0,360,373,545,229,260,141,145,122,66,53,54,66,30,44,0,293649.0,3,03. ВАРНА,416,121933.0,0.415233833590443,VAR06
Велики Преслав,694,814,507,395,333,88,105,60,45.0,28,23,14,16,12,20.0,26,11,36,11,10,5,9,3,10,2,3,3,1,4,0,12364.0,30,30. ШУМЕН,23,3288.0,0.2659333549013264,SHU23
Велико Търново,8780,6781,1675,3182,3155,1921,2035,550,455.0,433,133,133,105,130,54.0,92,91,46,79,53,56,32,30,22,38,14,4,8,4,0,72047.0,4,04. ВЕЛИКО ТЪРНОВО,145,30091.0,0.41765791774813665,VTR04
Велинград,2070,4019,2008,1028,759,444,424,278,107.0,56,42,31,48,39,29.0,26,35,29,16,12,23,15,4,10,6,1,4,3,4,0,30433.0,13,13. ПАЗАРДЖИК,52,11570.0,0.38017941050832976,PAZ08
Венец,29,801,2012,64,90,10,16,12,22.0,6,9,5,13,12,10.0,16,7,18,7,5,12,3,0,7,6,1,3,2,2,0,10270.0,30,30. ШУМЕН,17,3200.0,0.31158714703018503,SHU07
Ветово,245,242,2473,182,227,32,90,24,39.0,25,18,14,11,13,10.0,14,13,9,5,10,10,5,4,5,2,2,2,1,1,0,12342.0,19,19. РУСЕ,23,3728.0,0.30205801328795984,RSE05
Ветрино,240,608,345,226,174,22,104,26,30.0,7,18,17,9,10,11.0,11,14,10,4,8,10,2,4,1,1,6,1,3,2,0,4716.0,3,03. ВАРНА,13,1924.0,0.4079728583545377,VAR08
Видин,4052,4388,577,2328,2214,980,717,628,268.0,83,121,123,75,73,59.0,166,52,36,31,51,55,17,12,9,8,10,12,7,7,0,57342.0,5,05. ВИДИН,129,17159.0,0.299239649820376,VID09
