id,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,ВОЛЯ И НФСБ,ВЪЗР,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,БСДД,ПРЯКА ДЕМОКРАЦИЯ,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,невалидни,total_valid,total,eligible_voters,n_stations
21840,115,17,29,119,0,5,1,0,7,2,2,11,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,20,313.0,333.0,520,1
21868,52,16,9,103,0,0,2,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,197.0,197.0,313,1
21871,139,80,78,3,4,2,1,15,25,0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,5,357.0,362.0,1012,2
21912,1216,316,291,332,38,68,123,26,40,41,12,7,6,10,2,3,7,1,19,0,0,6,0,3,3,0,0,1,0,0,1,0.0,108,2572.0,2680.0,5872,8
21926,106,4,1,91,1,0,0,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,14,213.0,227.0,479,1
21957,19,10,47,3,0,5,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,92.0,95.0,188,1
21960,88,1,1,94,0,3,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11,193.0,204.0,459,1
21974,41,10,51,1,7,6,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,121.0,125.0,218,1
21988,72,23,35,0,8,10,1,10,9,5,2,0,3,1,2,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,2,187.0,189.0,293,1
22006,1661,302,257,3,51,67,21,39,13,26,32,44,14,11,5,3,1,2,9,4,1,2,1,5,9,1,3,5,2,2,0,0.0,104,2596.0,2700.0,3834,8
22019,51,3,8,2,1,0,2,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,74.0,74.0,88,1
22023,36,14,37,17,3,1,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4,119.0,123.0,167,1
22040,53,22,21,14,0,4,3,2,3,1,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,1,130.0,131.0,172,1
22068,184,51,48,0,8,3,7,2,2,1,1,3,2,1,1,2,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0.0,9,321.0,330.0,520,1
22071,27,1,11,1,2,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,51.0,51.0,124,1
22085,96,18,32,4,1,2,1,3,2,2,2,1,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2,174.0,176.0,298,1
22109,6,4,31,18,0,0,0,1,1,0,1,9,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,76.0,81.0,224,1
22112,7,6,15,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,35.0,36.0,41,1
22126,62,37,36,60,5,2,3,6,20,2,0,1,2,2,2,0,0,0,0,0,1,5,1,1,0,0,0,0,0,1,0,0.0,8,249.0,257.0,403,1
22134,4,0,6,60,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,75.0,81.0,237,1
22143,27,6,27,0,0,4,1,1,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,8,76.0,84.0,146,1
