person,personLabel,personDescription,dateOfBirth,placeOfBirth,placeOfBirthLabel,placeOfBirthLocation,dateOfDeath,placeOfDeath,placeOfDeathLabel,placeOfDeathLocation
http://www.wikidata.org/entity/Q6097084,Джахит Учук,,1909-08-17,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2004-11-07,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6091963,Рахми Арслан,Турски политик,1874-06-28,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1947-07-07,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6089910,Q6089910,,1880-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1956-01-01,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6086030,Муазез Тахсин Берканд,,1900-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1984-10-04,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6085977,Q6085977,,1908-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1993-08-15,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6083260,Q6083260,,1912-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1978-01-01,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6082279,Q6082279,,1916-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1982-11-01,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6077490,Исак Бенруби,,1876-05-24,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1943-10-19,http://www.wikidata.org/entity/Q71,Женева,Point(6.15 46.2)
http://www.wikidata.org/entity/Q6075572,Q6075572,,1908-04-10,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1993-05-26,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6075453,Q6075453,,1913-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1989-05-16,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6071106,Есат Сагай,турски военен и политик,1874-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1938-05-22,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6067783,Мидхад Шюкрю Бледа,,1874-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1956-02-19,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6066149,Q6066149,,1874-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1925-12-15,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6065347,Q6065347,,1911-05-19,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2003-07-04,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6062435,Q6062435,,1891-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1971-02-16,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6060362,Q6060362,,1901-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1966-12-20,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6056954,Q6056954,,1898-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1972-05-27,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6050676,Q6050676,,1851-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1917-01-01,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6048230,Q6048230,,1886-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1976-01-01,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6042415,Q6042415,,1887-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1945-03-05,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
