municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Суворово,554,1239,301,100,325,119,194,79,12,27.0,11,6,14.0,6,5,1,9,8,4,1,8,0,3,3,3,0.0,6563.0,3,03. ВАРНА,14,3032.0,0.46198384884961147,VAR26
Сунгурларе,530,904,568,77,1653,118,46,49,14,20.0,19,7,51.0,12,10,2,7,7,6,3,8,1,1,4,1,0.0,10377.0,2,02. БУРГАС,30,4118.0,0.3968391635347403,BGS23
Сухиндол,187,158,282,31,63,30,20,13,11,8.0,6,4,12.0,3,0,2,3,3,3,0,2,1,1,2,0,0.0,2051.0,4,04. ВЕЛИКО ТЪРНОВО,10,845.0,0.41199414919551436,VTR32
Съединение,921,866,522,165,23,157,103,108,77,22.0,22,17,24.0,9,0,9,4,3,9,7,2,9,1,3,6,0.0,7983.0,17,17. ПЛОВДИВ област,19,3089.0,0.38694726293373416,PDV33
Сърница,76,165,154,21,2049,8,3,0,32,8.0,3,0,3.0,0,0,0,3,2,0,2,0,0,1,0,0,0.0,4285.0,13,13. ПАЗАРДЖИК,7,2530.0,0.5904317386231038,PAZ39
Твърдица,734,1079,678,175,324,217,120,68,67,42.0,23,5,6.0,6,1,3,7,11,9,4,10,2,9,5,0,0.0,11728.0,21,21. СЛИВЕН,19,3605.0,0.3073840381991814,SLV24
Тервел,681,2045,584,163,1704,112,81,70,31,48.0,29,11,17.0,3,4,7,9,11,13,7,12,2,6,4,0,0.0,20268.0,8,08. ДОБРИЧ,32,5654.0,0.27896191040063156,DOB27
Тетевен,1617,2072,1169,386,844,314,202,117,117,58.0,47,9,14.0,34,5,8,8,6,15,4,8,6,6,5,13,0.0,16890.0,11,11. ЛОВЕЧ,37,7084.0,0.41941977501480165,LOV33
Тополовград,942,930,786,174,400,174,57,75,15,33.0,28,10,36.0,12,0,4,12,11,9,3,1,4,4,4,0,0.0,8702.0,29,29. ХАСКОВО,24,3724.0,0.4279475982532751,HKV32
Трекляно,29,75,159,4,16,13,25,0,2,2.0,0,1,13.0,2,0,0,0,0,0,0,0,1,0,0,0,0.0,450.0,10,10. КЮСТЕНДИЛ,9,342.0,0.76,KNL50
Троян,2877,3045,1809,1081,336,673,420,478,236,146.0,63,33,41.0,23,28,20,25,11,23,11,9,11,17,10,9,0.0,27387.0,11,11. ЛОВЕЧ,62,11435.0,0.41753386643297913,LOV34
Трън,269,604,389,52,27,70,92,19,25,32.0,11,8,26.0,8,12,1,2,0,3,0,1,4,6,4,0,0.0,3339.0,14,14. ПЕРНИК,22,1665.0,0.49865229110512127,PER51
Трявна,1082,874,559,315,48,291,182,181,72,51.0,22,10,5.0,9,7,3,10,5,4,3,1,8,7,4,0,0.0,9964.0,7,07. ГАБРОВО,20,3753.0,0.3766559614612605,GAB35
Тунджа,1484,1798,2488,322,122,611,271,202,90,51.0,87,17,75.0,32,18,4,36,15,15,10,18,6,22,8,0,0.0,18082.0,31,31. ЯМБОЛ,54,7802.0,0.4314788187147439,JAM25
Тутракан,1272,1060,841,225,2037,185,179,132,39,48.0,42,20,14.0,6,0,3,17,9,6,8,7,5,1,8,9,0.0,14304.0,20,20. СИЛИСТРА,28,6173.0,0.4315576062639821,SLS34
Търговище,3798,4672,2721,1106,5408,662,468,390,264,216.0,91,41,65.0,59,17,13,32,29,25,26,29,15,33,15,0,0.0,56359.0,28,28. ТЪРГОВИЩЕ,105,20195.0,0.3583278624532018,TGV35
Угърчин,333,598,374,102,69,103,32,25,23,24.0,7,3,24.0,1,3,5,6,6,5,1,5,3,1,2,4,0.0,4849.0,11,11. ЛОВЕЧ,14,1759.0,0.3627552072592287,LOV36
Хаджидимово,739,976,566,130,721,169,76,41,52,32.0,11,5,8.0,6,36,3,4,4,3,4,4,0,4,22,2,0.0,8675.0,1,01. БЛАГОЕВГРАД,19,3618.0,0.41706051873198846,BLG52
Хайредин,305,268,263,58,368,330,35,15,26,12.0,8,6,3.0,2,1,0,4,2,1,2,5,1,4,1,0,0.0,3755.0,6,06. ВРАЦА,12,1720.0,0.4580559254327563,VRC35
Харманли,2305,2186,1474,410,654,331,134,277,179,72.0,43,16,53.0,21,6,9,9,19,19,9,8,6,23,8,0,0.0,21651.0,29,29. ХАСКОВО,45,8271.0,0.38201468754330054,HKV33
Хасково,8315,8316,4125,3030,5137,1955,615,957,482,323.0,140,136,58.0,41,56,31,59,39,53,40,26,28,49,25,0,0.0,87910.0,29,29. ХАСКОВО,154,34036.0,0.3871686952565123,HKV34
Хисаря,1244,940,968,360,112,277,176,169,120,48.0,18,16,39.0,4,10,6,13,7,9,3,1,1,10,5,4,0.0,10399.0,17,17. ПЛОВДИВ област,24,4560.0,0.4385037022790653,PDV37
Хитрино,138,293,104,1133,862,25,109,9,10,25.0,6,5,13.0,25,0,1,3,7,6,0,8,3,8,6,0,0.0,9869.0,30,30. ШУМЕН,21,2799.0,0.28361536123214104,SHU11
Цар Калоян,123,211,124,112,1558,42,20,2,3,23.0,5,3,5.0,5,0,1,2,0,3,2,1,0,4,2,0,0.0,6182.0,18,18. РАЗГРАД,11,2251.0,0.36412164348107406,RAZ36
Царево,976,1254,519,631,137,202,82,92,68,52.0,7,16,25.0,14,6,3,7,4,4,4,4,4,3,6,2,0.0,7908.0,2,02. БУРГАС,20,4122.0,0.5212443095599393,BGS13
Ценово,390,972,502,45,45,119,63,30,16,18.0,12,3,11.0,3,3,0,5,6,7,4,6,1,14,5,0,0.0,4603.0,19,19. РУСЕ,11,2280.0,0.49532913317401694,RSE37
Чавдар,99,65,112,17,10,22,34,9,3,8.0,11,3,0.0,4,4,1,2,3,1,0,0,1,1,1,0,0.0,1028.0,26,26. СОФИЯ област,2,411.0,0.39980544747081714,SFO57
Челопеч,132,178,134,31,15,78,20,15,8,8.0,2,5,0.0,1,1,1,3,0,1,1,1,1,2,2,0,0.0,1242.0,26,26. СОФИЯ област,3,640.0,0.5152979066022544,SFO58
Чепеларе,600,677,395,201,254,190,36,51,28,29.0,44,5,4.0,46,6,3,4,4,5,2,2,2,5,0,0,0.0,5945.0,22,22. СМОЛЯН,16,2593.0,0.43616484440706477,SML38
Червен бряг,2592,2104,1607,473,789,393,231,170,94,66.0,44,24,1.0,13,9,7,25,17,15,10,12,5,7,15,14,0.0,24776.0,15,15. ПЛЕВЕН,40,8737.0,0.35263965127542785,PVN37
Черноочене,103,442,99,27,3995,20,2,7,10,24.0,8,7,30.0,22,0,2,1,3,1,5,4,0,2,4,0,0.0,12422.0,9,09. КЪРДЖАЛИ,40,4818.0,0.3878602479471905,KRZ35
Чипровци,371,660,337,79,57,104,24,49,36,30.0,19,7,27.0,3,0,8,2,3,5,5,3,3,1,3,1,0.0,3156.0,12,12. МОНТАНА,13,1837.0,0.5820659062103929,MON36
Чирпан,1491,1644,1219,364,527,255,298,205,77,57.0,39,41,38.0,56,14,5,12,15,13,7,7,8,3,3,7,0.0,17674.0,27,27. СТАРА ЗАГОРА,38,6405.0,0.36239674097544416,SZR36
Чупрене,123,209,152,48,68,23,11,3,7,12.0,2,5,17.0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,1425.0,5,05. ВИДИН,10,682.0,0.4785964912280702,VID37
Шабла,432,455,360,188,13,96,84,48,39,27.0,7,14,13.0,0,5,4,9,4,4,2,0,3,3,1,0,0.0,4049.0,8,08. ДОБРИЧ,16,1811.0,0.4472709310940973,DOB29
Шумен,9033,7061,4466,2555,2059,1644,1459,988,498,380.0,153,161,37.0,115,74,65,42,33,58,42,36,22,26,13,0,0.0,86458.0,30,30. ШУМЕН,129,31020.0,0.358786925443568,SHU30
Ябланица,458,506,289,95,178,126,46,31,20,3.0,6,0,6.0,8,1,0,5,5,5,0,3,0,3,2,5,0.0,4625.0,11,11. ЛОВЕЧ,11,1801.0,0.3894054054054054,LOV38
Якимово,289,277,223,25,317,52,47,5,4,19.0,9,0,8.0,4,3,1,2,0,0,4,0,1,1,0,0,0.0,2814.0,12,12. МОНТАНА,9,1291.0,0.4587775408670931,MON38
Якоруда,287,527,168,70,2769,43,39,16,26,26.0,12,2,12.0,5,0,0,1,5,2,1,6,0,3,2,2,0.0,8207.0,1,01. БЛАГОЕВГРАД,17,4024.0,0.49031314731326914,BLG53
Ямбол,6304,5037,4209,2381,289,1432,1016,921,324,325.0,173,120,11.0,96,58,25,34,41,28,29,22,23,67,28,0,0.0,65180.0,31,31. ЯМБОЛ,105,22993.0,0.35276158330776314,JAM26
