municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Лясковец,1271,1090,828,437,80,186,135,194,71,55.0,11,15,0.0,5,12,7,6,9,11,3,4,2,4,4,0,0.0,11065.0,4,04. ВЕЛИКО ТЪРНОВО,16,4440.0,0.40126525079078174,VTR20
Мадан,1016,650,381,207,3090,142,13,32,17,81.0,7,0,26.0,2,0,3,8,5,4,6,7,0,7,2,0,0.0,10066.0,22,22. СМОЛЯН,36,5706.0,0.5668587323663818,SML16
Маджарово,93,147,86,31,775,27,3,10,6,5.0,3,4,12.0,0,0,0,1,2,1,2,0,0,3,0,0,0.0,3081.0,29,29. ХАСКОВО,15,1211.0,0.39305420318078543,HKV18
Макреш,120,165,213,37,14,21,6,5,3,5.0,3,2,11.0,13,2,1,0,1,0,1,0,1,1,3,0,0.0,1096.0,5,05. ВИДИН,8,628.0,0.572992700729927,VID25
Малко Търново,205,345,276,68,26,64,43,22,11,16.0,4,4,29.0,1,2,3,1,0,1,2,1,0,0,5,1,0.0,2597.0,2,02. БУРГАС,14,1130.0,0.43511744320369655,BGS12
Марица,2831,2575,1383,639,363,601,182,292,192,141.0,49,47,0.0,16,10,9,23,10,19,12,7,4,8,11,9,0.0,25725.0,17,17. ПЛОВДИВ област,40,9433.0,0.3666861030126336,PDV17
Медковец,168,489,453,25,123,43,18,19,71,10.0,7,3,12.0,0,0,0,5,4,5,0,3,1,8,5,1,0.0,3045.0,12,12. МОНТАНА,8,1473.0,0.483743842364532,MON26
Мездра,1845,2350,1364,381,481,287,223,136,295,74.0,53,18,41.0,13,8,3,25,13,12,13,16,6,10,2,0,0.0,16804.0,6,06. ВРАЦА,42,7669.0,0.45637943346822185,VRC27
Мизия,785,495,495,70,10,109,57,32,119,35.0,17,5,5.0,6,5,1,13,3,7,3,3,1,4,5,0,0.0,5240.0,6,06. ВРАЦА,15,2285.0,0.4360687022900763,VRC28
Минерални бани,254,277,178,53,2847,83,15,29,13,15.0,10,5,15.0,0,0,0,6,3,5,1,3,1,3,0,0,0.0,6918.0,29,29. ХАСКОВО,21,3816.0,0.5516045099739809,HKV19
Мирково,161,156,133,52,4,39,18,9,20,9.0,3,3,11.0,3,57,2,1,4,1,1,10,3,0,1,0,0.0,1815.0,26,26. СОФИЯ област,6,701.0,0.3862258953168044,SFO56
Момчилград,576,833,199,164,6404,74,12,13,23,43.0,17,6,43.0,10,0,2,4,14,8,5,7,0,9,7,0,0.0,31084.0,9,09. КЪРДЖАЛИ,63,8473.0,0.27258396602753826,KRZ21
Монтана,5806,4315,2790,1424,2011,1304,523,495,430,246.0,131,63,56.0,34,19,25,34,28,62,22,26,21,18,17,16,0.0,45585.0,12,12. МОНТАНА,84,19916.0,0.43689810244598004,MON29
Мъглиж,661,1123,425,177,247,152,84,44,39,18.0,19,5,5.0,10,4,1,15,13,8,6,1,4,5,4,10,0.0,9643.0,27,27. СТАРА ЗАГОРА,16,3080.0,0.3194026755159183,SZR22
Невестино,133,235,286,13,36,89,37,6,7,11.0,5,3,12.0,0,1,2,3,0,1,2,1,0,5,0,0,0.0,1706.0,10,10. КЮСТЕНДИЛ,19,888.0,0.5205158264947245,KNL31
