id,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,невалидни,total_valid,total,eligible_voters,n_stations
360,4,0,0,1,6,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,13.0,14.0,20.0,1
374,1,3,5,3,38,0,3,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,56.0,57.0,99.0,1
391,47,17,1,4,17,4,7,1,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,5.0,104.0,109.0,152.0,1
401,222,40,96,21,27,5,4,6,5.0,1,0,1,0,2,0,0,2,3,0,0,1,0,0,0,0,1,1,1,0,0.0,0.0,439.0,439.0,877.0,2
415,276,99,7,33,84,24,22,28,23.0,4,1,1,0,3,1,1,0,0,1,1,0,0,0,0,3,0,2,1,0,0.0,3.0,615.0,618.0,1338.0,5
429,2,1,50,1,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,57.0,57.0,295.0,1
432,10,0,48,1,4,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,66.0,67.0,243.0,1
446,1,1,259,1,1,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,267.0,267.0,500.0,1
480,31,47,57,17,57,1,16,12,15.0,3,4,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,269.0,269.0,967.0,2
494,3,3,4,1,2,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.0,14.0,27.0,1
504,75,97,63,49,38,25,21,9,8.0,3,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,397.0,397.0,1241.0,2
518,80,34,202,16,62,6,12,24,18.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2.0,460.0,462.0,1382.0,4
549,80,32,17,32,35,9,15,13,12.0,2,5,2,0,0,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,262.0,262.0,807.0,1
552,37,6,10,8,14,0,0,2,1.0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,85.0,88.0,173.0,1
566,10,5,2,1,2,1,20,1,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,47.0,47.0,505.0,1
571,17,1,114,4,7,1,4,1,0.0,2,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1,0,0,1,0.0,0.0,160.0,160.0,352.0,1
583,70,42,1,13,21,13,6,0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,170.0,171.0,263.0,1
597,23,26,9,10,12,1,4,4,4.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,7.0,98.0,105.0,286.0,1
607,155,105,1606,19,54,15,40,10,19.0,3,2,0,1,0,0,0,5,2,2,1,2,1,3,1,2,0,1,0,1,0.0,1.0,2050.0,2051.0,7877.0,13
624,21,4,1,4,1,1,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,35.0,35.0,49.0,1
638,36,20,1,6,4,0,1,0,2.0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,74.0,77.0,100.0,1
655,56,10,1,5,19,2,1,4,1.0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.0,107.0,108.0,108.0,1
672,83,41,357,36,32,91,23,6,10.0,3,5,4,4,4,2,1,4,3,1,0,4,2,3,4,4,1,3,0,2,0.0,0.0,733.0,733.0,2134.0,3
697,26,21,151,14,6,1,1,1,1.0,0,0,0,0,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0.0,0.0,229.0,229.0,641.0,1
702,4588,2989,2518,1484,1943,761,729,597,514.0,100,55,44,36,51,28,28,28,27,25,16,10,21,26,30,25,11,8,10,6,0.0,3.0,16708.0,16711.0,45812.0,76
713,69,38,1,29,14,3,2,3,5.0,8,2,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0.0,0.0,183.0,183.0,476.0,1
730,15,3,53,3,4,0,4,3,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,93.0,93.0,587.0,1
744,23,6,1,6,21,3,1,3,4.0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,3.0,75.0,78.0,162.0,1
758,4,4,3,1,16,2,2,1,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,38.0,39.0,78.0,1
761,40,24,37,8,69,2,3,5,1.0,0,2,1,0,2,0,1,5,3,0,0,0,1,0,0,1,0,1,2,0,0.0,0.0,208.0,208.0,1284.0,2
775,11,13,0,5,34,1,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0,4.0,71.0,75.0,106.0,1
789,125,15,0,18,36,6,6,3,1.0,3,1,1,2,0,1,0,0,2,1,0,0,0,0,0,2,0,1,0,1,2.0,0.0,227.0,227.0,462.0,1
792,62,9,75,8,18,8,5,3,3.0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,197.0,197.0,370.0,1
802,22,17,9,3,5,2,23,5,2.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,91.0,91.0,462.0,1
816,39,4,3,1,10,1,0,3,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,64.0,69.0,147.0,1
828,4,1,98,0,2,1,0,4,0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,115.0,115.0,347.0,1
833,224,111,11,138,35,16,20,32,25.0,2,1,2,4,2,1,1,1,1,0,1,0,1,0,7,3,0,2,1,0,0.0,0.0,642.0,642.0,1803.0,4
847,29,13,0,2,55,1,2,2,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0.0,9.0,111.0,120.0,214.0,1
850,48,15,55,3,7,1,2,3,0.0,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.0,149.0,149.0,375.0,1
864,4,1,48,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,56.0,57.0,169.0,1
878,123,101,2,35,34,17,12,14,12.0,1,0,0,0,2,0,0,1,0,2,0,0,1,1,2,3,0,0,0,0,0.0,0.0,363.0,363.0,1019.0,2
881,111,1,12,1,2,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,130.0,130.0,296.0,1
895,468,458,67,253,176,50,73,105,60.0,18,9,12,10,13,6,3,2,3,4,4,3,10,5,1,7,1,2,1,2,0.0,19.0,1826.0,1845.0,5483.0,11
905,27,7,27,0,2,2,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,67.0,69.0,95.0,1
919,65,28,3,18,62,6,4,4,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,195.0,195.0,455.0,2
2021,9,3,8,4,3,0,27,1,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,57.0,59.0,105.0,1
2035,7,11,0,2,9,0,1,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,2.0,36.0,38.0,48.0,1
2049,32,20,1,6,14,2,10,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,89.0,91.0,163.0,1
2052,8,8,2,3,14,1,3,0,1.0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,44.0,47.0,79.0,1
2083,41,29,1,13,30,8,6,9,7.0,1,2,0,0,2,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,155.0,155.0,351.0,1
