id,ЗАЕДНО,СВОБОДА,БНС,БСП,ГЕРБ-СДС,АТАКА,ДПС,МУТРИ ВЪН!,МИР,БТР,ВЪЗР,ПОДЕМ,БРИГАДА,ПРЯКА ДЕМОКРАЦИЯ,БЪЛГАРСКО ЛЯТО,"ВМРО, ВОЛЯ И НФСБ",ЛЯВ СЪЮЗ,Партия на ЗЕЛЕНИТЕ,НОД,ГЛАС НАРОДЕН,РЕПУБЛИКАНЦИ ЗА БГ,ИТН,ДБ,независими,не подкрепям никого,total,eligible_voters,активност
14,0.0010482180293501049,0.0010482180293501049,0.0,0.03773584905660377,0.13626834381551362,0.0,0.4769392033542977,0.07547169811320754,0.0,0.0,0.0010482180293501049,0.0010482180293501049,0.020964360587002098,0.0010482180293501049,0.005241090146750524,0.041928721174004195,0.0,0.0,0.0010482180293501049,0.0,0.0,0.16352201257861634,0.03039832285115304,0.0,0.005241090146750524,954.0,2307.0,0.4135240572171652
28,0.0,0.0,0.0,0.2923076923076923,0.27692307692307694,0.015384615384615385,0.046153846153846156,0.06153846153846154,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.07692307692307693,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.0,0.06153846153846154,0.07692307692307693,0.0,0.015384615384615385,65.0,88.0,0.7386363636363636
31,0.0,0.0125,0.0125,0.05,0.0875,0.0,0.725,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,80.0,192.0,0.4166666666666667
45,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876,0.21011673151750973,0.377431906614786,0.011673151750972763,0.05058365758754864,0.042801556420233464,0.0,0.0,0.023346303501945526,0.0,0.0038910505836575876,0.011673151750972763,0.0,0.019455252918287938,0.0,0.0,0.0,0.0,0.0038910505836575876,0.19844357976653695,0.03501945525291829,0.0,0.0,257.0,667.0,0.3853073463268366
59,0.0045871559633027525,0.0,0.0,0.009174311926605505,0.10550458715596331,0.0,0.7798165137614679,0.0045871559633027525,0.009174311926605505,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.05963302752293578,0.009174311926605505,0.0,0.009174311926605505,218.0,573.0,0.38045375218150085
84,0.0037593984962406013,0.0,0.0037593984962406013,0.14661654135338345,0.45864661654135336,0.011278195488721804,0.0037593984962406013,0.03759398496240601,0.0,0.0037593984962406013,0.007518796992481203,0.0,0.0,0.0,0.0037593984962406013,0.015037593984962405,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.007518796992481203,0.23684210526315788,0.041353383458646614,0.0,0.011278195488721804,266.0,517.0,0.5145067698259188
93,0.0,0.0,0.0,0.13815789473684212,0.2236842105263158,0.0,0.375,0.019736842105263157,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.019736842105263157,0.1513157894736842,0.03289473684210526,0.0,0.02631578947368421,152.0,304.0,0.5
103,0.0,0.010101010101010102,0.0,0.12121212121212122,0.23232323232323232,0.010101010101010102,0.35353535353535354,0.04040404040404041,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.020202020202020204,0.0,0.010101010101010102,99.0,253.0,0.391304347826087
120,0.0,0.0037593984962406013,0.0037593984962406013,0.007518796992481203,0.17293233082706766,0.0,0.7406015037593985,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.03007518796992481,0.011278195488721804,0.0,0.018796992481203006,266.0,944.0,0.2817796610169492
134,0.0,0.0,0.0076045627376425855,0.08365019011406843,0.23954372623574144,0.0038022813688212928,0.07604562737642585,0.03802281368821293,0.0,0.0038022813688212928,0.04182509505703422,0.0,0.0038022813688212928,0.0,0.019011406844106463,0.0038022813688212928,0.0038022813688212928,0.0,0.0,0.0,0.0,0.2661596958174905,0.19391634980988592,0.0,0.015209125475285171,263.0,636.0,0.41352201257861637
