id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total_valid,total,eligible_voters,n_stations
597,28.0,43.0,4.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,93.0,97.0,277,1
607,141.0,1437.0,60.0,38.0,34.0,13.0,8.0,27.0,12.0,4.0,2.0,3.0,6.0,2.0,0.0,0.0,9.0,0.0,2.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,28,1812.0,1840.0,4373,13
624,12.0,0.0,2.0,7.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33.0,34.0,49,1
638,42.0,1.0,13.0,8.0,8.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,85.0,91.0,104,1
655,46.0,0.0,3.0,12.0,8.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,79.0,84.0,84,1
672,60.0,442.0,41.0,31.0,18.0,16.0,22.0,22.0,16.0,1.0,14.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70,705.0,775.0,2114,3
697,20.0,152.0,1.0,19.0,3.0,10.0,2.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223.0,227.0,421,1
702,3061.0,2143.0,1461.0,1785.0,947.0,687.0,563.0,380.0,343.0,226.0,156.0,143.0,105.0,107.0,54.0,21.0,286.0,64.0,42.0,20.0,13.0,27.0,55.0,7.0,14.0,12.0,12.0,11.0,9.0,13.0,3.0,5.0,360,12775.0,13135.0,43285,78
713,47.0,0.0,10.0,17.0,10.0,17.0,3.0,7.0,7.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5,138.0,143.0,460,1
730,21.0,115.0,2.0,8.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,163.0,178.0,606,1
