municipality_name,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,невалидни,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Грамада,87.0,69.0,301.0,40.0,60.0,30.0,10.0,17.0,17.0,27,5.0,6.0,1.0,2.0,9.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1314,5,05. ВИДИН,9,697.0,0.530441400304414,VID15
Гулянци,536.0,330.0,160.0,323.0,231.0,147.0,116.0,79.0,57.0,109,11.0,17.0,253.0,23.0,20.0,13.0,4.0,10.0,2.0,5.0,4.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,9207,15,15. ПЛЕВЕН,21,2473.0,0.2685999782773976,PVN08
Гурково,289.0,306.0,58.0,131.0,179.0,54.0,53.0,47.0,24.0,79,1.0,6.0,13.0,32.0,5.0,1.0,2.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,10.0,2.0,4.0,1.0,1.0,0.0,4146,27,27. СТАРА ЗАГОРА,11,1313.0,0.31669078630004827,SZR37
Гълъбово,618.0,1302.0,153.0,466.0,319.0,163.0,110.0,339.0,111.0,163,9.0,31.0,55.0,19.0,13.0,8.0,10.0,7.0,7.0,5.0,4.0,10.0,7.0,4.0,0.0,9.0,1.0,5.0,9.0,4.0,7.0,2.0,2.0,9432,27,27. СТАРА ЗАГОРА,22,3972.0,0.4211195928753181,SZR07
Гърмен,1111.0,5364.0,144.0,203.0,247.0,114.0,26.0,73.0,86.0,145,9.0,18.0,56.0,44.0,10.0,3.0,6.0,7.0,5.0,5.0,3.0,8.0,4.0,1.0,6.0,0.0,2.0,7.0,2.0,4.0,2.0,0.0,0.0,13387,1,01. БЛАГОЕВГРАД,24,7715.0,0.5763053708821991,BLG13
Две могили,384.0,638.0,89.0,230.0,158.0,113.0,74.0,55.0,36.0,90,7.0,17.0,10.0,12.0,11.0,2.0,6.0,4.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,7486,19,19. РУСЕ,15,1962.0,0.2620892332353727,RSE08
Девин,996.0,1397.0,195.0,222.0,316.0,144.0,83.0,48.0,82.0,120,17.0,21.0,12.0,4.0,3.0,5.0,4.0,19.0,6.0,4.0,5.0,6.0,2.0,1.0,1.0,9.0,4.0,2.0,1.0,8.0,5.0,1.0,1.0,10229,22,22. СМОЛЯН,26,3744.0,0.3660181835956594,SML09
Девня,1333.0,31.0,133.0,244.0,88.0,102.0,62.0,124.0,53.0,177,4.0,24.0,9.0,18.0,191.0,18.0,1.0,7.0,8.0,16.0,3.0,3.0,4.0,1.0,4.0,6.0,3.0,0.0,4.0,2.0,2.0,3.0,1.0,7613,3,03. ВАРНА,11,2679.0,0.35189806909234206,VAR14
Джебел,356.0,5289.0,69.0,71.0,104.0,29.0,10.0,14.0,29.0,105,3.0,7.0,2.0,2.0,1.0,4.0,4.0,5.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,3.0,1.0,0.0,23261,9,09. КЪРДЖАЛИ,45,6129.0,0.2634882421220068,KRZ08
Димитровград,3620.0,983.0,1527.0,2606.0,930.0,789.0,619.0,536.0,368.0,387,100.0,194.0,101.0,66.0,30.0,99.0,33.0,40.0,33.0,35.0,17.0,26.0,51.0,12.0,24.0,18.0,14.0,22.0,11.0,16.0,18.0,80.0,10.0,45883,29,29. ХАСКОВО,91,13415.0,0.2923740819039731,HKV09
Димово,282.0,1217.0,143.0,142.0,109.0,51.0,43.0,30.0,51.0,100,36.0,13.0,9.0,5.0,8.0,3.0,4.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,4.0,2.0,7.0,0.0,2.0,2.0,1.0,1.0,4764,5,05. ВИДИН,27,2284.0,0.4794290512174643,VID16
Добрич,5760.0,1104.0,2453.0,4267.0,1754.0,1615.0,1292.0,834.0,598.0,479,302.0,246.0,314.0,237.0,130.0,130.0,206.0,82.0,41.0,67.0,53.0,55.0,39.0,58.0,21.0,26.0,19.0,10.0,17.0,8.0,12.0,10.0,8.0,80234,8,08. ДОБРИЧ,130,22247.0,0.2772764663359673,DOB28
Добрич-селска,1172.0,1924.0,299.0,554.0,1342.0,225.0,111.0,167.0,85.0,336,19.0,23.0,25.0,17.0,13.0,22.0,13.0,20.0,18.0,6.0,16.0,5.0,5.0,4.0,4.0,5.0,3.0,15.0,3.0,9.0,5.0,5.0,2.0,20615,8,08. ДОБРИЧ,68,6472.0,0.3139461557118603,DOB15
Долна Митрополия,987.0,293.0,291.0,564.0,378.0,450.0,143.0,134.0,117.0,126,42.0,63.0,57.0,58.0,23.0,14.0,1.0,11.0,9.0,4.0,6.0,13.0,10.0,2.0,8.0,7.0,4.0,4.0,6.0,5.0,1.0,2.0,0.0,15424,15,15. ПЛЕВЕН,33,3833.0,0.2485088174273859,PVN10
Долна баня,1330.0,108.0,79.0,123.0,57.0,51.0,25.0,49.0,47.0,150,14.0,23.0,10.0,4.0,6.0,1.0,6.0,10.0,12.0,11.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,3811,26,26. СОФИЯ област,8,2150.0,0.5641563893991078,SFO59
Долни Дъбник,437.0,321.0,145.0,317.0,434.0,193.0,84.0,78.0,66.0,79,18.0,38.0,17.0,47.0,15.0,13.0,8.0,11.0,3.0,0.0,3.0,5.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,4.0,2.0,0.0,1.0,11616,15,15. ПЛЕВЕН,21,2361.0,0.20325413223140495,PVN11
Долни чифлик,2599.0,572.0,248.0,423.0,260.0,129.0,122.0,143.0,69.0,360,10.0,54.0,21.0,14.0,139.0,11.0,1.0,15.0,4.0,20.0,10.0,6.0,8.0,5.0,0.0,7.0,1.0,13.0,4.0,6.0,3.0,1.0,3.0,15896,3,03. ВАРНА,31,5281.0,0.332221942627076,VAR13
Доспат,2322.0,176.0,238.0,70.0,119.0,141.0,30.0,29.0,40.0,93,5.0,4.0,5.0,0.0,2.0,2.0,2.0,9.0,3.0,1.0,1.0,2.0,4.0,0.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,7101,22,22. СМОЛЯН,13,3316.0,0.46697648218560767,SML10
Драгоман,682.0,34.0,108.0,175.0,111.0,70.0,49.0,57.0,53.0,45,6.0,33.0,16.0,103.0,8.0,4.0,4.0,7.0,9.0,4.0,1.0,1.0,12.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,3973,26,26. СОФИЯ област,18,1609.0,0.4049836395670778,SFO16
Дряново,453.0,55.0,227.0,368.0,438.0,145.0,118.0,57.0,71.0,49,25.0,40.0,19.0,15.0,15.0,7.0,2.0,6.0,3.0,9.0,4.0,2.0,8.0,2.0,0.0,2.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,7482,7,07. ГАБРОВО,24,2157.0,0.28829190056134724,GAB12
Дулово,2415.0,5571.0,178.0,306.0,192.0,107.0,79.0,90.0,142.0,306,4.0,27.0,15.0,7.0,2.0,8.0,10.0,9.0,9.0,10.0,18.0,6.0,5.0,2.0,10.0,2.0,7.0,9.0,7.0,7.0,6.0,7.0,1.0,27830,20,20. СИЛИСТРА,43,9574.0,0.3440172475745598,SLS10
Дупница,3300.0,1480.0,1111.0,1508.0,1159.0,645.0,492.0,409.0,294.0,307,205.0,151.0,166.0,120.0,39.0,26.0,32.0,43.0,43.0,32.0,37.0,4.0,21.0,22.0,63.0,13.0,8.0,4.0,6.0,18.0,18.0,2.0,6.0,39225,10,10. КЮСТЕНДИЛ,72,11784.0,0.3004206500956023,KNL48
Дългопол,1911.0,1225.0,149.0,214.0,294.0,66.0,52.0,79.0,50.0,206,2.0,16.0,6.0,13.0,153.0,2.0,4.0,12.0,7.0,7.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,12148,3,03. ВАРНА,29,4496.0,0.37010207441554166,VAR16
Елена,936.0,331.0,211.0,363.0,223.0,142.0,100.0,68.0,56.0,138,9.0,22.0,14.0,38.0,9.0,7.0,3.0,6.0,3.0,5.0,4.0,9.0,1.0,1.0,23.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,0.0,7932,4,04. ВЕЛИКО ТЪРНОВО,27,2742.0,0.34568835098335854,VTR13
Елин Пелин,1222.0,204.0,574.0,924.0,308.0,436.0,212.0,200.0,211.0,72,67.0,131.0,86.0,254.0,28.0,20.0,17.0,26.0,10.0,12.0,12.0,20.0,16.0,19.0,4.0,5.0,9.0,7.0,4.0,1.0,7.0,2.0,5.0,17800,26,26. СОФИЯ област,33,5125.0,0.28792134831460675,SFO17
Елхово,751.0,118.0,305.0,539.0,742.0,174.0,114.0,116.0,69.0,142,38.0,32.0,47.0,27.0,8.0,34.0,3.0,6.0,8.0,8.0,5.0,4.0,6.0,4.0,6.0,11.0,3.0,3.0,4.0,5.0,4.0,0.0,2.0,12282,31,31. ЯМБОЛ,29,3338.0,0.2717798404168702,JAM07
Етрополе,641.0,1171.0,275.0,440.0,634.0,201.0,166.0,141.0,98.0,153,17.0,40.0,34.0,30.0,15.0,17.0,3.0,19.0,6.0,9.0,12.0,21.0,6.0,9.0,0.0,2.0,3.0,5.0,6.0,3.0,3.0,1.0,0.0,9922,26,26. СОФИЯ област,19,4181.0,0.4213868171739569,SFO18
Завет,522.0,2088.0,345.0,75.0,52.0,30.0,21.0,60.0,70.0,122,3.0,2.0,7.0,5.0,0.0,1.0,8.0,3.0,6.0,5.0,10.0,4.0,1.0,0.0,3.0,6.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,10718,18,18. РАЗГРАД,16,3460.0,0.3228214219070722,RAZ11
Земен,268.0,140.0,60.0,94.0,136.0,56.0,20.0,14.0,28.0,31,23.0,3.0,3.0,0.0,6.0,6.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1840,14,14. ПЕРНИК,14,915.0,0.49728260869565216,PER19
Златарица,143.0,571.0,50.0,100.0,125.0,27.0,30.0,20.0,22.0,83,3.0,6.0,4.0,58.0,11.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,3486,4,04. ВЕЛИКО ТЪРНОВО,13,1279.0,0.3668961560527826,VTR14
Златица,384.0,62.0,116.0,285.0,96.0,108.0,43.0,87.0,51.0,50,18.0,32.0,33.0,10.0,22.0,10.0,6.0,4.0,10.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,4571,26,26. СОФИЯ област,11,1460.0,0.31940494421352,SFO47
Златоград,830.0,671.0,616.0,251.0,553.0,89.0,96.0,53.0,91.0,102,21.0,25.0,20.0,6.0,7.0,4.0,3.0,16.0,6.0,5.0,2.0,3.0,6.0,7.0,1.0,5.0,0.0,5.0,3.0,2.0,2.0,0.0,5.0,10194,22,22. СМОЛЯН,21,3506.0,0.3439278006670591,SML11
Ивайловград,947.0,426.0,177.0,255.0,169.0,97.0,49.0,42.0,48.0,79,11.0,27.0,8.0,11.0,11.0,12.0,4.0,3.0,9.0,6.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,3.0,3.0,6.0,0.0,1.0,1.0,5906,29,29. ХАСКОВО,28,2416.0,0.4090755164239756,HKV11
Иваново,796.0,205.0,207.0,311.0,320.0,142.0,91.0,61.0,77.0,90,23.0,16.0,20.0,11.0,12.0,10.0,4.0,15.0,8.0,9.0,4.0,4.0,6.0,3.0,2.0,8.0,3.0,1.0,4.0,4.0,20.0,1.0,1.0,7140,19,19. РУСЕ,18,2489.0,0.34859943977591035,RSE13
Искър,220.0,238.0,70.0,146.0,222.0,72.0,28.0,138.0,33.0,75,5.0,31.0,7.0,37.0,4.0,29.0,0.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,7.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5699,15,15. ПЛЕВЕН,11,1389.0,0.24372696964379717,PVN23
Исперих,1999.0,5166.0,352.0,334.0,224.0,124.0,62.0,92.0,169.0,352,22.0,23.0,17.0,9.0,9.0,8.0,10.0,11.0,3.0,1.0,7.0,4.0,5.0,3.0,2.0,4.0,2.0,14.0,2.0,5.0,0.0,2.0,1.0,25340,18,18. РАЗГРАД,41,9038.0,0.3566692975532755,RAZ14
Ихтиман,1900.0,976.0,298.0,512.0,217.0,196.0,97.0,167.0,110.0,249,39.0,38.0,45.0,38.0,15.0,12.0,16.0,23.0,14.0,13.0,8.0,8.0,9.0,3.0,1.0,5.0,5.0,14.0,13.0,6.0,6.0,0.0,2.0,13434,26,26. СОФИЯ област,30,5055.0,0.3762840553818669,SFO20
Каварна,1189.0,189.0,366.0,538.0,289.0,229.0,133.0,145.0,82.0,121,23.0,41.0,54.0,30.0,18.0,17.0,13.0,15.0,6.0,5.0,5.0,7.0,10.0,4.0,3.0,8.0,4.0,2.0,3.0,3.0,3.0,0.0,2.0,12364,8,08. ДОБРИЧ,30,3557.0,0.2876900679391783,DOB17
Казанлък,4560.0,2892.0,1908.0,3567.0,1441.0,1377.0,1342.0,557.0,566.0,525,182.0,217.0,206.0,162.0,82.0,91.0,46.0,61.0,36.0,55.0,45.0,41.0,56.0,30.0,17.0,29.0,21.0,13.0,31.0,14.0,20.0,7.0,1.0,64069,27,27. СТАРА ЗАГОРА,91,20198.0,0.3152538669247218,SZR12
Кайнарджа,674.0,254.0,42.0,77.0,80.0,32.0,4.0,11.0,32.0,102,4.0,6.0,7.0,3.0,5.0,5.0,2.0,2.0,6.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4231,20,20. СИЛИСТРА,14,1368.0,0.3233278184826282,SLS15
Калояново,763.0,220.0,235.0,359.0,282.0,144.0,96.0,138.0,57.0,73,22.0,16.0,28.0,16.0,5.0,14.0,8.0,10.0,2.0,7.0,5.0,70.0,5.0,0.0,2.0,4.0,0.0,2.0,8.0,1.0,3.0,0.0,0.0,9007,17,17. ПЛОВДИВ област,20,2595.0,0.28810924836238483,PDV12
Камено,643.0,129.0,144.0,345.0,170.0,127.0,110.0,97.0,54.0,100,17.0,19.0,12.0,13.0,6.0,37.0,7.0,7.0,12.0,9.0,4.0,5.0,8.0,2.0,3.0,6.0,2.0,2.0,2.0,5.0,2.0,1.0,0.0,9706,2,02. БУРГАС,20,2100.0,0.21636101380589326,BGS08
Каолиново,544.0,4184.0,207.0,61.0,76.0,31.0,7.0,23.0,34.0,134,3.0,8.0,1.0,0.0,1.0,4.0,7.0,6.0,3.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,18.0,1.0,4.0,0.0,0.0,0.0,16930,30,30. ШУМЕН,24,5374.0,0.31742468989958655,SHU18
Карлово,2470.0,801.0,1190.0,1823.0,1543.0,845.0,428.0,434.0,389.0,399,129.0,110.0,338.0,218.0,68.0,75.0,24.0,26.0,145.0,27.0,24.0,46.0,19.0,13.0,21.0,11.0,8.0,5.0,19.0,21.0,11.0,5.0,9.0,43479,17,17. ПЛОВДИВ област,78,11694.0,0.2689574277237287,PDV13
Карнобат,939.0,574.0,420.0,702.0,567.0,332.0,266.0,210.0,169.0,179,41.0,76.0,27.0,19.0,117.0,22.0,8.0,14.0,13.0,10.0,6.0,13.0,14.0,2.0,5.0,10.0,8.0,6.0,7.0,8.0,6.0,1.0,4.0,20486,2,02. БУРГАС,59,4795.0,0.23406228643951968,BGS09
Каспичан,601.0,228.0,152.0,255.0,231.0,80.0,49.0,50.0,66.0,124,10.0,13.0,5.0,5.0,10.0,6.0,7.0,3.0,4.0,2.0,1.0,1.0,6.0,5.0,3.0,3.0,3.0,5.0,2.0,4.0,1.0,0.0,1.0,6701,30,30. ШУМЕН,17,1936.0,0.2889121026712431,SHU19
Кирково,873.0,8440.0,253.0,165.0,197.0,120.0,16.0,56.0,89.0,307,17.0,15.0,27.0,5.0,10.0,22.0,9.0,9.0,8.0,7.0,16.0,8.0,1.0,2.0,3.0,5.0,0.0,18.0,5.0,4.0,3.0,4.0,2.0,35497,9,09. КЪРДЖАЛИ,80,10716.0,0.301884666309829,KRZ14
Кнежа,1816.0,564.0,212.0,385.0,200.0,186.0,84.0,168.0,121.0,282,23.0,25.0,35.0,8.0,7.0,12.0,7.0,29.0,7.0,11.0,3.0,5.0,7.0,2.0,1.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,0.0,11101,15,15. ПЛЕВЕН,22,4219.0,0.3800558508242501,PVN39
Ковачевци,158.0,24.0,43.0,90.0,160.0,32.0,11.0,11.0,17.0,32,14.0,10.0,6.0,1.0,14.0,1.0,15.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1059,14,14. ПЕРНИК,10,651.0,0.6147308781869688,PER22
Козлодуй,1450.0,744.0,293.0,889.0,312.0,312.0,239.0,363.0,189.0,187,269.0,160.0,52.0,33.0,20.0,24.0,11.0,24.0,15.0,15.0,13.0,22.0,14.0,9.0,1.0,7.0,13.0,9.0,4.0,3.0,2.0,2.0,1.0,16017,6,06. ВРАЦА,26,5701.0,0.3559343197852282,VRC20
Копривщица,177.0,50.0,84.0,141.0,57.0,28.0,24.0,17.0,28.0,22,5.0,2.0,11.0,10.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1749,26,26. СОФИЯ област,3,679.0,0.3882218410520297,SFO24
Костенец,1120.0,117.0,304.0,570.0,199.0,141.0,133.0,78.0,111.0,71,31.0,37.0,43.0,19.0,11.0,7.0,10.0,4.0,3.0,7.0,11.0,20.0,2.0,6.0,2.0,2.0,4.0,0.0,2.0,2.0,5.0,0.0,1.0,10033,26,26. СОФИЯ област,21,3073.0,0.3062892454898834,SFO25
Костинброд,1700.0,401.0,426.0,642.0,309.0,339.0,178.0,153.0,151.0,108,47.0,59.0,59.0,103.0,20.0,12.0,35.0,11.0,8.0,15.0,7.0,11.0,5.0,6.0,5.0,5.0,8.0,2.0,7.0,7.0,5.0,2.0,0.0,13604,26,26. СОФИЯ област,25,4846.0,0.35621875918847395,SFO26
Котел,1681.0,1037.0,155.0,270.0,174.0,77.0,49.0,67.0,71.0,288,16.0,49.0,34.0,37.0,13.0,8.0,17.0,14.0,10.0,9.0,4.0,3.0,4.0,1.0,3.0,6.0,2.0,2.0,5.0,4.0,0.0,3.0,2.0,18649,21,21. СЛИВЕН,30,4115.0,0.22065526301678373,SLV11
Кочериново,301.0,137.0,92.0,138.0,111.0,165.0,27.0,19.0,14.0,44,63.0,15.0,34.0,4.0,6.0,9.0,2.0,5.0,7.0,1.0,3.0,2.0,8.0,4.0,10.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,2897,10,10. КЮСТЕНДИЛ,16,1234.0,0.42595788746979635,KNL27
Кресна,843.0,55.0,199.0,135.0,121.0,50.0,28.0,39.0,30.0,67,9.0,32.0,24.0,16.0,4.0,8.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,43.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,2.0,4283,1,01. БЛАГОЕВГРАД,11,1735.0,0.40508989026383374,BLG28
Криводол,501.0,706.0,137.0,219.0,231.0,91.0,31.0,88.0,41.0,121,19.0,21.0,14.0,22.0,35.0,8.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,228.0,5.0,1.0,3.0,6.0,3.0,7.0,2.0,3.0,2.0,6827,6,06. ВРАЦА,23,2579.0,0.3777647575801963,VRC21
Кричим,216.0,301.0,111.0,228.0,93.0,77.0,61.0,63.0,56.0,26,15.0,20.0,18.0,7.0,7.0,2.0,2.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,19.0,1.0,1.0,2.0,0.0,0.0,7151,17,17. ПЛОВДИВ област,10,1345.0,0.18808558243602294,PDV39
Крумовград,544.0,7975.0,197.0,114.0,302.0,101.0,50.0,66.0,127.0,267,14.0,12.0,11.0,12.0,11.0,33.0,14.0,8.0,5.0,8.0,17.0,7.0,5.0,2.0,4.0,4.0,3.0,20.0,1.0,2.0,4.0,2.0,1.0,33456,9,09. КЪРДЖАЛИ,86,9943.0,0.2971963175514108,KRZ15
Крушари,307.0,1136.0,31.0,62.0,44.0,38.0,20.0,20.0,13.0,73,5.0,3.0,1.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,4982,8,08. ДОБРИЧ,17,1794.0,0.36009634684865516,DOB20
Кубрат,881.0,3267.0,391.0,350.0,258.0,125.0,90.0,84.0,146.0,263,5.0,30.0,9.0,12.0,12.0,11.0,13.0,9.0,7.0,5.0,14.0,6.0,4.0,6.0,2.0,9.0,2.0,8.0,2.0,6.0,4.0,0.0,0.0,18558,18,18. РАЗГРАД,39,6031.0,0.32498114020907426,RAZ16
Куклен,300.0,315.0,155.0,175.0,121.0,73.0,80.0,34.0,44.0,45,87.0,8.0,18.0,5.0,17.0,15.0,2.0,2.0,1.0,2.0,2.0,7.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,6212,17,17. ПЛОВДИВ област,14,1527.0,0.24581455247907277,PDV42
Кула,658.0,121.0,88.0,83.0,70.0,65.0,35.0,16.0,47.0,68,6.0,4.0,3.0,75.0,67.0,4.0,2.0,5.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0,3281,5,05. ВИДИН,13,1436.0,0.4376714416336483,VID22
Кърджали,2291.0,16302.0,1481.0,1786.0,890.0,574.0,396.0,293.0,534.0,986,125.0,104.0,66.0,34.0,35.0,124.0,49.0,37.0,19.0,23.0,34.0,26.0,35.0,26.0,13.0,16.0,5.0,41.0,12.0,20.0,6.0,5.0,7.0,99303,9,09. КЪРДЖАЛИ,169,26395.0,0.2658026444316889,KRZ16
Кюстендил,4491.0,1256.0,1749.0,2481.0,1254.0,987.0,665.0,465.0,479.0,395,134.0,343.0,133.0,280.0,73.0,68.0,54.0,75.0,37.0,103.0,38.0,30.0,21.0,32.0,4.0,28.0,23.0,11.0,25.0,13.0,14.0,3.0,10.0,65700,10,10. КЮСТЕНДИЛ,113,15774.0,0.24009132420091325,KNL29
Левски,845.0,923.0,392.0,626.0,639.0,266.0,140.0,86.0,92.0,198,20.0,49.0,28.0,99.0,33.0,17.0,6.0,11.0,5.0,17.0,7.0,19.0,4.0,5.0,2.0,11.0,10.0,4.0,8.0,6.0,0.0,1.0,0.0,16449,15,15. ПЛЕВЕН,33,4569.0,0.2777676454495714,PVN16
Лесичово,374.0,335.0,72.0,195.0,174.0,70.0,30.0,58.0,27.0,71,1.0,14.0,18.0,23.0,5.0,2.0,1.0,3.0,2.0,3.0,4.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,3918,13,13. ПАЗАРДЖИК,11,1504.0,0.3838693210821848,PAZ14
Летница,211.0,250.0,50.0,80.0,97.0,39.0,18.0,28.0,35.0,36,12.0,14.0,2.0,0.0,5.0,27.0,5.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,4045,11,11. ЛОВЕЧ,8,932.0,0.2304079110012361,LOV17
Ловеч,3791.0,930.0,1444.0,1846.0,1164.0,1260.0,592.0,318.0,354.0,281,124.0,197.0,64.0,128.0,60.0,69.0,40.0,39.0,43.0,27.0,22.0,22.0,42.0,39.0,32.0,18.0,5.0,9.0,25.0,10.0,9.0,3.0,8.0,41519,11,11. ЛОВЕЧ,97,13015.0,0.313470941014957,LOV18
Лозница,549.0,2286.0,406.0,122.0,95.0,79.0,26.0,57.0,58.0,149,3.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,7.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,10175,18,18. РАЗГРАД,24,3888.0,0.3821130221130221,RAZ17
Лом,2887.0,1815.0,418.0,806.0,366.0,283.0,172.0,210.0,136.0,346,108.0,92.0,25.0,22.0,15.0,26.0,14.0,25.0,22.0,25.0,20.0,10.0,13.0,8.0,19.0,3.0,19.0,12.0,8.0,18.0,3.0,1.0,3.0,23131,12,12. МОНТАНА,53,7950.0,0.34369460896632226,MON24
Луковит,1331.0,1080.0,200.0,372.0,305.0,228.0,111.0,143.0,78.0,265,27.0,30.0,37.0,21.0,18.0,7.0,3.0,10.0,9.0,7.0,7.0,6.0,3.0,1.0,1.0,3.0,13.0,9.0,1.0,2.0,2.0,2.0,1.0,14461,11,11. ЛОВЕЧ,28,4333.0,0.2996334969919093,LOV19
Лъки,166.0,78.0,63.0,102.0,146.0,43.0,32.0,17.0,13.0,28,6.0,1.0,3.0,2.0,4.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2159,17,17. ПЛОВДИВ област,11,719.0,0.333024548402038,PDV15
Любимец,2119.0,151.0,164.0,257.0,209.0,163.0,53.0,65.0,59.0,195,12.0,13.0,10.0,4.0,21.0,8.0,10.0,21.0,10.0,9.0,2.0,6.0,4.0,3.0,0.0,2.0,3.0,0.0,3.0,3.0,5.0,0.0,3.0,7693,29,29. ХАСКОВО,20,3587.0,0.46626803587677107,HKV17
Лясковец,1276.0,190.0,279.0,546.0,298.0,189.0,154.0,90.0,80.0,86,16.0,26.0,28.0,48.0,15.0,18.0,8.0,9.0,4.0,11.0,10.0,1.0,10.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,10667,4,04. ВЕЛИКО ТЪРНОВО,16,3419.0,0.32052123371144653,VTR20
Мадан,547.0,3471.0,174.0,170.0,191.0,122.0,63.0,57.0,149.0,130,15.0,15.0,16.0,5.0,4.0,1.0,36.0,13.0,7.0,15.0,7.0,2.0,5.0,3.0,6.0,5.0,1.0,9.0,1.0,2.0,8.0,1.0,3.0,10073,22,22. СМОЛЯН,37,5254.0,0.5215923756576988,SML16
Маджарово,101.0,840.0,40.0,61.0,45.0,11.0,11.0,3.0,11.0,30,1.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2990,29,29. ХАСКОВО,15,1177.0,0.39364548494983276,HKV18
