municipality_name,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,невалидни,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Благоевград,7065.0,3294.0,3421.0,2996.0,1360.0,1733.0,836.0,498.0,629.0,537,307.0,413.0,493.0,354.0,209.0,62.0,71.0,66.0,50.0,34.0,42.0,46.0,32.0,43.0,48.0,21.0,11.0,10.0,17.0,14.0,11.0,10.0,18.0,93675,1,01. БЛАГОЕВГРАД,142,24751.0,0.2642220443021083,BLG03
Бобов дол,714.0,363.0,164.0,333.0,222.0,141.0,50.0,75.0,80.0,95,10.0,32.0,8.0,23.0,10.0,6.0,1.0,12.0,5.0,13.0,5.0,5.0,1.0,1.0,7.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,6456,10,10. КЮСТЕНДИЛ,27,2389.0,0.3700433705080545,KNL04
Бобошево,185.0,75.0,63.0,102.0,57.0,38.0,20.0,23.0,21.0,30,34.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1946,10,10. КЮСТЕНДИЛ,10,716.0,0.36793422404933196,KNL05
Божурище,881.0,189.0,459.0,541.0,224.0,271.0,181.0,134.0,314.0,88,59.0,49.0,70.0,30.0,20.0,37.0,59.0,28.0,10.0,24.0,13.0,10.0,6.0,10.0,6.0,5.0,6.0,3.0,1.0,5.0,5.0,1.0,0.0,6824,26,26. СОФИЯ област,12,3739.0,0.5479191090269636,SFO06
Бойница,208.0,12.0,42.0,27.0,33.0,12.0,1.0,4.0,5.0,15,1.0,5.0,0.0,0.0,9.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699,5,05. ВИДИН,5,382.0,0.5464949928469242,VID03
Бойчиновци,1197.0,1107.0,57.0,298.0,131.0,82.0,36.0,70.0,44.0,182,6.0,20.0,15.0,98.0,8.0,24.0,3.0,11.0,7.0,11.0,3.0,0.0,3.0,2.0,5.0,3.0,13.0,5.0,2.0,8.0,2.0,0.0,2.0,6811,12,12. МОНТАНА,19,3455.0,0.5072676552635442,MON04
Болярово,169.0,61.0,67.0,135.0,693.0,40.0,23.0,27.0,34.0,92,1.0,11.0,5.0,5.0,0.0,8.0,1.0,3.0,2.0,4.0,2.0,1.0,6.0,7.0,3.0,0.0,2.0,0.0,3.0,7.0,0.0,2.0,1.0,2545,31,31. ЯМБОЛ,22,1415.0,0.555992141453831,JAM03
Борино,124.0,1166.0,64.0,31.0,63.0,15.0,10.0,11.0,21.0,41,1.0,4.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,15.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3111,22,22. СМОЛЯН,9,1586.0,0.5098039215686274,SML05
Борован,942.0,649.0,51.0,136.0,114.0,47.0,25.0,34.0,29.0,116,7.0,9.0,8.0,12.0,3.0,27.0,1.0,5.0,2.0,3.0,0.0,2.0,0.0,13.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,4318,6,06. ВРАЦА,12,2246.0,0.5201482167670217,VRC05
Борово,466.0,294.0,75.0,162.0,119.0,51.0,35.0,70.0,42.0,82,7.0,16.0,1.0,6.0,3.0,2.0,1.0,9.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,3.0,0.0,1.0,4740,19,19. РУСЕ,10,1479.0,0.3120253164556962,RSE03
