id,ГЕРБ-СДС,ИТН,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,РЕПУБЛИКАНЦИ ЗА БГ,НОД,БНС,ГЛАС НАРОДЕН,СВОБОДА,БТР,МИР,ЗАЕДНО,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,невалидни,total_valid,total,eligible_voters,n_stations
40590,83,48,20,12,2,5,6,6,3,2.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,192.0,193.0,295.0,1
40628,26,5,20,6,23,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,87.0,91.0,175.0,1
40645,41,21,53,4,48,3,5,3,1,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,183.0,183.0,377.0,1
40662,8,4,2,1,39,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,59.0,59.0,75.0,1
40676,4,4,1,0,18,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,29.0,34.0,227.0,1
40693,9,11,18,2,28,3,7,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,80.0,80.0,128.0,1
40703,21,33,23,2,0,4,23,3,2,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,115.0,117.0,169.0,1
40717,170,130,89,116,2,15,11,13,13,2.0,4,6,7,1,2,0,2,1,0,0,1,1,1,0,0.0,0.0,587.0,587.0,2107.0,3
40748,22,41,29,16,37,9,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,155.0,158.0,271.0,1
40751,23,3,1,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,2.0,31.0,33.0,39.0,1
40782,22,28,37,2,19,6,0,4,1,0.0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,123.0,123.0,461.0,1
40806,15,1,8,2,4,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,32.0,35.0,37.0,1
40823,4,2,1,0,47,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.0,54.0,328.0,1
40837,29,13,40,4,2,4,4,1,1,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,6.0,102.0,108.0,145.0,1
40840,46,13,7,3,1,5,5,0,0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,85.0,87.0,109.0,1
40868,67,85,27,6,97,15,3,6,2,3.0,0,4,1,2,0,1,0,1,0,3,1,1,0,0,0.0,0.0,325.0,325.0,971.0,1
40885,10,12,14,4,9,1,0,3,3,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,58.0,58.0,319.0,1
40899,27,3,2,0,111,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,145.0,145.0,321.0,1
40909,2743,3264,1797,1228,2762,394,326,288,137,249.0,29,24,76,14,16,8,10,15,14,7,5,18,5,0,0.0,22.0,13429.0,13451.0,49709.0,70
40912,206,152,164,19,0,23,31,2,7,3.0,3,1,1,0,0,0,2,0,0,2,1,0,0,0,0.0,0.0,617.0,617.0,1453.0,2
40926,1,4,5,0,1,1,14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,26.0,28.0,31.0,1
40939,65,103,31,10,1,28,9,3,4,3.0,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,265.0,265.0,714.0,1
40943,17,8,19,5,1,1,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,53.0,56.0,90.0,1
40974,20,17,8,12,1,1,5,7,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,73.0,74.0,102.0,1
40988,11,3,6,1,179,2,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,204.0,204.0,650.0,2
41006,155,85,28,14,58,4,1,0,9,4.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,361.0,361.0,667.0,1
41010,144,72,46,37,1,23,8,15,26,6.0,6,1,0,0,1,0,0,3,0,0,1,3,1,0,0.0,0.0,394.0,394.0,786.0,1
41037,43,34,24,7,1,5,3,0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,122.0,126.0,240.0,1
41054,5,3,2,0,38,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,2.0,51.0,53.0,90.0,1
41085,10,5,2,0,91,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,108.0,108.0,535.0,1
41099,11,3,4,4,18,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,43.0,44.0,85.0,1
41109,39,39,23,9,1,7,15,2,1,3.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,142.0,144.0,260.0,1
41112,4747,3507,2321,1267,109,1088,771,492,386,246.0,67,43,23,32,22,30,19,28,9,15,27,24,17,0,0.0,20.0,15290.0,15310.0,51364.0,66
41126,9,12,7,2,1,3,3,0,2,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,41.0,42.0,77.0,1
41136,219,6,10,2,144,1,0,0,2,1.0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0.0,0.0,391.0,391.0,391.0,1
41143,385,410,245,63,53,52,43,18,13,12.0,12,6,8,0,12,2,3,2,4,5,2,1,4,2,0.0,0.0,1357.0,1357.0,3514.0,6
41157,12,18,4,5,8,3,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,52.0,52.0,135.0,1
41174,6,0,2,1,48,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,57.0,59.0,80.0,1
41188,58,8,8,3,65,5,0,1,1,2.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,154.0,154.0,349.0,1
41191,19,2,6,7,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,35.0,36.0,40.0,1
41232,41,16,13,2,1,7,2,2,1,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,4.0,89.0,93.0,195.0,1
41246,53,71,46,15,1,15,5,7,1,3.0,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,226.0,226.0,634.0,1
41251,13,9,2,4,1,1,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.0,33.0,64.0,1
41263,109,36,77,22,1,29,4,3,0,1.0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0.0,2.0,289.0,291.0,642.0,3
41277,4,1,2,1,12,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,21.0,46.0,1
43027,7,4,1,1,12,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.0,26.0,31.0,1
43030,4,1,4,0,0,1,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,19.0,22.0,25.0,1
43044,86,48,30,2,3,2,0,2,1,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,11.0,178.0,189.0,277.0,1
43058,178,95,46,9,25,12,5,4,3,3.0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,385.0,385.0,1278.0,2
43092,13,10,6,3,10,1,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,45.0,45.0,45.0,1
43102,3,4,3,0,139,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,149.0,149.0,498.0,1
43116,31,4,10,4,0,2,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,54.0,56.0,73.0,1
43147,6,8,11,20,1,2,3,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,1.0,55.0,56.0,64.0,1
43150,5,10,4,3,1,1,62,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.0,89.0,159.0,1
43178,1,4,1,0,60,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.0,66.0,62.0,1
43181,29,36,29,4,1,3,65,0,4,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,174.0,174.0,330.0,1
43195,15,6,12,0,1,2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,37.0,37.0,54.0,1
43205,32,33,37,11,1,5,2,3,3,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,6.0,131.0,137.0,309.0,1
43219,13,9,25,2,1,2,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,53.0,53.0,91.0,1
43222,55,17,11,1,1,4,5,5,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,101.0,104.0,130.0,1
43236,568,897,679,326,178,101,159,76,60,27.0,26,10,9,6,5,4,5,6,0,2,1,1,2,4,0.0,4.0,3152.0,3156.0,9137.0,16
43243,40,69,63,14,0,9,67,3,6,0.0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,277.0,277.0,584.0,1
43253,64,68,51,32,20,18,5,6,3,4.0,4,1,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,280.0,280.0,725.0,1
