municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Златица,550,440,295,38,197,99.0,66,63,47,34,8,4,3,2,4,2,0,8,0,0,1,2,0.0,0,4672,26,26. СОФИЯ област,11,1863.0,0.3987585616438356,SFO47
Златоград,1212,1335,318,491,463,117.0,99,47,35,77,2,7,17,5,6,3,8,2,2,0,2,0,0.0,0,10360,22,22. СМОЛЯН,21,4248.0,0.41003861003861003,SML11
Ивайловград,1014,469,257,357,228,72.0,55,100,69,50,7,6,7,5,2,4,1,3,3,2,2,1,0.0,0,5702,29,29. ХАСКОВО,24,2714.0,0.47597334268677655,HKV11
Иваново,877,568,344,222,459,110.0,102,66,31,68,12,7,9,6,11,7,5,2,0,4,5,3,0.0,1,7289,19,19. РУСЕ,18,2919.0,0.4004664563040198,RSE13
Искър,346,220,172,240,315,55.0,87,34,40,70,4,1,5,1,4,4,3,0,1,2,1,2,0.0,0,5720,15,15. ПЛЕВЕН,11,1607.0,0.28094405594405597,PVN23
Исперих,2407,811,351,4324,317,221.0,118,53,45,188,10,5,9,5,2,14,5,6,12,0,2,0,0.0,1,25550,18,18. РАЗГРАД,40,8906.0,0.3485714285714286,RAZ14
Ихтиман,2162,876,602,983,337,193.0,181,93,68,198,37,47,14,12,16,23,8,6,3,6,4,16,0.0,3,14095,26,26. СОФИЯ област,30,5888.0,0.4177367860943597,SFO20
Каварна,750,944,709,217,445,118.0,151,161,104,84,16,17,17,8,6,10,5,5,5,2,7,4,0.0,2,12444,8,08. ДОБРИЧ,30,3787.0,0.304323368691739,DOB17
Казанлък,6553,4613,4146,2920,2203,1039.0,1177,562,490,403,126,67,75,52,35,62,44,25,29,17,19,13,0.0,6,63956,27,27. СТАРА ЗАГОРА,90,24676.0,0.38582775658265056,SZR12
Кайнарджа,710,125,70,234,133,18.0,24,15,5,50,5,0,7,1,2,2,0,3,3,1,3,0,0.0,3,4284,20,20. СИЛИСТРА,13,1414.0,0.3300653594771242,SLS15
