municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Рила,304,155,86,38,99,40.0,31,14,16,21,4,0,3,4,1,2,1,0,2,0,1,2,0.0,0,2334,10,10. КЮСТЕНДИЛ,8,824.0,0.35304198800342756,KNL38
Родопи,3047,2169,1575,624,942,464.0,498,313,461,187,47,20,53,31,15,26,18,11,10,5,15,3,0.0,4,27867,17,17. ПЛОВДИВ област,56,10538.0,0.37815337137115584,PDV26
Роман,589,290,200,486,245,66.0,50,67,35,50,3,0,2,1,2,2,2,0,2,1,0,0,0.0,1,4621,6,06. ВРАЦА,18,2094.0,0.45314866911923823,VRC32
Рудозем,683,580,165,2157,176,169.0,80,228,13,74,5,12,7,4,3,2,5,3,3,3,3,1,0.0,1,8393,22,22. СМОЛЯН,25,4377.0,0.521506016918861,SML27
Руен,904,421,157,11300,222,159.0,49,126,56,254,9,6,4,6,5,6,2,9,14,2,8,4,0.0,3,27065,2,02. БУРГАС,49,13726.0,0.507149455015703,BGS18
Ружинци,744,186,98,298,95,28.0,16,18,14,59,3,1,1,1,1,4,0,2,0,2,1,1,0.0,2,3053,5,05. ВИДИН,13,1575.0,0.5158860137569604,VID33
Русе,10786,14005,9095,1629,4723,2779.0,3012,1560,1337,630,287,285,207,186,374,145,117,81,46,51,47,26,0.0,8,142668,19,19. РУСЕ,216,51416.0,0.3603891552415398,RSE27
Садово,872,534,482,88,992,134.0,155,185,34,90,13,9,7,2,6,10,3,1,2,2,5,3,0.0,1,12048,17,17. ПЛОВДИВ област,22,3630.0,0.3012948207171315,PDV28
Самоков,3917,2168,1373,544,1554,531.0,397,286,226,238,42,35,29,25,75,30,20,10,28,9,5,6,0.0,3,29941,26,26. СОФИЯ област,66,11551.0,0.3857920577135032,SFO39
Самуил,186,334,36,2779,43,35.0,20,4,8,49,2,1,1,2,1,2,1,1,4,0,2,1,0.0,0,9010,18,18. РАЗГРАД,24,3512.0,0.3897891231964484,RAZ29
Сандански,3605,2931,1583,243,1327,554.0,502,1121,334,221,38,14,60,15,32,31,6,24,9,5,13,8,0.0,4,35043,1,01. БЛАГОЕВГРАД,69,12680.0,0.3618411665667894,BLG40
Сапарева баня,1051,326,407,112,235,103.0,131,67,43,56,8,9,12,9,6,8,3,1,2,0,2,0,0.0,0,6182,10,10. КЮСТЕНДИЛ,10,2591.0,0.4191200258815917,KNL41
Сатовча,1137,453,165,4564,342,83.0,70,51,36,44,0,1,12,0,3,2,6,3,2,4,3,4,0.0,1,15207,1,01. БЛАГОЕВГРАД,26,6986.0,0.4593937002696127,BLG42
Свиленград,3065,1777,1163,99,842,290.0,353,176,181,180,33,23,32,8,10,30,11,9,8,2,11,7,0.0,7,18558,29,29. ХАСКОВО,43,8317.0,0.448162517512663,HKV28
Свищов,2207,1971,1841,606,1329,487.0,556,273,319,170,70,21,49,38,5,17,12,10,8,5,6,9,0.0,5,28155,4,04. ВЕЛИКО ТЪРНОВО,52,10014.0,0.35567394778902506,VTR28
Своге,1891,1004,870,1155,530,261.0,207,154,188,109,22,14,22,9,10,16,23,8,4,0,5,3,0.0,0,15797,26,26. СОФИЯ област,40,6505.0,0.4117870481737039,SFO43
Севлиево,3097,2000,1565,1139,894,440.0,429,247,179,179,51,69,25,15,20,39,35,9,18,4,6,11,0.0,5,30439,7,07. ГАБРОВО,70,10476.0,0.34416373731068695,GAB29
Септември,2095,933,807,2371,875,229.0,229,131,77,251,26,11,21,8,5,18,9,8,13,6,3,6,0.0,3,21290,13,13. ПАЗАРДЖИК,31,8135.0,0.38210427430718646,PAZ29
Силистра,5035,4267,2722,1051,1884,781.0,738,570,389,303,108,37,78,29,37,48,29,16,13,13,17,12,0.0,10,46604,20,20. СИЛИСТРА,94,18187.0,0.3902454724916316,SLS31
Симеоновград,1166,266,271,72,242,59.0,45,34,161,62,7,0,3,1,2,10,3,2,1,2,1,1,0.0,0,6730,29,29. ХАСКОВО,16,2411.0,0.35824665676077266,HKV29
Симитли,5442,647,400,68,220,154.0,148,45,48,174,14,9,22,2,3,7,4,3,4,4,1,7,0.0,0,12401,1,01. БЛАГОЕВГРАД,29,7426.0,0.5988226755906781,BLG44
Ситово,292,178,122,1031,166,38.0,25,41,17,57,3,4,4,3,3,4,0,3,6,2,2,1,0.0,3,4975,20,20. СИЛИСТРА,14,2005.0,0.4030150753768844,SLS32
Сливен,9701,7159,5085,1223,3506,1238.0,1461,1257,1187,765,126,134,169,151,89,75,58,57,36,15,42,13,0.0,12,108206,21,21. СЛИВЕН,187,33559.0,0.31013991830397575,SLV20
Сливница,975,543,430,113,255,144.0,112,84,90,35,6,14,8,8,5,8,6,6,1,0,0,1,0.0,0,7241,26,26. СОФИЯ област,17,2844.0,0.39276343046540535,SFO45
Сливо поле,890,395,292,896,261,74.0,65,43,23,77,12,1,4,3,13,6,3,1,2,0,1,2,0.0,0,10036,19,19. РУСЕ,17,3064.0,0.3053009166998804,RSE33
Смолян,4126,2960,1508,820,1257,769.0,484,421,300,149,35,61,50,22,35,36,19,15,17,5,11,7,0.0,3,32931,22,22. СМОЛЯН,89,13110.0,0.39810512890589417,SML31
Смядово,632,256,204,99,155,42.0,46,71,19,67,5,7,5,1,1,5,5,1,2,3,8,0,0.0,2,5403,30,30. ШУМЕН,13,1636.0,0.3027947436609291,SHU25
Созопол,1108,737,657,110,1021,211.0,136,293,74,77,19,25,19,16,3,10,2,13,5,9,3,3,0.0,0,10844,2,02. БУРГАС,21,4551.0,0.4196790852084102,BGS21
Сопот,636,634,449,59,441,160.0,214,451,47,61,41,7,12,4,9,9,3,5,5,8,1,2,0.0,1,8743,17,17. ПЛОВДИВ област,12,3259.0,0.37275534713485076,PDV43
Средец,1242,624,506,87,476,122.0,108,173,96,75,12,7,9,15,2,1,3,9,5,2,3,1,0.0,2,10819,2,02. БУРГАС,39,3580.0,0.33089934374711155,BGS06
Стамболийски,2037,1186,890,11,692,231.0,219,112,83,149,36,8,25,6,6,19,20,5,4,2,2,8,0.0,0,17653,17,17. ПЛОВДИВ област,26,5751.0,0.3257803206253895,PDV41
Стамболово,171,187,84,3659,100,36.0,19,31,23,34,2,4,4,0,4,2,1,2,5,0,4,1,0.0,0,12431,29,29. ХАСКОВО,30,4373.0,0.3517818357332475,HKV30
Стара Загора,14986,12669,9735,1462,5438,2929.0,3396,1734,1286,810,373,198,163,134,226,185,139,76,63,79,60,32,0.0,22,137794,27,27. СТАРА ЗАГОРА,211,56195.0,0.4078189180951275,SZR31
Столична,121296,192343,68527,3837,34341,25543.0,17752,14769,14342,4096,2135,2112,1297,2669,1905,1452,1893,1206,497,721,477,403,0.0,108,1190636,23,23. СОФИЯ 23 МИР,1635,513721.0,0.4314677197732976,SOF46
Стражица,741,437,320,993,357,148.0,119,58,43,115,9,9,21,6,4,10,3,2,6,1,6,4,0.0,1,10853,4,04. ВЕЛИКО ТЪРНОВО,24,3413.0,0.31447526029669215,VTR31
Стралджа,980,432,342,79,591,91.0,100,98,34,77,27,4,13,4,1,12,2,1,2,2,3,1,0.0,1,9441,31,31. ЯМБОЛ,29,2897.0,0.3068530875966529,JAM22
Стрелча,435,255,209,293,172,57.0,50,58,55,41,11,1,3,3,1,2,0,13,0,2,0,2,0.0,0,4026,13,13. ПАЗАРДЖИК,9,1663.0,0.41306507699950323,PAZ32
Струмяни,402,240,149,113,146,49.0,42,111,23,43,2,2,4,1,4,0,1,1,0,1,1,1,0.0,0,4121,1,01. БЛАГОЕВГРАД,17,1336.0,0.324193157000728,BLG49
Суворово,1469,340,319,258,175,80.0,83,26,48,90,7,2,7,4,2,7,5,4,5,1,3,2,5.0,0,6521,3,03. ВАРНА,14,2942.0,0.45115779788376015,VAR26
Сунгурларе,677,340,254,1677,262,61.0,59,56,43,106,13,2,11,4,4,2,1,2,3,5,2,5,0.0,0,10223,2,02. БУРГАС,31,3589.0,0.3510711141543578,BGS23
Сухиндол,151,92,86,161,159,35.0,22,34,20,30,1,0,1,1,9,0,2,0,0,3,1,0,0.0,0,1991,4,04. ВЕЛИКО ТЪРНОВО,10,808.0,0.4058262179809141,VTR32
Съединение,838,516,502,14,402,124.0,117,110,34,60,9,3,12,3,4,10,4,0,0,2,1,3,0.0,0,7922,17,17. ПЛОВДИВ област,19,2768.0,0.3494067154758899,PDV33
Сърница,143,90,18,2239,59,30.0,9,9,3,18,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4170,13,13. ПАЗАРДЖИК,7,2619.0,0.6280575539568345,PAZ39
Твърдица,1088,549,351,412,350,94.0,80,139,85,125,19,9,14,3,4,8,6,1,4,1,6,3,0.0,2,11718,21,21. СЛИВЕН,19,3353.0,0.2861409796893668,SLV24
Тервел,1736,563,313,1469,352,93.0,82,94,59,141,7,3,8,1,7,9,2,4,4,2,9,2,0.0,3,19770,8,08. ДОБРИЧ,32,4963.0,0.25103692463328275,DOB27
Тетевен,2916,993,543,786,712,188.0,155,83,103,209,26,10,17,6,6,8,7,10,4,3,8,3,251.0,1,17039,11,11. ЛОВЕЧ,37,7048.0,0.4136392980808733,LOV33
Тополовград,1029,646,365,201,442,69.0,86,60,224,62,10,2,11,1,3,8,1,1,2,2,3,1,0.0,2,8402,29,29. ХАСКОВО,23,3231.0,0.38455129731016424,HKV32
Трекляно,61,47,33,10,137,5.0,3,13,6,11,2,0,0,0,0,0,0,0,0,0,0,2,0.0,0,453,10,10. КЮСТЕНДИЛ,9,330.0,0.7284768211920529,KNL50
Троян,2796,2114,1573,388,1161,519.0,384,331,206,117,43,20,25,24,34,37,14,10,9,2,3,5,8.0,1,26622,11,11. ЛОВЕЧ,62,9824.0,0.36901810532642176,LOV34
Трън,521,162,137,34,236,66.0,40,39,24,36,4,2,5,2,2,7,0,3,1,1,0,1,0.0,2,3209,14,14. ПЕРНИК,22,1325.0,0.41290121533187907,PER51
Трявна,830,840,600,32,335,148.0,142,110,123,33,26,9,14,10,6,10,6,8,3,2,1,2,0.0,0,9646,7,07. ГАБРОВО,20,3290.0,0.34107402031930334,GAB35
Тунджа,1636,973,960,80,1756,200.0,199,233,178,185,28,34,23,2,10,17,6,9,8,5,3,6,0.0,0,17557,31,31. ЯМБОЛ,52,6551.0,0.373127527481916,JAM25
Тутракан,1080,803,730,1782,438,177.0,149,88,52,108,15,7,19,3,12,14,9,4,7,5,5,2,0.0,2,13764,20,20. СИЛИСТРА,28,5511.0,0.40039232781168266,SLS34
Търговище,4329,2877,1992,5472,1775,645.0,549,355,372,258,56,30,52,21,40,38,23,15,21,16,21,11,0.0,2,56183,28,28. ТЪРГОВИЩЕ,105,18970.0,0.33764661908406457,TGV35
Угърчин,668,241,167,110,232,44.0,43,33,17,38,4,4,3,3,3,3,0,4,2,1,1,1,1.0,2,4768,11,11. ЛОВЕЧ,14,1625.0,0.34081375838926176,LOV36
Хаджидимово,888,515,241,911,462,95.0,102,65,33,65,2,3,13,6,13,2,4,5,4,3,3,0,0.0,0,8420,1,01. БЛАГОЕВГРАД,19,3435.0,0.407957244655582,BLG52
Хайредин,254,176,153,335,188,35.0,31,157,36,26,9,1,7,0,2,2,1,2,2,1,0,1,0.0,0,3555,6,06. ВРАЦА,12,1419.0,0.3991561181434599,VRC35
Харманли,2374,1337,965,720,713,257.0,241,176,252,137,20,10,28,5,6,18,15,2,9,4,6,11,0.0,5,21118,29,29. ХАСКОВО,43,7311.0,0.346197556586798,HKV33
Хасково,7979,6781,4280,5303,2423,1264.0,1031,1003,896,567,117,72,83,66,33,70,32,22,26,21,30,30,0.0,12,89105,29,29. ХАСКОВО,154,32141.0,0.3607092755737613,HKV34
Хисаря,864,966,691,103,614,166.0,169,119,75,85,25,8,14,2,8,5,6,6,3,8,0,1,0.0,4,10116,17,17. ПЛОВДИВ област,24,3942.0,0.3896797153024911,PDV37
Хитрино,215,1710,68,556,118,27.0,11,18,5,110,1,7,3,0,0,3,0,1,1,4,0,3,0.0,0,10732,30,30. ШУМЕН,21,2861.0,0.26658591129332837,SHU11
Цар Калоян,146,207,80,1254,84,40.0,18,10,14,25,3,1,2,0,1,1,3,1,0,1,0,0,0.0,0,6037,18,18. РАЗГРАД,11,1891.0,0.31323505052178235,RAZ36
Царево,1173,721,428,88,219,125.0,120,107,55,70,12,5,10,5,6,22,3,1,2,0,1,4,0.0,2,7339,2,02. БУРГАС,20,3179.0,0.43316528137348415,BGS13
Ценово,873,335,180,41,292,50.0,66,27,20,80,6,5,2,5,2,2,1,2,8,0,0,1,0.0,2,4357,19,19. РУСЕ,11,2000.0,0.4590314436538903,RSE37
Чавдар,76,74,50,27,86,24.0,12,17,10,6,6,1,0,0,0,1,0,2,0,1,0,1,0.0,0,985,26,26. СОФИЯ област,2,394.0,0.4,SFO57
Челопеч,151,92,58,31,70,21.0,17,16,53,0,1,3,1,0,0,0,1,0,0,0,0,0,0.0,0,1228,26,26. СОФИЯ област,2,515.0,0.4193811074918567,SFO58
Чепеларе,609,571,299,330,262,100.0,81,53,34,35,22,5,7,9,8,2,2,0,0,2,2,1,0.0,1,5748,22,22. СМОЛЯН,16,2435.0,0.42362560890744605,SML38
Червен бряг,1765,1337,889,1070,765,260.0,513,285,334,194,35,29,30,7,18,19,6,9,6,7,4,5,0.0,0,24132,15,15. ПЛЕВЕН,41,7587.0,0.31439582297364493,PVN37
Черноочене,268,157,61,4052,58,23.0,5,12,12,68,1,2,3,2,2,1,1,0,0,0,1,0,0.0,1,12705,9,09. КЪРДЖАЛИ,41,4730.0,0.3722943722943723,KRZ35
Чипровци,774,276,252,52,144,76.0,39,13,16,48,7,3,6,2,1,4,1,1,3,0,2,2,0.0,0,2988,12,12. МОНТАНА,14,1722.0,0.5763052208835341,MON36
Чирпан,1257,854,818,1511,689,191.0,183,131,96,103,42,7,16,8,11,23,6,8,4,4,1,1,0.0,1,17249,27,27. СТАРА ЗАГОРА,38,5965.0,0.34581714882022146,SZR36
Чупрене,193,115,53,148,74,21.0,13,19,12,48,2,1,1,5,0,0,0,1,1,0,0,0,0.0,0,1361,5,05. ВИДИН,10,707.0,0.5194709772226305,VID37
Шабла,315,263,297,14,186,60.0,62,42,38,20,3,2,4,4,2,5,2,1,5,0,1,0,0.0,1,3803,8,08. ДОБРИЧ,16,1327.0,0.348935051275309,DOB29
Шумен,7316,6442,4721,1845,2856,1294.0,1179,1002,489,344,176,59,124,54,61,69,69,32,17,17,28,14,0.0,8,85922,30,30. ШУМЕН,131,28216.0,0.328390866134401,SHU30
Ябланица,589,224,191,151,181,41.0,60,22,26,32,7,2,4,4,2,4,1,2,2,2,1,0,6.0,2,4590,11,11. ЛОВЕЧ,11,1556.0,0.3389978213507625,LOV38
Якимово,529,162,83,413,126,17.0,24,9,12,36,3,0,3,1,2,0,0,0,1,0,1,1,0.0,0,3090,12,12. МОНТАНА,9,1423.0,0.46051779935275083,MON38
Якоруда,416,133,106,2491,80,70.0,23,1596,25,132,1,1,7,4,9,1,0,5,1,1,5,3,0.0,0,8686,1,01. БЛАГОЕВГРАД,18,5110.0,0.5883030163481464,BLG53
Ямбол,4848,4590,3846,356,2658,979.0,965,887,408,284,121,140,80,38,45,60,31,34,12,11,22,7,0.0,5,64167,31,31. ЯМБОЛ,106,20427.0,0.31834120342231986,JAM26
