id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,АТАКА (к.),ЗАЕДНО,КОД,НП ИСИ,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,невалидни,total_valid,total,eligible_voters,n_stations
494,2,4,2,3,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17.0,17.0,31,1
504,70,91,76,88,35,18.0,18,13,5,1,1,2,2,1,4,0,1,0,1,0,0,0.0,0,3,427.0,430.0,1220,2
518,75,41,30,206,60,7.0,12,9,4,3,0,0,2,0,0,1,1,2,0,0,1,0.0,0,2,454.0,456.0,1382,4
549,75,30,39,12,50,23.0,11,9,12,1,1,0,1,1,1,1,2,0,0,0,0,0.0,0,9,269.0,278.0,819,1
552,31,11,8,12,14,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,79.0,82.0,168,1
566,6,4,2,14,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,53.0,56.0,507,1
571,35,10,4,86,11,2.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,5,152.0,157.0,349,1
583,63,44,18,1,15,5.0,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,2,157.0,159.0,254,1
597,19,22,12,12,10,9.0,1,3,3,0,0,0,3,1,0,0,0,0,0,0,0,0.0,0,3,95.0,98.0,287,1
607,183,128,44,1619,38,42.0,7,23,8,2,2,4,1,2,2,0,1,1,1,2,2,0.0,0,23,2112.0,2135.0,7952,13
624,17,6,4,1,3,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,33.0,33.0,52,1
638,44,21,11,1,4,4.0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0,0,90.0,90.0,103,1
655,68,12,4,1,12,4.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,107.0,110.0,194,1
672,109,134,39,294,46,17.0,10,13,6,1,0,3,3,6,3,0,0,1,0,0,2,0.0,1,42,688.0,730.0,2147,3
697,27,24,21,143,8,2.0,3,2,2,1,2,1,1,0,0,0,0,1,0,0,0,0.0,0,3,238.0,241.0,635,1
702,4653,3301,2181,2635,2213,757.0,660,587,281,65,13,24,62,29,34,29,12,11,8,13,6,0.0,4,330,17578.0,17908.0,47202,78
713,64,34,29,1,19,6.0,5,4,2,0,3,0,1,0,0,0,0,0,0,1,1,0.0,0,5,170.0,175.0,473,1
730,16,5,6,115,4,6.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,5,159.0,164.0,587,1
744,14,9,11,3,18,7.0,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,2,70.0,72.0,164,1
758,7,8,4,1,12,2.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,38.0,42.0,78,1
